"","id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion"
"1","rn469379334","Fred F","Phoenix, Arizona","66 reviews","Spectacular",5,2017-03-22,"You probably won't see much more incredible architecture. It is a photographers delight. Walk and enjoy.",1,"Spectacular. You probably won't see much more incredible architecture. It is a photographers delight. Walk and enjoy."
"2","rn469324093","Lorne R","Ottawa, Canada","207 reviews","Extraordinary architecture",5,2017-03-22,"We visited this area twice-via bus tour then walking. The buildings are quite unique and are a contrast to the old architecture in the city center. We did visit the Oceanographic but did not have time to go inside the others. A photographers dreamscape.",1,"Extraordinary architecture. We visited this area twice-via bus tour then walking. The buildings are quite unique and are a contrast to the old architecture in the city center. We did visit the Oceanographic but did not have time to go inside the others. A photographers dreamscape."
"3","rn469283899","SharonKilinger","Amsterdam, The Netherlands","20 reviews","must see",5,2017-03-22,"can't go to Valencia without visiting this great piece of architecture. very impressive. we didn't go inside. but just strolled around from the top and underneath. we took our time. already impressive. a nice sunny day helped to make it even more pleasant.",1,"must see. can't go to Valencia without visiting this great piece of architecture. very impressive. we didn't go inside. but just strolled around from the top and underneath. we took our time. already impressive. a nice sunny day helped to make it even more pleasant."
"4","rn469160612","dhritinadir","Madrid, Spain","5 reviews","Perfect place to spend several hours !",5,2017-03-21,"Stunning architecture. Absolutely perfect when the weather is pleasant. Lots of activities for children, families as well as solo travellers. I enjoyed the Science Museum (It is prohibited to not touch - what a fantastic motto!) and the Oceanographic. Both require atleast 3 hours each so you can spend a LOT of time here :)",1,"Perfect place to spend several hours !. Stunning architecture. Absolutely perfect when the weather is pleasant. Lots of activities for children, families as well as solo travellers. I enjoyed the Science Museum (It is prohibited to not touch - what a fantastic motto!) and the Oceanographic. Both require atleast 3 hours each so you can spend a LOT of time here :)"
"5","rn469105323","JenCos","Birkirkara, Malta","70 reviews","Number 1 attraction in Valencia",5,2017-03-21,"The City of Arts and Sciences is an amazing spectacle of modern architecture and had been on my bucket list for a long while! <br><br>It is unlike anything else I've seen during my travels in Europe. It is free to walk around and take in the sights. It is easily accessible via bus number 95 which goes all around the Turia Park. The City of Art and Sciences is hands down, the number one attraction to visit in Valencia.",1,"Number 1 attraction in Valencia. The City of Arts and Sciences is an amazing spectacle of modern architecture and had been on my bucket list for a long while! <br><br>It is unlike anything else I've seen during my travels in Europe. It is free to walk around and take in the sights. It is easily accessible via bus number 95 which goes all around the Turia Park. The City of Art and Sciences is hands down, the number one attraction to visit in Valencia."
"6","rn469024461","KrisSoomers","Rotterdam, The Netherlands","20 reviews","Awesome sight",5,2017-03-21,"The picture says it all. Wonderfull architecture to behold in the beautifull setting right next to Turia.",1,"Awesome sight. The picture says it all. Wonderfull architecture to behold in the beautifull setting right next to Turia."
"7","rn468618954","Gea E","","5 reviews","Refreshing when visiting Europe",5,2017-03-19,"This place resembles Sci-Fi movies (not to mention many were filmed here). It is unique and well worth visiting. If you are on a budget make sure to at least have a walk around the area (it's free) that is plenty to enjoy the uniqueness of it.",1,"Refreshing when visiting Europe. This place resembles Sci-Fi movies (not to mention many were filmed here). It is unique and well worth visiting. If you are on a budget make sure to at least have a walk around the area (it's free) that is plenty to enjoy the uniqueness of it."
"8","rn468552230","SteveHO H","Wokingham, United Kingdom","15 reviews","Impressive",5,2017-03-19,"I'm not normally a great fan of modern architecture but this is something else. Luckily we visited on a sunny day so we saw the way that the water complemented the design of the buildings. Really a great photo opportunity.",1,"Impressive. I'm not normally a great fan of modern architecture but this is something else. Luckily we visited on a sunny day so we saw the way that the water complemented the design of the buildings. Really a great photo opportunity."
"9","rn468471939","StuBud","Woking, United Kingdom","145 reviews","Interesting and visually stunning",5,2017-03-19,"I walked the old dry river bed from north of the city to here during the Fallas Festival. It was a nice walk with cyclists mainly staying to their allocated paths. The bridges end route are spectacular and it's well worth the walk. <br><br>Once at the actual sight, there's lots to see and do. The architecture alone is worth a look. Very clean and well worth a visit.",1,"Interesting and visually stunning. I walked the old dry river bed from north of the city to here during the Fallas Festival. It was a nice walk with cyclists mainly staying to their allocated paths. The bridges end route are spectacular and it's well worth the walk. <br><br>Once at the actual sight, there's lots to see and do. The architecture alone is worth a look. Very clean and well worth a visit."
"10","rn468340364","donemyshareotravel","Calgary","33 reviews","Only outside but worth seeing it",4,2017-03-18,"Beautiful gardens and structures. You can rent a bike and go around. Pick a nice sunny days and it's a nice stroll",1,"Only outside but worth seeing it. Beautiful gardens and structures. You can rent a bike and go around. Pick a nice sunny days and it's a nice stroll"
"11","rn468286749","lekli","Pardubice","161 reviews","Futuristic extraordinary place",5,2017-03-18,"I really loved the City of the Arts and Sciences! Atypical buildings which rise your imagination - what do you really see? <br>It's a great place just to hang around, but when you are there do not miss a visit of Oceanografic. This is the top of the places to visit in the City of the Arts and Sciences.",2,"Futuristic extraordinary place. I really loved the City of the Arts and Sciences! Atypical buildings which rise your imagination - what do you really see? <br>It's a great place just to hang around, but when you are there do not miss a visit of Oceanografic. This is the top of the places to visit in the City of the Arts and Sciences."
"12","rn468089510","harry_puts","Maastricht, The Netherlands","305 reviews","Amazing.",5,2017-03-17,"When you stay in Valencia you must see this complex special buildings by Calatrava. We have made a tour in de Opera House, very interesting, we had lunch there. It is indeed as another reviewer said: 'another planet'. You can reach it easily through the park, (a good) walk or by bicycle.",2,"Amazing.. When you stay in Valencia you must see this complex special buildings by Calatrava. We have made a tour in de Opera House, very interesting, we had lunch there. It is indeed as another reviewer said: 'another planet'. You can reach it easily through the park, (a good) walk or by bicycle."
"13","rn468014758","Steven D","Kontich, Belgium","26 reviews","Just the building",2,2017-03-17,"Found the science exhibitions really outdated and not very interesting. Also a lot of the installations where not working. The Nobel prize exhibition on the second floor was only in Spanish.<br><br>Save your money, and just walk thru the building to look at the architecture. That's the only exiting part, and it's free.",2,"Just the building. Found the science exhibitions really outdated and not very interesting. Also a lot of the installations where not working. The Nobel prize exhibition on the second floor was only in Spanish.<br><br>Save your money, and just walk thru the building to look at the architecture. That's the only exiting part, and it's free."
"14","rn467611852","florgodoyf","Buenos Aires, Argentina","12 reviews","Beautiful place",5,2017-03-15,"It is just beautiful, even if you don't like museums you can just visit the place because it is awesome.",2,"Beautiful place. It is just beautiful, even if you don't like museums you can just visit the place because it is awesome."
"15","rn467453629","olorien","Serbia","36 reviews","On another planet",5,2017-03-15,"This is absolutely the number one thing to see in Valencia.<br>Even without visiting the inside, just being in this place makes you feel like you are visiting another planet. The views are very similar to the futuristic cities you see in the movies. <br>Also, you can visit the museum exhibits, the aquarium, and see an IMAX projection in the Hemisferic, which are all worth a visit.<br>The one thing that bothered me, is that it is not well connected to the city by metro, because i always prefer to use it, but the bus lines are running very close by. Also you can get to the City by a walk through the beautiful ""river"" park.",2,"On another planet. This is absolutely the number one thing to see in Valencia.<br>Even without visiting the inside, just being in this place makes you feel like you are visiting another planet. The views are very similar to the futuristic cities you see in the movies. <br>Also, you can visit the museum exhibits, the aquarium, and see an IMAX projection in the Hemisferic, which are all worth a visit.<br>The one thing that bothered me, is that it is not well connected to the city by metro, because i always prefer to use it, but the bus lines are running very close by. Also you can get to the City by a walk through the beautiful ""river"" park."
"16","rn467310641","El_Mano116","Samobor, Croatia","17 reviews","Modern architecture",5,2017-03-14,"Very modern buildings and surroundings. After old part of the city this is the second most attractive part. Worth a visit. I am not sure about the opera house and Agora, but the Science museum (and Oceanografic) is open to visitors. Easily accesible by bus or a walk from city centre.",2,"Modern architecture. Very modern buildings and surroundings. After old part of the city this is the second most attractive part. Worth a visit. I am not sure about the opera house and Agora, but the Science museum (and Oceanografic) is open to visitors. Easily accesible by bus or a walk from city centre."
"17","rn467203114","Fanina S","","10 reviews","Top notch experience",5,2017-03-14,"The aesthetically stunning City of Arts &amp; Sciences occupies a massive 350,000-sq-metre swath of the old Turia riverbed.It is a place you should not fail to visit. It is a memorable experience that you will carry for many years. Children will have the time of their life in this place. Make sure you carve a whole day for it as it takes time to see and appreciate everything and even after a whole day you leave feeling you must have missed out on something. There are animals, an astronomy centre, the Principe Felipe science museum, the Hemisferic, etc.....not to be missed.",2,"Top notch experience. The aesthetically stunning City of Arts &amp; Sciences occupies a massive 350,000-sq-metre swath of the old Turia riverbed.It is a place you should not fail to visit. It is a memorable experience that you will carry for many years. Children will have the time of their life in this place. Make sure you carve a whole day for it as it takes time to see and appreciate everything and even after a whole day you leave feeling you must have missed out on something. There are animals, an astronomy centre, the Principe Felipe science museum, the Hemisferic, etc.....not to be missed."
"18","rn467162343","Ilyana86","Bucharest, Romania","73 reviews","Amazing place",5,2017-03-14,"The City of Arts and Sciences is a must see place when visiting Valencia. The architecture of the buildings is very futuristic. Very nice place. Good for having a walk and to relax.",2,"Amazing place. The City of Arts and Sciences is a must see place when visiting Valencia. The architecture of the buildings is very futuristic. Very nice place. Good for having a walk and to relax."
"19","rn467151435","apis42","Caserta, Italy","128 reviews","Calatrava at his best!",5,2017-03-14,"It's the most representative work of Calatrava, a valencian architect known for his white bridges and stations all over the world.",2,"Calatrava at his best!. It's the most representative work of Calatrava, a valencian architect known for his white bridges and stations all over the world."
"20","rn467143156","Camy28","Brasov","33 reviews","Not what I expected",4,2017-03-14,"Even if the building's architecture is spectacular,I was disappointed by what I could do in the two museums.",2,"Not what I expected. Even if the building's architecture is spectacular,I was disappointed by what I could do in the two museums."
"21","rn467018251","tammydog51","Wimborne, United Kingdom","46 reviews","Brillian",5,2017-03-13,"Loved the building and the p<br><br>Love the building and science PlayStations and experiments. But really loved the Dinasssors exhibition. Everything good. Great for young people and children. As after going up threef floor seven with elevators andlarge spread out exhibitions we being elderly werepretty shattered. But still well worth it,<br><br></p>",3,"Brillian. Loved the building and the p<br><br>Love the building and science PlayStations and experiments. But really loved the Dinasssors exhibition. Everything good. Great for young people and children. As after going up threef floor seven with elevators andlarge spread out exhibitions we being elderly werepretty shattered. But still well worth it,<br><br></p>"
