"word","tfidf","tf"
"abil",0.0195725405194045,8
"abroad",0.0108964562158499,4
"absolut",0.151548341574442,105
"absorb",0.0255095932544225,11
"abstract",0.0594368200292441,31
"abund",0.0108964562158499,4
"accept",0.0108964562158499,4
"access",0.148032797824405,104
"accid",0.0108964562158499,4
"accompani",0.0239940547737565,10
"accross",0.0108964562158499,4
"accumul",0.0131738202075207,5
"acquir",0.0441044029649313,21
"activ",0.0239940547737565,10
"actual",0.017500248709571,7
"add",0.0465452907434096,23
"addit",0.0967089716440224,58
"adequ",0.0131738202075207,5
"adjac",0.0131738202075207,5
"admir",0.0559958524278871,29
"admiss",0.145826156349315,99
"admit",0.017500248709571,7
"adult",0.0235721755246723,10
"advanc",0.0752739658995186,42
"advantag",0.0465452907434096,23
"adventur",0.0131738202075207,5
"advertis",0.017500248709571,7
"advic",0.0347043372142183,16
"advis",0.0381934617900973,18
"advisor",0.0179323183596834,7
"afford",0.0347043372142183,16
"aficionado",0.0131738202075207,5
"afternoon",0.237574162736394,198
"age",0.174289901065532,127
"ago",0.0529066269012239,27
"agre",0.02201910808433,9
"ahead",0.0259293930771395,11
"aid",0.0131738202075207,5
"aim",0.0108964562158499,4
"air",0.0529066269012239,27
"airi",0.0649457388792295,35
"airport",0.0131738202075207,5
"alik",0.0108964562158499,4
"allot",0.0108964562158499,4
"alma",0.018443348290529,7
"alongsid",0.0108964562158499,4
"alot",0.0108964562158499,4
"altern",0.0381934617900973,18
"altogeth",0.0131738202075207,5
"amass",0.0235721755246723,10
"amateur",0.0108964562158499,4
"amaz",0.411265609573834,480
"america",0.0274105593195858,12
"american",0.218230529355926,175
"amount",0.0724904881217268,40
"amp",0.177086479464104,115
"ampl",0.0255095932544225,11
"ancient",0.0337824447056024,15
"andi",0.0158085842490249,6
"andrew",0.0469546711932163,23
"angel",0.0153705585940144,6
"annoy",0.0108964562158499,4
"answer",0.0131738202075207,5
"anticip",0.0153705585940144,6
"antiqu",0.0108964562158499,4
"app",0.0292781187448554,13
"appar",0.0255095932544225,11
"appeal",0.0432628298047762,21
"appreci",0.0793782429365882,45
"approach",0.036873358290107,17
"architectur",0.0399039836349378,19
"area",0.124033621891333,80
"aren",0.036873358290107,17
"arrang",0.10771723931937,67
"array",0.045752763395467,22
"arriv",0.0886519552905011,52
"art",0.791741037424791,3218
"artist",0.531745116964824,736
"artwork",0.173787428135105,126
"aspect",0.0292781187448554,13
"assembl",0.0386054292848116,18
"assort",0.0108964562158499,4
"assum",0.0108964562158499,4
"astonish",0.0390423793659956,18
"astound",0.0364606832134332,17
"ate",0.0153705585940144,6
"atmospher",0.0672191849642943,36
"atocha",0.0136205702698124,5
"attach",0.0351178122267811,16
"attempt",0.0153705585940144,6
"attend",0.017500248709571,7
"attent",0.0634847857996113,34
"attract",0.105376006875425,64
"audio",0.273378824331863,243
"audioguid",0.0695120926691013,36
"audrey",0.0108964562158499,4
"august",0.0153705585940144,6
"author",0.0131738202075207,5
"avant",0.0296947725962179,13
"averag",0.0329229489626073,15
"avoid",0.0886519552905011,52
"awaken",0.0136205702698124,5
"awar",0.0259293930771395,11
"awe",0.0153705585940144,6
"awesom",0.061354136804381,32
"back",0.156720492780144,111
"background",0.0347043372142183,16
"backpack",0.017500248709571,7
"bacon",0.044913163750033,22
"bad",0.0329229489626073,15
"bag",0.0319789858728501,14
"balanc",0.0179323183596834,7
"ballerina",0.0131738202075207,5
"banco",0.0108964562158499,4
"bar",0.0501666696898809,25
"bare",0.0153705585940144,6
"baro",0.0572638782487608,29
"baron",0.132433577828318,83
"baroqu",0.044913163750033,22
"base",0.0465452907434096,23
"basement",0.0131738202075207,5
"basic",0.0399039836349378,19
"bath",0.0108964562158499,4
"bathroom",0.0108964562158499,4
"bear",0.0131738202075207,5
"beat",0.017500248709571,7
"beati",0.0108964562158499,4
"beauti",0.410099365889054,476
"beautiful",0.0108964562158499,4
"beckmann",0.0108964562158499,4
"bee",0.0259293930771395,11
"beer",0.0108964562158499,4
"began",0.0179323183596834,7
"begin",0.0572638782487608,29
"behold",0.0108964562158499,4
