"","x"
"1","negative"
"2","positive"
"3","negative"
"4","positive"
"5","positive"
"6","positive"
"7","positive"
"8","negative"
"9","positive"
"10","negative"
"11","positive"
"12","positive"
"13","negative"
"14","negative"
"15","positive"
"16","positive"
"17","positive"
"18","positive"
"19","positive"
"20","positive"
"21","negative"
"22","positive"
"23","negative"
"24","positive"
"25","positive"
"26","negative"
"27","positive"
"28","positive"
"29","positive"
"30","positive"
"31","negative"
"32","positive"
"33","negative"
"34","negative"
"35","positive"
"36","negative"
"37","positive"
"38","positive"
"39","negative"
"40","positive"
"41","positive"
"42","positive"
"43","negative"
"44","negative"
"45","positive"
"46","positive"
"47","positive"
"48","positive"
"49","positive"
"50","negative"
"51","negative"
"52","negative"
"53","positive"
"54","negative"
"55","positive"
"56","positive"
"57","positive"
"58","negative"
"59","positive"
"60","positive"
"61","positive"
"62","positive"
"63","positive"
"64","positive"
"65","positive"
"66","positive"
"67","positive"
"68","negative"
"69","positive"
"70","positive"
"71","positive"
"72","positive"
"73","negative"
"74","negative"
"75","positive"
"76","negative"
"77","positive"
"78","negative"
"79","positive"
"80","positive"
"81","negative"
"82","negative"
"83","positive"
"84","positive"
"85","positive"
"86","positive"
"87","positive"
"88","negative"
"89","positive"
"90","positive"
"91","positive"
"92","positive"
"93","positive"
"94","positive"
"95","positive"
"96","positive"
"97","negative"
"98","positive"
"99","negative"
"100","negative"
"101","negative"
"102","positive"
"103","positive"
"104","negative"
"105","positive"
"106","negative"
"107","positive"
"108","negative"
"109","positive"
"110","positive"
"111","positive"
"112","positive"
"113","positive"
"114","positive"
"115","positive"
"116","positive"
"117","positive"
"118","positive"
"119","positive"
"120","positive"
"121","negative"
"122","positive"
"123","positive"
"124","positive"
"125","positive"
"126","positive"
"127","positive"
"128","positive"
"129","negative"
"130","positive"
"131","positive"
"132","positive"
"133","positive"
"134","negative"
"135","positive"
"136","negative"
"137","positive"
"138","negative"
"139","positive"
"140","positive"
"141","positive"
"142","positive"
"143","positive"
"144","positive"
"145","positive"
"146","negative"
"147","positive"
"148","positive"
"149","positive"
"150","negative"
"151","positive"
"152","negative"
"153","negative"
"154","positive"
"155","negative"
"156","positive"
"157","positive"
"158","positive"
"159","negative"
"160","positive"
"161","positive"
"162","negative"
"163","positive"
"164","positive"
"165","positive"
"166","positive"
"167","positive"
"168","positive"
"169","negative"
"170","negative"
"171","positive"
"172","positive"
"173","positive"
"174","positive"
"175","positive"
"176","negative"
"177","positive"
"178","negative"
"179","positive"
"180","negative"
"181","negative"
"182","negative"
"183","negative"
"184","positive"
"185","positive"
"186","positive"
"187","positive"
"188","positive"
"189","negative"
"190","negative"
"191","negative"
"192","negative"
"193","positive"
"194","negative"
"195","positive"
"196","positive"
"197","positive"
"198","positive"
"199","positive"
"200","positive"
"201","positive"
"202","negative"
"203","negative"
"204","positive"
"205","negative"
"206","negative"
"207","negative"
"208","positive"
"209","negative"
"210","positive"
"211","positive"
"212","positive"
"213","positive"
"214","negative"
"215","negative"
"216","positive"
"217","negative"
"218","positive"
"219","positive"
"220","negative"
"221","positive"
"222","negative"
"223","positive"
"224","negative"
"225","positive"
"226","positive"
"227","positive"
"228","positive"
"229","negative"
"230","positive"
"231","positive"
"232","positive"
"233","positive"
"234","positive"
"235","negative"
"236","positive"
"237","positive"
"238","negative"
"239","positive"
"240","positive"
"241","positive"
"242","positive"
"243","positive"
"244","negative"
"245","negative"
"246","negative"
"247","positive"
"248","positive"
"249","negative"
"250","positive"
"251","positive"
"252","negative"
"253","negative"
"254","positive"
"255","positive"
"256","negative"
"257","positive"
"258","negative"
"259","positive"
"260","positive"
"261","negative"
"262","positive"
"263","positive"
"264","positive"
"265","negative"
"266","positive"
"267","positive"
"268","positive"
"269","positive"
"270","positive"
"271","negative"
"272","positive"
"273","positive"
"274","positive"
"275","negative"
"276","positive"
"277","positive"
"278","negative"
"279","positive"
"280","positive"
"281","positive"
"282","negative"
"283","positive"
"284","positive"
"285","negative"
"286","positive"
"287","positive"
"288","positive"
"289","positive"
