"","x"
"1","rn467434236"
"2","rn466743713"
"3","rn465606370"
"4","rn465424742"
"5","rn465163084"
"6","rn463596086"
"7","rn460472956"
"8","rn459449502"
"9","rn447283492"
"10","rn446074245"
"11","rn445002374"
"12","rn443422459"
"13","rn442020990"
"14","rn441029310"
"15","rn440201714"
"16","rn434574697"
"17","rn434349573"
"18","rn433670222"
"19","rn432439405"
"20","rn432196766"
"21","rn431907052"
"22","rn431309959"
"23","rn431226078"
"24","rn430644260"
"25","rn429314884"
"26","rn429295160"
"27","rn429033348"
"28","rn428665521"
"29","rn427268366"
"30","rn426704034"
"31","rn424442763"
"32","rn424332063"
"33","rn422217803"
"34","rn421907215"
"35","rn421690223"
"36","rn420888754"
"37","rn420870107"
"38","rn419731440"
"39","rn418820237"
"40","rn416541872"
"41","rn415874713"
"42","rn415093844"
"43","rn413584331"
"44","rn412739094"
"45","rn407294269"
"46","rn406606034"
"47","rn406579297"
"48","rn406558276"
"49","rn404156527"
"50","rn403968172"
"51","rn402809765"
"52","rn394995405"
"53","rn394823375"
"54","rn394528268"
"55","rn394100426"
"56","rn394008763"
"57","rn393012462"
"58","rn391295058"
"59","rn391194290"
"60","rn390864611"
"61","rn387175399"
"62","rn387052291"
"63","rn386521673"
"64","rn385242537"
"65","rn384084050"
"66","rn383314958"
"67","rn382832327"
"68","rn381862374"
"69","rn379806961"
"70","rn379328820"
"71","rn379006638"
"72","rn378714165"
"73","rn377141501"
"74","rn375669332"
"75","rn375464110"
"76","rn373309359"
"77","rn371033814"
"78","rn369991491"
"79","rn368918839"
"80","rn368171508"
"81","rn368032546"
"82","rn364905551"
"83","rn364528697"
"84","rn363156288"
"85","rn362803409"
"86","rn361718833"
"87","rn361571799"
"88","rn360068485"
"89","rn359899912"
"90","rn357956379"
"91","rn356057873"
"92","rn355717061"
"93","rn353140311"
"94","rn350768159"
"95","rn347955293"
"96","rn347354051"
"97","rn345790312"
"98","rn345280760"
"99","rn342697261"
"100","rn340149808"
"101","rn338876061"
"102","rn338730963"
"103","rn336341408"
"104","rn334763654"
"105","rn331989256"
"106","rn331914827"
"107","rn329126660"
"108","rn325843636"
"109","rn325368355"
"110","rn324397031"
"111","rn323665983"
"112","rn323025965"
"113","rn321698773"
"114","rn320383296"
"115","rn319719455"
"116","rn319597745"
"117","rn318849000"
"118","rn318310611"
"119","rn318208566"
"120","rn317644682"
"121","rn317305909"
"122","rn317116223"
"123","rn316193288"
"124","rn315640237"
"125","rn313978398"
"126","rn312058216"
"127","rn311990339"
"128","rn310325221"
"129","rn310285208"
"130","rn309561252"
"131","rn307177383"
"132","rn305914640"
