"","x"
"1","rn469375709"
"2","rn460472956"
"3","rn459957986"
"4","rn459449502"
"5","rn458782272"
"6","rn458205748"
"7","rn456354653"
"8","rn445002374"
"9","rn440704927"
"10","rn440201714"
"11","rn436991445"
"12","rn432321790"
"13","rn429744779"
"14","rn429295160"
"15","rn428665521"
"16","rn428454687"
"17","rn426025955"
"18","rn425565579"
"19","rn425207019"
"20","rn424691457"
"21","rn424332063"
"22","rn421942712"
"23","rn421477887"
"24","rn421301239"
"25","rn420888754"
"26","rn420870107"
"27","rn418935114"
"28","rn416541872"
"29","rn414728850"
"30","rn413362293"
"31","rn412739094"
"32","rn410978545"
"33","rn408897032"
"34","rn407294269"
"35","rn406794118"
"36","rn406579297"
"37","rn404493428"
"38","rn404207597"
"39","rn404156527"
"40","rn401002254"
"41","rn400578956"
"42","rn400549916"
"43","rn396553632"
"44","rn396299219"
"45","rn394995405"
"46","rn394601675"
"47","rn394528268"
"48","rn394360662"
"49","rn394298022"
"50","rn393234114"
"51","rn392947311"
"52","rn392556245"
"53","rn391520296"
"54","rn391295058"
"55","rn391194290"
"56","rn390757310"
"57","rn388957538"
"58","rn388131720"
"59","rn387586715"
"60","rn387515241"
"61","rn387286028"
"62","rn385851378"
"63","rn385353047"
"64","rn384245300"
"65","rn384084050"
"66","rn383314958"
"67","rn382505987"
"68","rn380232037"
"69","rn380069350"
"70","rn377562042"
"71","rn377109039"
"72","rn375464110"
"73","rn373837677"
"74","rn372352933"
"75","rn371033814"
"76","rn370697961"
"77","rn369837293"
"78","rn364528697"
"79","rn363156288"
"80","rn361014053"
"81","rn359899912"
"82","rn357970008"
"83","rn356845801"
"84","rn356057873"
"85","rn350768159"
"86","rn348638769"
"87","rn347955293"
"88","rn345280760"
"89","rn341076107"
"90","rn340888112"
"91","rn340149808"
"92","rn338876061"
"93","rn338066121"
"94","rn336734124"
"95","rn334763654"
"96","rn329529939"
"97","rn325843636"
"98","rn325368355"
"99","rn324397031"
"100","rn323866538"
"101","rn322475228"
"102","rn321698773"
"103","rn320150114"
"104","rn319597745"
"105","rn319529686"
"106","rn319091382"
"107","rn318801366"
"108","rn317707282"
"109","rn317253430"
"110","rn317241927"
"111","rn317116223"
"112","rn315323932"
"113","rn315185548"
"114","rn314515252"
"115","rn310366688"
"116","rn304677426"
"117","rn304657129"
"118","rn303501488"
"119","rn303382105"
"120","rn302563708"
"121","rn302442869"
"122","rn302290117"
"123","rn300416170"
"124","rn300037540"
"125","rn299635122"
"126","rn299164086"
"127","rn298923560"
"128","rn297577299"
"129","rn295799508"
"130","rn295348721"
"131","rn295275144"
"132","rn293656937"
"133","rn292067364"
"134","rn291359907"
"135","rn291215450"
"136","rn289903514"
"137","rn289651429"
"138","rn289397373"
"139","rn287939453"
"140","rn287144252"
"141","rn285143387"
"142","rn283648356"
"143","rn283308855"
"144","rn282787782"
"145","rn281786585"
"146","rn279869785"
"147","rn279110095"
"148","rn277910382"
"149","rn277625121"
"150","rn274158989"
"151","rn272526070"
"152","rn272248398"
"153","rn271575880"
"154","rn267349938"
"155","rn267159875"
"156","rn266097590"
"157","rn265884192"
"158","rn265131129"
"159","rn265055592"
"160","rn262378340"
"161","rn260053727"
"162","rn259632769"
"163","rn257767037"
"164","rn257169072"
"165","rn256862378"
"166","rn256490003"
"167","rn256179528"
"168","rn255831769"
"169","rn250107755"
"170","rn248906978"
"171","rn248802633"
"172","rn246968768"
"173","rn244015538"
"174","rn243367376"
"175","rn243038419"
"176","rn242636429"
"177","rn241790541"
"178","rn241631236"
"179","rn241143409"
"180","rn239934393"
"181","rn238132605"
"182","rn237822957"
"183","rn237310579"
"184","rn237170863"
"185","rn236214772"
"186","rn235583528"
"187","rn232121123"
"188","rn228090993"
"189","rn227863458"
"190","rn227160651"
"191","rn226500538"
"192","rn226274981"
"193","rn225666683"
"194","rn225525158"
"195","rn224113820"
"196","rn223488618"
"197","rn223253242"
"198","rn223245736"
"199","rn223174248"
"200","rn223153967"
"201","rn223069571"
"202","rn221874798"
"203","rn220314960"
"204","rn219853447"
"205","rn218758817"
"206","rn218078342"
"207","rn217210173"
"208","rn216609897"
"209","rn214344019"
"210","rn212687986"
"211","rn210690792"
"212","rn209794633"
"213","rn206762206"
"214","rn206539072"
"215","rn206053259"
"216","rn203213899"
"217","rn195170928"
"218","rn194221137"
"219","rn193847966"
"220","rn190454897"
"221","rn189850698"
"222","rn188822434"
"223","rn187284141"
"224","rn187106824"
"225","rn186472504"
"226","rn185305056"
"227","rn183534691"
"228","rn183144694"
"229","rn182762234"
"230","rn182151589"
"231","rn179735606"
"232","rn179218751"
"233","rn178780452"
"234","rn178677582"
"235","rn177943070"
"236","rn177568378"
"237","rn176156755"
"238","rn175627631"
"239","rn175544332"
"240","rn174652217"
"241","rn172991766"
"242","rn172773070"
"243","rn170546227"
"244","rn169505278"
"245","rn168564467"
"246","rn166607463"
"247","rn166505351"
"248","rn165741450"
"249","rn165340405"
"250","rn165105297"
"251","rn164831457"
"252","rn164818409"
"253","rn163630551"
"254","rn163517356"
"255","rn162971757"
"256","rn162321923"
"257","rn161164318"
"258","rn160922613"
"259","rn160863532"
"260","rn160263584"
"261","rn159537033"
"262","rn157280496"
"263","rn155395009"
"264","rn150083269"
"265","rn149525970"
"266","rn148373568"
"267","rn147658085"
"268","rn146489745"
"269","rn144377201"
"270","rn143818602"
"271","rn142848402"
"272","rn142569862"
"273","rn141666313"
"274","rn140425302"
"275","rn140180207"
"276","rn139636573"
"277","rn139279677"
"278","rn138307410"
"279","rn138082300"
"280","rn136361759"
"281","rn135081643"
"282","rn133859185"
"283","rn131425094"
"284","rn131422757"
"285","rn130710194"
"286","rn129395136"
"287","rn129173247"
"288","rn127183164"
"289","rn127049629"
