"X","id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion","SentimentValue","SentimentCore","pos","neg"
1,"rn469375709","Lena1947","Newton, Massachusetts","102 reviews","Fabulous Museum",5,"2017-03-22","Because I WAS not a Dali fan, I was reluctant to go to this museum, but I was totally wrong! What a genius he was! There were so many surprises that I couldn't' wait to get to the next level.",1,"Fabulous Museum. Because I WAS not a Dali fan, I was reluctant to go to this museum, but I was totally wrong! What a genius he was! There were so many surprises that I couldn't' wait to get to the next level.","positive","negative",1,3
3,"rn467740553","Paul V","Denver, Colorado","37 reviews","Amazing museum",5,"2017-03-16","I'm not the biggest fan of museums, but I really enjoyed this one. I think it is because Dali's work is so varied and so interesting and different. I was captivate my entire visit.",1,"Amazing museum. I'm not the biggest fan of museums, but I really enjoyed this one. I think it is because Dali's work is so varied and so interesting and different. I was captivate my entire visit.","positive","positive",3,1
5,"rn467434236","sarai a","","5 reviews","Dalli is Amazing",5,"2017-03-15","Amazing Museum. So many great works of Dali in one place. The art hypnotizing you. The museum is at Figueres, a charming little village.",1,"Dalli is Amazing. Amazing Museum. So many great works of Dali in one place. The art hypnotizing you. The museum is at Figueres, a charming little village.","positive","positive",5,0
6,"rn466788750","Jim H","Saint Paul, Minnesota","34 reviews","The Sensational Salvador Dali",5,"2017-03-13","A trip to this museum is a bit surreal, but then that is the point. Dali designed the building as a theater to exhibit his artworks. There is a large panorama of his works that trace his artistic progress from his early years to the last years of his life. The museum includes sketches, sculptures, paintings, murals, holograms, photographs, magnificent artistic jewelry, and of course surrealistic creations. Also on display are paintings by other artists from his personal collection. The museum is easily visited from Barcelona as a day trip.",1,"The Sensational Salvador Dali. A trip to this museum is a bit surreal, but then that is the point. Dali designed the building as a theater to exhibit his artworks. There is a large panorama of his works that trace his artistic progress from his early years to the last years of his life. The museum includes sketches, sculptures, paintings, murals, holograms, photographs, magnificent artistic jewelry, and of course surrealistic creations. Also on display are paintings by other artists from his personal collection. The museum is easily visited from Barcelona as a day trip.","positive","positive",4,1
7,"rn466743713","VALENTINELADY","TEXAS","240 reviews","A Beautiful Museum And Worth Every Moment",5,"2017-03-13","This is a really fun museum and incredibly interesting. Here's a few important pointers:<br>1. Buy your ticket and be there first thing in the morning. This is a popular destination, so there may be many ""tour bus tourists"" arriving, so first thing or end of the day may be your best bet for less crowds.<br>2. If you put a Euro in the car, Make sure someone is standing at the window of the hearse to let you get your picture. I did this and other tourists made sure to take advantage of the photographs I wanted to take inside the vehicle when my surprise started. The coin slot is at the front of the car.<br>3. This museum was built around Dali's tribute to his late wife. So the, unless they change his art, it would be hard to design it more accessible to wheelchair. <br>4. If you drive here, make sure to drive to his home as well. You are definitely missing out if you don't take a drive further North to see his home. It is very interesting too.<br>5. Make sure to look for all the ""secret"" ways to look for things. Dali wanted his audience to understand that there is more than one way to look at something.",1,"A Beautiful Museum And Worth Every Moment. This is a really fun museum and incredibly interesting. Here's a few important pointers: 1. Buy your ticket and be there first thing in the morning. This is a popular destination, so there may be many  tour bus tourists  arriving, so first thing or end of the day may be your best bet for less crowds. 2. If you put a Euro in the car, Make sure someone is standing at the window of the hearse to let you get your picture. I did this and other tourists made sure to take advantage of the photographs I wanted to take inside the vehicle when my surprise started. The coin slot is at the front of the car. 3. This museum was built around Dali's tribute to his late wife. So the, unless they change his art, it would be hard to design it more accessible to wheelchair.  4. If you drive here, make sure to drive to his home as well. You are definitely missing out if you don't take a drive further North to see his home. It is very interesting too. 5. Make sure to look for all the  secret  ways to look for things. Dali wanted his audience to understand that there is more than one way to look at something.","positive","positive",7,5
8,"rn465606370","Maria910","Larchmont, New York","36 reviews","Unbelievable and worth the trip to Figueres",5,"2017-03-08","What a wonderful museum and be sure to see BOTH buildings. The second building is an UNBELIEVABLE surprise. Friends of ours told us about this exhibit but were very funny and kept saying, ""Don't tell them!"". We forgot all about this silliness until we got to the second building and it was truly unbelievable and we said ""This is what they kept as a secret from us!"" Worth the trip!!",1,"Unbelievable and worth the trip to Figueres. What a wonderful museum and be sure to see BOTH buildings. The second building is an UNBELIEVABLE surprise. Friends of ours told us about this exhibit but were very funny and kept saying,  Don't tell them! . We forgot all about this silliness until we got to the second building and it was truly unbelievable and we said  This is what they kept as a secret from us!  Worth the trip!!","positive","positive",5,1
9,"rn465424742","nickyj11","London, United Kingdom","17 reviews","Enthralling",5,"2017-03-07","Loved this - we spent 5 hours in there, without a break!<br><br>Lots of quirky things.<br><br>One of my favourites was a series of photographs of Dali's moustache!<br><br>Afterwards we visited a small exhibition of Dali's jewels, that was included in the ticket.<br>That was very interesting too.",1,"Enthralling. Loved this - we spent 5 hours in there, without a break!  Lots of quirky things.  One of my favourites was a series of photographs of Dali's moustache!  Afterwards we visited a small exhibition of Dali's jewels, that was included in the ticket. That was very interesting too.","positive","positive",2,1
10,"rn465163084","jmfle","Brimfield, Massachusetts","59 reviews","Highlights his work. Lots to see!",5,"2017-03-06","We did not have as much time as we hoped. It is a large museum and contains many of Dali's work. What a site!",1,"Highlights his work. Lots to see!. We did not have as much time as we hoped. It is a large museum and contains many of Dali's work. What a site!","positive","negative",1,2
11,"rn464805006","Liliana G","","5 reviews","The Mustache Says It All",5,"2017-03-05","If Dali's work and life has occupied a place in the domain of your interests then a visit to Figueres is a must. Just like the styles of his mustache capture the different characters Dali purported to inhabit, this museum unveils the range of his talent, skills and role in a global society.",2,"The Mustache Says It All. If Dali's work and life has occupied a place in the domain of your interests then a visit to Figueres is a must. Just like the styles of his mustache capture the different characters Dali purported to inhabit, this museum unveils the range of his talent, skills and role in a global society.","positive","neutral",1,1
13,"rn463596086","Jonna W","","4 reviews","Have fun, a must see!",5,"2017-02-28","A wonderful experience. This museum is so much fun. We spent 1.30 hours and felt we had done justice to this fabulous omage to its creator. We are common folk who love to travel and try our best to appreciate art.",2,"Have fun, a must see!. A wonderful experience. This museum is so much fun. We spent 1.30 hours and felt we had done justice to this fabulous omage to its creator. We are common folk who love to travel and try our best to appreciate art.","positive","positive",5,1
