"word","tfidf","tf"
"guid",1.15975366976725,31
"work",1.01070937818842,44
"exhibit",0.881039269921888,20
"visit",0.867447407701544,36
"time",0.84825932310309,32
"art",0.843351646376501,35
"experi",0.816895093968913,28
"inform",0.785639582745555,21
"dali",0.76764369894176,66
"ticket",0.747498950939629,16
"museum",0.742194435958817,89
"peopl",0.729370619615101,25
"hour",0.707873556560817,17
"disappoint",0.675275268376484,21
"crowd",0.673673645686261,22
"money",0.673405356639047,18
"place",0.673405356639047,18
"display",0.666233935586651,16
"paint",0.646097722528801,13
"room",0.646097722528801,13
"love",0.615958231452172,10
"build",0.607342897638449,13
"day",0.596397897718893,12
"line",0.583875193213658,11
"barcelona",0.572675525449227,13
"group",0.569811844463787,10
"manag",0.569811844463787,10
"corridor",0.554362408306955,9
"queue",0.546698072908985,11
"worth",0.541315072664154,13
"entranc",0.537949475672244,8
"don",0.53303555055451,15
"artist",0.528623561953133,12
"make",0.528623561953133,12
"interest",0.513905528770995,11
"small",0.513905528770995,11
"wheelchair",0.511657018786381,5
"book",0.477716067174811,9
"collect",0.477716067174811,9
"overcrowd",0.477716067174811,9
"poor",0.477716067174811,9
"wait",0.477716067174811,9
"lot",0.473247897567071,12
"visitor",0.458035830715823,11
"tour",0.440519634960944,10
"control",0.43117076201652,7
"find",0.43117076201652,7
"year",0.43117076201652,7
"audio",0.424636504155388,8
"back",0.424636504155388,8
"horribl",0.423937720540767,5
"great",0.420468159903541,9
"long",0.420468159903541,9
"enjoy",0.398868291124651,7
"high",0.398868291124651,7
"left",0.398868291124651,7
"school",0.398868291124651,7
"stand",0.398868291124651,7
"trip",0.398868291124651,7
"enter",0.397598598479262,8
"floor",0.372625220477507,5
"galleri",0.372625220477507,5
"reason",0.371556941135964,7
"staff",0.371556941135964,7
"tourist",0.371556941135964,7
"bad",0.369574938871303,6
"buy",0.369574938871303,6
"explan",0.369574938871303,6
"famous",0.369574938871303,6
"impress",0.369574938871303,6
"made",0.369574938871303,6
"narrow",0.369574938871303,6
"push",0.369574938871303,6
"figuer",0.341887106678272,6
"limit",0.341887106678272,6
"part",0.341887106678272,6
"run",0.341887106678272,6
"thought",0.341887106678272,6
"big",0.339150176432613,4
"complet",0.339150176432613,4
"figur",0.339150176432613,4
"lover",0.339150176432613,4
"offic",0.339150176432613,4
"entri",0.336218422295153,5
"full",0.336218422295153,5
"organ",0.336218422295153,5
"review",0.336218422295153,5
"space",0.336218422295153,5
"spend",0.336218422295153,5
"total",0.336218422295153,5
"town",0.336218422295153,5
"wast",0.336218422295153,5
"children",0.307979115726086,5
"euro",0.307979115726086,5
