"word","tfidf","tf"
"abandon",0.0148703887295564,2
"abe",0.0278673987538408,4
"abil",0.0512807804975907,9
"abraham",0.0601268115073477,11
"absolut",0.234938110586039,67
"absorb",0.0369972550563017,6
"abstract",0.0148703887295564,2
"absurd",0.026538215409473,4
"abund",0.026538215409473,4
"accept",0.0209005490653806,3
"access",0.154467547675903,38
"accommod",0.0209005490653806,3
"accompani",0.0148703887295564,2
"accomplish",0.026538215409473,4
"acquir",0.0148703887295564,2
"action",0.0209005490653806,3
"activ",0.026538215409473,4
"actual",0.0697523926273246,13
"add",0.0766172998318587,15
"addit",0.0881500317718027,18
"adequ",0.0148703887295564,2
"adjac",0.0643868239636842,12
"adjoin",0.0209005490653806,3
"administr",0.0148703887295564,2
"admir",0.129701699968406,29
"admiss",0.132382916385682,29
"admit",0.0855656380683229,17
"ador",0.0148703887295564,2
"adorn",0.0209005490653806,3
"adult",0.0817251198206493,16
"advanc",0.23976477216392,68
"advantag",0.0419170695571277,7
"adventur",0.0419170695571277,7
"advic",0.0685504680264766,13
"advis",0.0893384376032323,18
"aficionado",0.0318840258875925,5
"afternoon",0.151573588571761,37
"age",0.131606153071666,30
"agenc",0.026538215409473,4
"ago",0.0817251198206493,16
"agre",0.0419170695571277,7
"ahead",0.142701011878689,34
"air",0.0557616466510856,10
"airi",0.0148703887295564,2
"ala",0.0148703887295564,2
"albeit",0.0209005490653806,3
"alert",0.0148703887295564,2
"alex",0.0297407774591128,4
"alic",0.0148703887295564,2
"aliv",0.0382608310651109,6
"aliyah",0.026538215409473,4
"alley",0.0148703887295564,2
"alloc",0.0209005490653806,3
"allot",0.0148703887295564,2
"alongsid",0.0209005490653806,3
"alot",0.034834248442301,5
"alt",0.0148703887295564,2
"alter",0.0148703887295564,2
"altern",0.0148703887295564,2
"amateur",0.0148703887295564,2
"amaz",0.59689967983264,364
"american",0.0148703887295564,2
"amount",0.106124022039769,23
"amp",0.232811335712752,51
"amus",0.0830001965034473,16
"ancient",0.0209005490653806,3
"angel",0.0223055830943346,3
"angl",0.0318840258875925,5
"anim",0.0148703887295564,2
"anna",0.0148703887295564,2
"annex",0.0148703887295564,2
"annoy",0.0538933751448784,9
"answer",0.0148703887295564,2
"anti",0.0148703887295564,2
"anticip",0.026538215409473,4
"antoni",0.0209005490653806,3
"appar",0.0557616466510856,10
"appeal",0.0148703887295564,2
"appli",0.0148703887295564,2
"appoint",0.0148703887295564,2
"appreci",0.10955827562953,24
"approach",0.026538215409473,4
"approx",0.026538215409473,4
"approxim",0.0318840258875925,5
"april",0.0419170695571277,7
"architect",0.0148703887295564,2
"architectur",0.0766172998318587,15
"area",0.280609792229486,90
"aren",0.0466713067196667,8
"arm",0.0148703887295564,2
"arnau",0.0209005490653806,3
"arrang",0.0778126842219818,15
"array",0.026538215409473,4
"arriv",0.322838550719701,104
"art",0.76052732402575,690
"artefact",0.0148703887295564,2
"artist",0.526762756565347,251
"artwork",0.233658901850296,67
"aspect",0.0726251719405164,14
"assembl",0.0209005490653806,3
"assign",0.0148703887295564,2
"assist",0.0148703887295564,2
"assum",0.0209005490653806,3
"astonish",0.0738235809515902,14
"astound",0.0479052223510031,8
"ate",0.0148703887295564,2
"atmospher",0.0855656380683229,17
"atop",0.0148703887295564,2
"atrium",0.026538215409473,4
"attach",0.0369972550563017,6
"attend",0.0493296734084022,8
"attent",0.0778126842219818,15
"attitud",0.0148703887295564,2
"attract",0.152374763344985,36
"attribut",0.0223055830943346,3
"audienc",0.0209005490653806,3
"audio",0.118688131931991,26
"audioguid",0.0209005490653806,3
"august",0.0817251198206493,16
"authent",0.0148703887295564,2
"author",0.0148703887295564,2
"avail",0.0148703887295564,2
"ave",0.0683743739967876,12
"averag",0.026538215409473,4
"avoid",0.219833274236817,62
"await",0.0209005490653806,3
"awar",0.0893384376032323,18
"awe",0.0930472557591251,19
"awesom",0.1335225637678,31
"babi",0.0382608310651109,6
"back",0.317670238389089,105
"background",0.043163464232352,7
"backpack",0.0626765094970553,11
"backtrack",0.026538215409473,4
"bad",0.0918606683067438,19
"baffl",0.0209005490653806,3
"bag",0.0751179612909649,14
"baguett",0.0209005490653806,3
"balanc",0.0209005490653806,3
"ball",0.0209005490653806,3
"bank",0.0223055830943346,3
"baptis",0.0148703887295564,2
"bar",0.026538215409473,4
"barca",0.0148703887295564,2
"barcelona",0.685118927422855,391
"barrier",0.0209005490653806,3
"base",0.0318840258875925,5
"basement",0.0369972550563017,6
"basic",0.0466713067196667,8
"bathroom",0.0382608310651109,6
"battl",0.0148703887295564,2
"bbc",0.0148703887295564,2
"bcn",0.0382608310651109,6
"beach",0.0318840258875925,5
"bear",0.0148703887295564,2
"beat",0.0685504680264766,13
"beaten",0.0209005490653806,3
"beauti",0.326321151994952,111
"beautiful",0.0148703887295564,2
"bed",0.0148703887295564,2
"bedroom",0.026538215409473,4
"beer",0.0148703887295564,2
"began",0.0331727692618413,5
"begin",0.0557616466510856,10
"behav",0.0148703887295564,2
"behold",0.0148703887295564,2
"belief",0.0148703887295564,2
"believ",0.0148703887295564,2
"belong",0.0209005490653806,3
"belov",0.0209005490653806,3
"bemus",0.0148703887295564,2
"bend",0.0209005490653806,3
"beneath",0.0148703887295564,2
"benefit",0.0331727692618413,5
"besalu",0.0209005490653806,3
"bewar",0.0557616466510856,10
"bias",0.0209005490653806,3
"big",0.185641694624969,49
"bigger",0.0209005490653806,3
"biggest",0.0466713067196667,8
"bike",0.0148703887295564,2
"birthday",0.0148703887295564,2
"birthplac",0.0466713067196667,8
"bit",0.298004816048955,96
"bite",0.0209005490653806,3
"bizarr",0.121979937901919,27
"black",0.0466713067196667,8
"blaze",0.0209005490653806,3
"blew",0.0318840258875925,5
"block",0.0726251719405164,14
"blow",0.0805323652407745,16
"blown",0.0382608310651109,6
"blue",0.026538215409473,4
"board",0.026538215409473,4
"boast",0.0209005490653806,3
"boat",0.056978644997323,10
"bodi",0.0369972550563017,6
"boggl",0.0466713067196667,8
"bold",0.0209005490653806,3
"bonker",0.056978644997323,10
"bonus",0.0369972550563017,6
"book",0.425106136948409,161
"booth",0.0148703887295564,2
"border",0.0466713067196667,8
"bore",0.0697523926273246,13
"born",0.0512807804975907,9
"bother",0.0419170695571277,7
"bottom",0.026538215409473,4
"bought",0.0726251719405164,14
"bound",0.0318840258875925,5
"boundari",0.0148703887295564,2
"box",0.0369972550563017,6
"boy",0.0685504680264766,13
"boyfriend",0.0148703887295564,2
"brain",0.0512807804975907,9
"brand",0.0148703887295564,2
"brava",0.101530212339033,21
"bravo",0.0148703887295564,2
"bread",0.117979190128687,25
"breadth",0.0466713067196667,8
"break",0.0419170695571277,7
"breakfast",0.0209005490653806,3
"breath",0.0918606683067438,19
"breathtak",0.0918606683067438,19
"breez",0.0148703887295564,2
"bright",0.0223055830943346,3
"brillianc",0.0318840258875925,5
"brilliant",0.189573883237386,51
"bring",0.102639531741677,22
"british",0.0148703887295564,2
"broad",0.026538215409473,4
"brochur",0.0538933751448784,9
"broke",0.0223055830943346,3
"broken",0.0209005490653806,3
"bronz",0.0148703887295564,2
"brooch",0.0148703887295564,2
"brought",0.0419170695571277,7
"brows",0.0148703887295564,2
"btw",0.0209005490653806,3
"bucket",0.043163464232352,7
"buff",0.0148703887295564,2
"buggi",0.0148703887295564,2
"build",0.509290137844995,225
"built",0.0881500317718027,18
"buri",0.0918606683067438,19
"burn",0.0369972550563017,6
"burri",0.0148703887295564,2
"bus",0.237372196494201,61
"buse",0.0466713067196667,8
"busi",0.262400845651109,80
"busier",0.0148703887295564,2
"busload",0.0148703887295564,2
"buss",0.0382608310651109,6
"buy",0.27511229385285,81
"cab",0.0479052223510031,8
"cadaqu",0.175474870762221,40
"cadaqué",0.0148703887295564,2
"cadequ",0.0148703887295564,2
"cadillac",0.099102519708097,21
"cafe",0.0966954403228883,20
"café",0.026538215409473,4
"cake",0.0209005490653806,3
"call",0.0966954403228883,20
"calm",0.0148703887295564,2
"camel",0.0209005490653806,3
"camera",0.115352197869314,25
"camp",0.0209005490653806,3
"candi",0.0209005490653806,3
"canva",0.0148703887295564,2
"cap",0.0209005490653806,3
"capabl",0.026538215409473,4
"capac",0.0148703887295564,2
"capit",0.0148703887295564,2
"capon",0.0148703887295564,2
"caption",0.0148703887295564,2
"captiv",0.0419170695571277,7
"captur",0.0512807804975907,9
"car",0.323165200321795,99
"carcassonn",0.0209005490653806,3
"card",0.026538215409473,4
"care",0.0966954403228883,20
"career",0.0557616466510856,10
"carpark",0.0148703887295564,2
"carrer",0.0148703887295564,2
"carri",0.0318840258875925,5
"casa",0.0209005490653806,3
"case",0.0766172998318587,15
"cash",0.0223055830943346,3
"castel",0.026538215409473,4
"castl",0.052505220059625,9
