"","x"
"1","rn520509750"
"2","rn520260657"
"3","rn519680145"
"4","rn518852360"
"5","rn516780882"
"6","rn516304726"
"7","rn516246646"
"8","rn515927098"
"9","rn515673122"
"10","rn515301724"
"11","rn515028221"
"12","rn514955654"
"13","rn514272472"
"14","rn514137436"
"15","rn513950267"
"16","rn513035691"
"17","rn512985712"
"18","rn512559937"
"19","rn512365690"
"20","rn512239628"
"21","rn512185750"
"22","rn511713776"
"23","rn511082666"
"24","rn510525704"
"25","rn510345548"
"26","rn509679378"
"27","rn508339184"
"28","rn507929046"
"29","rn507540720"
"30","rn507135158"
"31","rn506566520"
"32","rn505697944"
"33","rn505508610"
"34","rn504990934"
"35","rn504481059"
"36","rn504201827"
"37","rn503593594"
"38","rn503410664"
"39","rn503027890"
"40","rn502773406"
"41","rn502761979"
"42","rn502130757"
"43","rn500983935"
"44","rn500913818"
"45","rn499886589"
"46","rn499807952"
"47","rn499638973"
"48","rn499492052"
"49","rn499433816"
"50","rn498898293"
"51","rn498613407"
"52","rn498352160"
"53","rn498082987"
"54","rn497930806"
"55","rn497245937"
"56","rn496622435"
"57","rn496337158"
"58","rn495749336"
"59","rn495437973"
"60","rn495319072"
"61","rn494984079"
"62","rn493824383"
"63","rn493119251"
"64","rn491834330"
"65","rn491770226"
"66","rn491349128"
"67","rn491303605"
"68","rn491002876"
"69","rn490685279"
"70","rn490194647"
"71","rn489751645"
"72","rn488985110"
"73","rn488898649"
"74","rn486218386"
"75","rn486123191"
"76","rn485221071"
"77","rn484679507"
"78","rn483498013"
"79","rn483294954"
"80","rn483011031"
"81","rn482820689"
"82","rn482749643"
"83","rn482359432"
"84","rn482082281"
"85","rn481736273"
"86","rn481493011"
"87","rn481386782"
"88","rn481027647"
"89","rn480832054"
"90","rn480615128"
"91","rn480270128"
"92","rn477680657"
"93","rn476465813"
"94","rn476094368"
"95","rn476022175"
"96","rn474317665"
"97","rn473349655"
"98","rn472030201"
"99","rn470146897"
"100","rn467391912"
"101","rn467381063"
"102","rn466560003"
"103","rn466437664"
"104","rn464585910"
"105","rn463400119"
"106","rn463306443"
