"id","username","location","quote","rating","date","reviewnospace","page","titleopinion","SentimentValue","SentimentCore","pos","neg"
"rn520509750","Rea_61_Sydney","Sydney, Australia","Amazing ",5,"2017-09-02","Frank Gehry has gone above and beyond with the design of this museum. It is quite literally an architectural masterpiece. The flow, design and interaction with the river and town is remarkable.",1,"Amazing . Frank Gehry has gone above and beyond with the design of this museum. It is quite literally an architectural masterpiece. The flow, design and interaction with the river and town is remarkable.","positive","positive",5,0
"rn520402667","Sozlovesholisays","Ipswich, United Kingdom","Just take a stroll around and people watch",4,"2017-09-02","We visited in August and they had a amazing flower display out the front also there were street entertainers around, to be honest we didn't actually go inside but was well worth a look.",1,"Just take a stroll around and people watch. We visited in August and they had a amazing flower display out the front also there were street entertainers around, to be honest we didn't actually go inside but was well worth a look.","positive","neutral",1,1
"rn520260657","LargelyMonk","Banstead, United Kingdom","Great but check closures",4,"2017-09-01","Get your ticket from your hotel if you can to avoid the queues and check part closures as one whole floor was being prepared for a new exhibit when we were there. Also, try to avoid school parties if you can which are numerous and noisy. The building itself is beautiful and there is a lovely little park a little further along the river and if you go further you can get to the Maritime Museum. Have a gin and tonic on the terrace and the waiter pours an enormous measure in a gesture of pure theater for 8 euros.",1,"Great but check closures. Get your ticket from your hotel if you can to avoid the queues and check part closures as one whole floor was being prepared for a new exhibit when we were there. Also, try to avoid school parties if you can which are numerous and noisy. The building itself is beautiful and there is a lovely little park a little further along the river and if you go further you can get to the Maritime Museum. Have a gin and tonic on the terrace and the waiter pours an enormous measure in a gesture of pure theater for 8 euros.","positive","positive",3,2
"rn520177384","Michael R","San Pablo City, Philippines","Modern and Bizzare Art",4,"2017-09-01","The Front Side of The Guggenheim Museum host a wide pedestrian concrete Plaza with a large Puppy Sculpture and is a popular Photo and selfie stop before going inside the Museum. The Puppy Structure was made by artist Jeff Koons and built in 1992 of which the puppy rendered is thought to be puppy West Highland White Terrier Breed. This Puppy structure was made of several steel frame covered with different natural plants which are replaced periodically, hence you would see them in different colors and blooms at several times a year.<br><br><br>The Iconic Modern architectural Structure of Guggenheim Museum Bilbao made by Canadian-American architect Frank Gehry in 1997 provides quite a contrast to the surrounding areas around it as this Museum is shaped in a Deconstructivism style with seeming random curves and bulges and random angles of which you need to go around the building to see these random curves. The exterior is party made of Titanium hence it is shiny. Inside the Museum are 24,000 square meters of exhibition spaces, located in 5 floors and separated into sections. The Museum displays mostly modern abstract art and contemporary art and occasional historical art as well. The museum host several souvenir kiosks, a cafeteria, a restaurant and rest areas as well.<br><br>No Photos are allowed inside but I manage to sneak a few",1,"Modern and Bizzare Art. The Front Side of The Guggenheim Museum host a wide pedestrian concrete Plaza with a large Puppy Sculpture and is a popular Photo and selfie stop before going inside the Museum. The Puppy Structure was made by artist Jeff Koons and built in 1992 of which the puppy rendered is thought to be puppy West Highland White Terrier Breed. This Puppy structure was made of several steel frame covered with different natural plants which are replaced periodically, hence you would see them in different colors and blooms at several times a year.   The Iconic Modern architectural Structure of Guggenheim Museum Bilbao made by Canadian-American architect Frank Gehry in 1997 provides quite a contrast to the surrounding areas around it as this Museum is shaped in a Deconstructivism style with seeming random curves and bulges and random angles of which you need to go around the building to see these random curves. The exterior is party made of Titanium hence it is shiny. Inside the Museum are 24,000 square meters of exhibition spaces, located in 5 floors and separated into sections. The Museum displays mostly modern abstract art and contemporary art and occasional historical art as well. The museum host several souvenir kiosks, a cafeteria, a restaurant and rest areas as well.  No Photos are allowed inside but I manage to sneak a few","positive","negative",3,7
"rn520133860","stonyplaintravelers","Edmonton, Canada","Awesome!",5,"2017-09-01","Truly the star of Bilbao! The architecture is stunning. Great selection of art. Modern and impressionists.<br>Highly recommend a visit to Bilbao to see this amazing museum.<br>Pintxos on the cafe terrace were very good too!<br></p>",1,"Awesome!. Truly the star of Bilbao! The architecture is stunning. Great selection of art. Modern and impressionists. Highly recommend a visit to Bilbao to see this amazing museum. Pintxos on the cafe terrace were very good too!  ","positive","positive",8,0
"rn520100395","adribrag17","Milan, Italy","very nice experience with children",4,"2017-09-01","we visited the Guggenheim museum in August this year.<br>we spent 2 to 3 hours to go thru all the rooms which are very well organized and interesting also for kids.<br>both inside and outside areas are full of modern and contemporary masterpieces.<br>for 4 people, 2 adults and 2 children ticket was correct, because children got free of charge entry",1,"very nice experience with children. we visited the Guggenheim museum in August this year. we spent 2 to 3 hours to go thru all the rooms which are very well organized and interesting also for kids. both inside and outside areas are full of modern and contemporary masterpieces. for 4 people, 2 adults and 2 children ticket was correct, because children got free of charge entry","positive","positive",3,0
"rn520062829","Wandering_Meals","Sydney, Australia","Feast for the senses",5,"2017-08-31","Before you even start looking at the art within you are struck by the magnificence of the building - a real architectural feat! <br><br>Plenty to do and see in the Guggenheim for a half day with a very comprehensive and helpful audio guide included in the ticket price. Plenty of Instagram opportunities too...particularly liked the outdoor installations including the Anish Kapoor one and the Holzer one in the atrium.<br><br>Not a lot of casual eats in the museum - suggest ducking across the road to the delicious and healthy eatery Sua Sin for that. <br><br>Also suggest buying the tix online beforehand unless you want to spend part of your day queuing.",1,"Feast for the senses. Before you even start looking at the art within you are struck by the magnificence of the building - a real architectural feat!   Plenty to do and see in the Guggenheim for a half day with a very comprehensive and helpful audio guide included in the ticket price. Plenty of Instagram opportunities too...particularly liked the outdoor installations including the Anish Kapoor one and the Holzer one in the atrium.  Not a lot of casual eats in the museum - suggest ducking across the road to the delicious and healthy eatery Sua Sin for that.   Also suggest buying the tix online beforehand unless you want to spend part of your day queuing.","positive","negative",1,4
"rn519680145","karinj900","Canmore, Canada","AWESOME",5,"2017-08-30","When visiting the wonderful city of Bilbao, the Guggenheim is on the ""must see"" list. The impressive architecture and wonderful atmosphere is unique. I had fun while immersed in amazing pieces of art. Catching a tram from out the front is easy if you dont want to enjoy the beautiful river side walk.",1,"AWESOME. When visiting the wonderful city of Bilbao, the Guggenheim is on the  must see  list. The impressive architecture and wonderful atmosphere is unique. I had fun while immersed in amazing pieces of art. Catching a tram from out the front is easy if you dont want to enjoy the beautiful river side walk.","positive","positive",5,1
"rn519663689","Andrew S","Ohio","Amazing on the outside.....",4,"2017-08-30","Remarkable and awe-inspring property from an architectural standpoint but will not likley meet expectations with respect to expositions. That said - worth every penny and any effort to visit!!",1,"Amazing on the outside...... Remarkable and awe-inspring property from an architectural standpoint but will not likley meet expectations with respect to expositions. That said - worth every penny and any effort to visit!!","positive","negative",1,2
"rn519567480","DP49","Edmonds, WA","Art or Architecture?",5,"2017-08-30","While the museum holds the number 1 spot of things to do in Bilbao, if you are not into art then go for the architecture. The building is a magnificent structure that is unique in its singular standout style of Gehry’s body of work. Less impressive is the museum’s art collection that focuses more on modern era to current artists working in various media including video installations. While I prefer the old masters of art as well as the wonderful pieces by Basque artists on display in Bilbao’s Museum of Fine Arts, there is definitely something for everyone here at the Guggenheim. Based on your depth of art appreciation, you can stroll through the museum in two hours or spend weeks there.",2,"Art or Architecture?. While the museum holds the number 1 spot of things to do in Bilbao, if you are not into art then go for the architecture. The building is a magnificent structure that is unique in its singular standout style of Gehry’s body of work. Less impressive is the museum’s art collection that focuses more on modern era to current artists working in various media including video installations. While I prefer the old masters of art as well as the wonderful pieces by Basque artists on display in Bilbao’s Museum of Fine Arts, there is definitely something for everyone here at the Guggenheim. Based on your depth of art appreciation, you can stroll through the museum in two hours or spend weeks there.","positive","positive",4,2
"rn519020665","Tom U","Blythewood, South Carolina","Interesting building, unique museum",4,"2017-08-29","There were few ""grand master"" paintings and the layout is not as user friendly for seniors as I would have liked BUT the contents and displays were very interesting.<br><br>It was pleasant to eat a casual lunch on the veranda while taking a break from the museum.",2,"Interesting building, unique museum. There were few  grand master  paintings and the layout is not as user friendly for seniors as I would have liked BUT the contents and displays were very interesting.  It was pleasant to eat a casual lunch on the veranda while taking a break from the museum.","positive","positive",2,1
"rn518921666","gab_hab","Miami, Florida","Impressive and beautiful",5,"2017-08-29","This place is amazing as an architecture place of interest. As a museum/gallery is ok too. Definitely, a place to go in Bilbao.",2,"Impressive and beautiful. This place is amazing as an architecture place of interest. As a museum/gallery is ok too. Definitely, a place to go in Bilbao.","positive","positive",4,0
"rn518852360","werdlerswereld","Amsterdam, The Netherlands","Iconic building, but check the expositions before you visit",4,"2017-08-29","Not to be missed and definitely one of the highlights of the city. Fantastic architecture and some great artwork around the building as well (Koons). However, the xpositon inside might not be everybody's taste. Some great works (sometimes literally) by artists as Stella and Warhol, but also some works that might be less interesting.<br>We were lucky to visit the impressionist expo from a private collection.",2,"Iconic building, but check the expositions before you visit. Not to be missed and definitely one of the highlights of the city. Fantastic architecture and some great artwork around the building as well (Koons). However, the xpositon inside might not be everybody's taste. Some great works (sometimes literally) by artists as Stella and Warhol, but also some works that might be less interesting. We were lucky to visit the impressionist expo from a private collection.","positive","negative",1,3
"rn518813947","jaxm27","Almeria, Spain","Amazing piece of architecture",4,"2017-08-29","The Guggenheim Museum building stands alone as a magnificent piece of modern architecture. Everywhere one looked there was another angle, another facet and another space. Quite wonderful. We were there on the 20th of August and must admit to being slightly disappointed with some of the exhibits. We visit art galleries and museums around the world and were left feeling that the collections did not measure up to the building itself. However, having said all that it really is worth a visit,",2,"Amazing piece of architecture. The Guggenheim Museum building stands alone as a magnificent piece of modern architecture. Everywhere one looked there was another angle, another facet and another space. Quite wonderful. We were there on the 20th of August and must admit to being slightly disappointed with some of the exhibits. We visit art galleries and museums around the world and were left feeling that the collections did not measure up to the building itself. However, having said all that it really is worth a visit,","positive","neutral",3,3
"rn518774762","elena d","Varna, Bulgaria","Poor content in superb building",2,"2017-08-29","Without any doubt - poor collection. I couldn't even grasp how is this possible. First floor - R. Serra with huge metal go-in sculptures - very good. Second floor - video installations by Bill Viola - good. Third floor - literally 20 paintings of well renowned artists - average quality but huge dimensions. The famous basque sculptors - Chillida and Oteiza represented with 2 pieces each. The temp. ex. ""Paris -fin de siecle"" was good, but coming from Paris and Bordeaux I wasn't impressed. That's it. Guggenheim Bilbao should try harder to gather more quality art. Bilbao Fine Art museum has better modern art - go there.",2,"Poor content in superb building. Without any doubt - poor collection. I couldn't even grasp how is this possible. First floor - R. Serra with huge metal go-in sculptures - very good. Second floor - video installations by Bill Viola - good. Third floor - literally 20 paintings of well renowned artists - average quality but huge dimensions. The famous basque sculptors - Chillida and Oteiza represented with 2 pieces each. The temp. ex.  Paris -fin de siecle  was good, but coming from Paris and Bordeaux I wasn't impressed. That's it. Guggenheim Bilbao should try harder to gather more quality art. Bilbao Fine Art museum has better modern art - go there.","negative","negative",4,5
