"word","tfidf","tf"
"abil",0.0138166979224768,5
"absolut",0.202803350698798,153
"absorb",0.0529235229273453,25
"abstract",0.0974275587447328,55
"abund",0.0138166979224768,5
"academi",0.0142892876096279,5
"accept",0.0183457294725034,7
"access",0.0943206638339617,53
"accompani",0.0267230599270269,11
"account",0.0138166979224768,5
"achiev",0.0399738340952003,18
"acquir",0.0230783219251635,9
"act",0.0161166768390324,6
"action",0.0114314300877023,4
"activ",0.0291524290113021,12
"actual",0.0585439136852549,29
"add",0.0727914138149984,38
"addit",0.066776844512884,34
"adequ",0.0226293128197669,9
"adjac",0.0325810655216363,14
"adjoin",0.0161166768390324,6
"admir",0.15650585558043,102
"admiss",0.120884143026859,74
"admit",0.0589749636321219,29
"ador",0.024697400542546,10
"adult",0.0621362700664036,31
"advanc",0.104513199380713,59
"advantag",0.0209665479685753,8
"advic",0.0287101593151758,12
"advis",0.0353791382921497,15
"aesthet",0.0267230599270269,11
"affect",0.0205140639334787,8
"afford",0.0306619198531964,13
"aficionado",0.0226293128197669,9
"afraid",0.0138166979224768,5
"africa",0.0165800375069721,6
"african",0.0251436809108521,10
"afternoon",0.0991811346049306,57
"age",0.0636962199346252,32
"ago",0.0652429447297099,33
"agre",0.0306619198531964,13
"ahead",0.0582854324243414,28
"aid",0.0161166768390324,6
"aim",0.0114314300877023,4
"air",0.0372355034532986,16
"airi",0.0417594741393025,19
"airport",0.0701538533007783,35
"alik",0.0205140639334787,8
"aliv",0.0183457294725034,7
"allur",0.0114314300877023,4
"alongsid",0.024697400542546,10
"alot",0.0114314300877023,4
"altern",0.0114314300877023,4
"amateur",0.0114314300877023,4
"amaz",0.621720902523652,1080
"ambienc",0.0315817980955773,13
"american",0.0736858569300869,38
"amount",0.0399738340952003,18
"amp",0.230333299551177,141
"ampl",0.0114314300877023,4
"amus",0.0226293128197669,9
"andi",0.127541561280128,80
"angel",0.0205140639334787,8
"angl",0.216322102859697,167
"anim",0.0226293128197669,9
"anish",0.0439573411992657,20
"anniversari",0.0161166768390324,6
"anselm",0.0325810655216363,14
"answer",0.0161166768390324,6
"anticip",0.0226293128197669,9
"anytim",0.0114314300877023,4
"appar",0.033020529072673,14
"appeal",0.0587695848886691,28
"appreci",0.0920710250049403,51
"approach",0.0956816534365066,53
"april",0.0138166979224768,5
"arachnid",0.0114314300877023,4
"arcelor",0.0161166768390324,6
"arch",0.0161166768390324,6
"architect",0.154647306329259,102
"architectur",0.643328528117003,1391
"area",0.268242884822628,217
"aren",0.0399738340952003,18
"arquitectur",0.0214889024520432,8
"arrang",0.0271671405968006,11
"array",0.0161166768390324,6
"arriv",0.126513191314113,78
"art",0.818106193696871,2623
"arti",0.0138166979224768,5
"artist",0.335674442668887,314
"artistri",0.0142892876096279,5
"artsi",0.0114314300877023,4
"artwork",0.234604684304652,180
"aspect",0.0381646500097708,17
"assist",0.0183457294725034,7
"assum",0.0114314300877023,4
"astonish",0.0541221872511742,26
"astound",0.0367679254213507,16
"ate",0.043522810480277,20
"atlant",0.0114314300877023,4
"atmospher",0.0682982958734548,35
"atrium",0.0870396665748364,47
"attach",0.0138166979224768,5
"attempt",0.0161166768390324,6
"attend",0.0287101593151758,12
"attent",0.0786274368856545,42
"attract",0.237988509167103,190
"audienc",0.0114314300877023,4
"audio",0.387837997706579,417
"audioguid",0.0656867268075822,33
"august",0.0456989510042909,21
"author",0.0142892876096279,5
"avant",0.024697400542546,10
"averag",0.0267230599270269,11
"avoid",0.0996161689227162,57
"await",0.0114314300877023,4
"awar",0.024697400542546,10
"awe",0.0866550823575909,48
"awesom",0.165631449753478,113
"back",0.224643337093483,172
"backdrop",0.0161166768390324,6
"background",0.0344699300825163,15
"backpack",0.0209665479685753,8
"bacon",0.116618970327753,69
"bad",0.0636962199346252,32
"bag",0.060367055010925,29
"balanc",0.0271671405968006,11
"balconi",0.0267230599270269,11
"ball",0.0381646500097708,17
"balloon",0.0267230599270269,11
"band",0.0325810655216363,14
"bank",0.0691970625921166,35
"bar",0.150680905669845,97
"barcelona",0.0629674123807168,30
"baroqu",0.0296368806510552,12
"base",0.0386011938445494,17
"basement",0.0138166979224768,5
"basic",0.0183457294725034,7
"basqu",0.141601320008763,90
"basquiat",0.125766916617368,75
"bay",0.0142892876096279,5
"beach",0.0333353538919028,13
"bear",0.0183457294725034,7
"beat",0.0183457294725034,7
"beauti",0.485120706404586,610
"beautiful",0.0142892876096279,5
"beer",0.0306619198531964,13
"began",0.0114314300877023,4
"begin",0.0417594741393025,19
"behold",0.0491226997427917,23
"belief",0.0114314300877023,4
"believ",0.024697400542546,10
"bell",0.0114314300877023,4
"bella",0.0315817980955773,13
"belong",0.0230783219251635,9
"bench",0.0161166768390324,6
"bend",0.0226293128197669,9
"beneath",0.0138166979224768,5
"benefit",0.0161166768390324,6
"bewar",0.0226293128197669,9
"big",0.197846445456711,147
"bigger",0.0306619198531964,13
"biggest",0.0439573411992657,20
"bilbao",0.696035810374298,1584
"bilbo",0.0165800375069721,6
"bilboa",0.0726752031954888,36
"bill",0.0592743456786268,28
"bird",0.0161166768390324,6
"biscay",0.0114314300877023,4
"bistro",0.151759908368186,98
"bit",0.239699453992624,191
"bite",0.0205140639334787,8
"bizarr",0.0291524290113021,12
"black",0.033020529072673,14
"blank",0.0142892876096279,5
"blend",0.0349082844874674,15
"blew",0.0183457294725034,7
"block",0.0306619198531964,13
"bloom",0.024697400542546,10
"blow",0.0557552616093691,27
"blown",0.0381646500097708,17
"blue",0.0161166768390324,6
"board",0.0183457294725034,7
"boat",0.0271671405968006,11
"bodi",0.0205140639334787,8
"boggl",0.0205140639334787,8
"bold",0.0251436809108521,10
"bonus",0.0524728436505974,25
"book",0.222316439400659,167
"bore",0.0632658857985066,32
"born",0.0114314300877023,4
"bother",0.0367679254213507,16
"bottom",0.033020529072673,14
"bought",0.043522810480277,20
"bourgeoi",0.14741786785337,94
"bourgeois",0.0114314300877023,4
"bourgoi",0.0161166768390324,6
"box",0.0340111671798524,14
"boy",0.0209665479685753,8
"bracelet",0.0267230599270269,11
"brain",0.0138166979224768,5
"brancusi",0.0142892876096279,5
"brand",0.0114314300877023,4
"braqu",0.0961002990006402,54
"break",0.0693780851017335,36
"breakfast",0.0340111671798524,14
"breath",0.0866550823575909,48
"breathtak",0.152865420481236,102
"breez",0.0114314300877023,4
"bridg",0.212538313754532,160
"bright",0.0287101593151758,12
"brilliant",0.163744206701568,108
"bring",0.075301639750924,40
"british",0.0165800375069721,6
"broad",0.0114314300877023,4
"bronz",0.0138166979224768,5
"brought",0.0205140639334787,8
"btw",0.0114314300877023,4
"bubbl",0.0114314300877023,4
"bucket",0.0708758502935511,37
"budget",0.0188027896455378,7
"buff",0.0161166768390324,6
"buidl",0.0205140639334787,8
"build",0.664467671347965,3276
"built",0.0776238639264439,41
"bulid",0.0114314300877023,4
"bunch",0.0161166768390324,6
"bus",0.106708664344817,57
"buse",0.0200050026534791,7
"busi",0.0952204586953108,54
"busier",0.0114314300877023,4
"busker",0.0138166979224768,5
"buy",0.117842158067381,70
"cafe",0.266715645230419,226
"café",0.0672200036609132,34
"cafeteria",0.0508065820102515,24
"cake",0.0325810655216363,14
"calatrava",0.0183457294725034,7
"call",0.102741789221718,58
"calm",0.0138166979224768,5
"camera",0.0431425107674376,19
"camp",0.0114314300877023,4
"canadian",0.0399738340952003,18
"canva",0.0334951858677051,14
"canvas",0.0165800375069721,6
"capit",0.0138166979224768,5
"captiv",0.0469869301887573,22
"captur",0.0363305353831053,16
"car",0.0566706711426452,27
"card",0.0306619198531964,13
"care",0.0569413441965315,28
"career",0.0114314300877023,4
"carri",0.0315817980955773,13
"casco",0.0276580490019373,11
"case",0.0727914138149984,38
"cash",0.0114314300877023,4
"casual",0.0161166768390324,6
"cat",0.0363305353831053,16
"catalyst",0.0165800375069721,6
"catch",0.0747069773364457,39
"cater",0.0161166768390324,6
"cathedr",0.0291524290113021,12
"caught",0.0138166979224768,5
"ceil",0.0325810655216363,14
"celebr",0.0353791382921497,15
"cell",0.0353791382921497,15
"cent",0.0114314300877023,4
"center",0.0707048941901125,36
"centr",0.079013930254752,41
"central",0.0417594741393025,19
"centuri",0.115705563287979,69
"chagal",0.0287101593151758,12
"challeng",0.0823716005468762,44
"chanc",0.0652429447297099,33
"chang",0.215263222071592,161
"charg",0.0404096294221103,18
"charm",0.0349082844874674,15
"cheap",0.0491226997427917,23
"cheaper",0.0183457294725034,7
"check",0.140919914913316,91
"chees",0.0114314300877023,4
"chef",0.0142892876096279,5
"child",0.0291524290113021,12
"children",0.159966544357495,100
"chillida",0.0161166768390324,6
"choic",0.0541221872511742,26
"choos",0.0325810655216363,14
"chose",0.033020529072673,14
"circl",0.0161166768390324,6
"citi",0.411228981572964,424
"clad",0.0399738340952003,18
