"","x"
"1","negative"
"2","negative"
"3","positive"
"4","positive"
"5","positive"
"6","positive"
"7","positive"
"8","positive"
"9","positive"
"10","negative"
"11","positive"
"12","negative"
"13","positive"
"14","positive"
"15","negative"
"16","positive"
"17","negative"
"18","negative"
"19","positive"
"20","negative"
"21","negative"
"22","negative"
"23","negative"
"24","positive"
"25","positive"
"26","negative"
"27","positive"
"28","positive"
"29","negative"
"30","negative"
"31","positive"
"32","positive"
"33","positive"
"34","negative"
"35","positive"
"36","positive"
"37","positive"
"38","negative"
"39","negative"
"40","positive"
"41","positive"
"42","positive"
"43","positive"
"44","positive"
"45","negative"
"46","positive"
"47","positive"
"48","negative"
"49","positive"
"50","negative"
"51","positive"
"52","positive"
"53","negative"
"54","negative"
"55","positive"
"56","negative"
"57","positive"
"58","positive"
"59","positive"
"60","positive"
"61","positive"
"62","positive"
"63","negative"
"64","positive"
"65","positive"
"66","negative"
"67","negative"
"68","positive"
"69","negative"
"70","positive"
"71","positive"
"72","positive"
"73","negative"
"74","negative"
"75","positive"
"76","negative"
"77","positive"
"78","positive"
"79","positive"
"80","positive"
"81","positive"
"82","negative"
"83","negative"
"84","positive"
"85","positive"
"86","negative"
"87","positive"
"88","negative"
"89","positive"
"90","positive"
"91","negative"
"92","positive"
"93","positive"
"94","positive"
"95","positive"
"96","negative"
"97","positive"
"98","positive"
"99","negative"
"100","positive"
"101","positive"
"102","positive"
"103","negative"
"104","positive"
"105","positive"
"106","positive"
"107","positive"
"108","positive"
"109","positive"
"110","negative"
"111","positive"
"112","positive"
"113","positive"
"114","negative"
"115","negative"
"116","positive"
"117","positive"
"118","positive"
"119","positive"
"120","positive"
"121","negative"
"122","positive"
"123","negative"
"124","positive"
"125","negative"
"126","positive"
"127","positive"
"128","positive"
"129","positive"
"130","negative"
"131","positive"
"132","negative"
"133","negative"
"134","positive"
"135","positive"
"136","positive"
"137","positive"
"138","positive"
"139","positive"
"140","negative"
"141","positive"
"142","positive"
"143","positive"
"144","negative"
"145","negative"
"146","positive"
"147","positive"
"148","negative"
"149","negative"
"150","negative"
"151","negative"
"152","positive"
"153","positive"
"154","negative"
"155","positive"
"156","negative"
"157","positive"
"158","negative"
"159","positive"
"160","positive"
"161","positive"
"162","positive"
"163","negative"
"164","negative"
"165","negative"
"166","negative"
"167","positive"
"168","negative"
"169","positive"
"170","positive"
"171","positive"
"172","negative"
"173","positive"
"174","positive"
"175","positive"
"176","positive"
"177","negative"
"178","positive"
"179","positive"
"180","positive"
"181","positive"
"182","negative"
"183","positive"
"184","positive"
"185","positive"
"186","negative"
"187","positive"
"188","negative"
"189","positive"
"190","negative"
"191","negative"
"192","negative"
"193","positive"
"194","positive"
"195","positive"
"196","positive"
"197","negative"
"198","negative"
"199","negative"
"200","positive"
"201","negative"
"202","positive"
"203","positive"
"204","positive"
"205","positive"
"206","positive"
"207","positive"
"208","negative"
"209","positive"
"210","negative"
"211","negative"
"212","negative"
"213","negative"
"214","positive"
"215","positive"
"216","positive"
"217","negative"
"218","negative"
"219","positive"
"220","positive"
"221","positive"
"222","positive"
"223","positive"
"224","positive"
"225","negative"
"226","negative"
"227","positive"
"228","positive"
"229","positive"
"230","positive"
"231","positive"
"232","positive"
"233","positive"
"234","negative"
"235","positive"
"236","negative"
"237","positive"
"238","positive"
"239","positive"
"240","positive"
"241","negative"
"242","positive"
"243","positive"
"244","positive"
"245","negative"
"246","positive"
"247","negative"
"248","positive"
"249","positive"
"250","negative"
"251","positive"
"252","positive"
"253","positive"
"254","positive"
"255","negative"
"256","positive"
"257","negative"
"258","positive"
"259","negative"
"260","negative"
"261","positive"
"262","positive"
"263","negative"
"264","negative"
"265","negative"
"266","negative"
"267","negative"
"268","positive"
"269","positive"
"270","positive"
"271","negative"
"272","negative"
"273","positive"
"274","positive"
"275","positive"
"276","positive"
"277","negative"
"278","positive"
"279","negative"
"280","positive"
"281","negative"
"282","positive"
"283","positive"
"284","positive"
"285","positive"
"286","negative"
"287","negative"
"288","positive"
"289","positive"
"290","negative"
"291","negative"
"292","negative"
"293","positive"
"294","positive"
"295","positive"
"296","positive"
"297","positive"
"298","positive"
"299","positive"
"300","negative"
"301","positive"
"302","positive"
"303","negative"
"304","positive"
"305","negative"
"306","positive"
"307","negative"
"308","negative"
"309","negative"
"310","positive"
"311","positive"
"312","positive"
"313","negative"
"314","positive"
"315","positive"
"316","positive"
"317","negative"
"318","positive"
"319","negative"
"320","negative"
"321","negative"
"322","positive"
"323","negative"
"324","positive"
"325","positive"
"326","positive"
"327","positive"
"328","negative"
"329","positive"
"330","negative"
"331","negative"
"332","positive"
"333","positive"
"334","negative"
"335","positive"
"336","positive"
"337","positive"
"338","positive"
"339","negative"
"340","positive"
"341","positive"
"342","positive"
"343","positive"
"344","negative"
"345","positive"
"346","positive"
"347","positive"
"348","positive"
"349","negative"
"350","positive"
"351","positive"
"352","negative"
"353","positive"
"354","positive"
"355","positive"
"356","positive"
"357","positive"
"358","positive"
"359","negative"
"360","negative"
"361","positive"
"362","positive"
"363","positive"
"364","positive"
"365","negative"
"366","positive"
"367","negative"
"368","negative"
"369","negative"
"370","positive"
"371","positive"
"372","negative"
"373","positive"
"374","negative"
"375","positive"
"376","positive"
"377","negative"
"378","positive"
"379","positive"
"380","negative"
"381","positive"
"382","negative"
"383","positive"
"384","positive"
"385","positive"
"386","negative"
"387","positive"
"388","negative"
"389","positive"
"390","negative"
"391","negative"
"392","negative"
"393","positive"
"394","negative"
"395","positive"
"396","positive"
"397","negative"
"398","negative"
"399","positive"
"400","positive"
"401","negative"
"402","positive"
"403","positive"
"404","positive"
"405","positive"
"406","positive"
"407","positive"
"408","positive"
"409","negative"
"410","positive"
"411","negative"
"412","positive"
"413","positive"
"414","positive"
"415","positive"
"416","positive"
"417","positive"
"418","negative"
"419","positive"
"420","positive"
"421","positive"
"422","positive"
"423","positive"
"424","negative"
"425","positive"
"426","positive"
"427","negative"
"428","positive"
"429","positive"
"430","positive"
"431","positive"
"432","positive"
"433","positive"
"434","positive"
"435","positive"
"436","negative"
"437","positive"
"438","positive"
"439","positive"
"440","positive"
"441","negative"
"442","negative"
"443","positive"
"444","positive"
"445","positive"
"446","positive"
"447","positive"
"448","positive"
"449","positive"
"450","positive"
"451","negative"
"452","negative"
"453","positive"
"454","positive"
"455","negative"
"456","positive"
"457","positive"
"458","negative"
"459","positive"
"460","positive"
"461","negative"
"462","positive"
"463","positive"
"464","positive"
"465","negative"
"466","positive"
"467","positive"
"468","positive"
"469","positive"
"470","positive"
"471","positive"
"472","negative"
"473","positive"
"474","positive"
"475","positive"
"476","positive"
"477","positive"
"478","negative"
"479","positive"
"480","negative"
"481","positive"
"482","negative"
"483","positive"
"484","negative"
"485","positive"
"486","negative"
"487","negative"
"488","positive"
"489","negative"
"490","negative"
"491","positive"
"492","negative"
"493","positive"
"494","negative"
"495","positive"
"496","positive"
"497","positive"
"498","positive"
"499","positive"
"500","negative"
"501","positive"
"502","negative"
"503","negative"
"504","positive"
"505","positive"
"506","positive"
"507","negative"
"508","negative"
"509","positive"
"510","positive"
"511","positive"
"512","negative"
"513","positive"
"514","positive"
"515","positive"
"516","positive"
"517","negative"
"518","positive"
"519","negative"
"520","negative"
"521","positive"
"522","negative"
"523","positive"
"524","positive"
"525","positive"
"526","positive"
"527","positive"
"528","negative"
"529","positive"
"530","negative"
"531","positive"
"532","negative"
"533","positive"
"534","positive"
"535","negative"
"536","positive"
"537","positive"
"538","positive"
"539","negative"
"540","positive"
"541","negative"
"542","positive"
"543","positive"
"544","positive"
"545","positive"
"546","negative"
"547","positive"
"548","positive"
"549","positive"
"550","positive"
"551","positive"
"552","positive"
"553","positive"
"554","positive"
"555","positive"
"556","positive"
"557","negative"
"558","negative"
"559","negative"
"560","positive"
"561","positive"
"562","negative"
"563","positive"
"564","positive"
"565","negative"
"566","negative"
"567","positive"
"568","negative"
"569","positive"
"570","positive"
"571","negative"
"572","positive"
"573","negative"
"574","negative"
"575","negative"
"576","positive"
"577","negative"
"578","positive"
"579","negative"
"580","positive"
"581","positive"
"582","positive"
"583","positive"
"584","positive"
"585","positive"
"586","positive"
"587","negative"
"588","positive"
"589","positive"
"590","positive"
"591","negative"
"592","negative"
"593","negative"
"594","positive"
"595","positive"
"596","negative"
"597","positive"
"598","negative"
"599","positive"
"600","negative"
"601","positive"
"602","negative"
"603","positive"
"604","positive"
"605","positive"
"606","positive"
"607","positive"
"608","positive"
"609","positive"
"610","positive"
"611","negative"
"612","positive"
"613","negative"
"614","positive"
"615","positive"
"616","negative"
"617","negative"
"618","positive"
"619","negative"
"620","positive"
"621","positive"
"622","positive"
"623","positive"
"624","positive"
"625","positive"
"626","positive"
"627","positive"
"628","negative"
"629","positive"
"630","positive"
"631","positive"
"632","positive"
"633","positive"
"634","negative"
"635","positive"
"636","negative"
"637","positive"
"638","positive"
"639","positive"
"640","negative"
"641","positive"
"642","positive"
"643","positive"
"644","negative"
"645","positive"
"646","positive"
"647","positive"
"648","negative"
"649","positive"
"650","negative"
"651","negative"
"652","positive"
"653","positive"
"654","positive"
"655","positive"
"656","positive"
"657","positive"
"658","positive"
"659","negative"
"660","negative"
"661","positive"
"662","negative"
"663","positive"
"664","positive"
"665","negative"
"666","positive"
"667","positive"
"668","negative"
"669","negative"
"670","negative"
"671","negative"
"672","positive"
"673","negative"
"674","positive"
"675","positive"
"676","negative"
"677","positive"
"678","positive"
"679","positive"
"680","positive"
"681","positive"
"682","positive"
"683","negative"
"684","negative"
"685","negative"
"686","negative"
"687","negative"
"688","positive"
"689","negative"
"690","positive"
"691","positive"
"692","negative"
"693","positive"
"694","negative"
"695","positive"
"696","negative"
"697","positive"
"698","positive"
"699","positive"
"700","positive"
"701","positive"
"702","positive"
"703","positive"
"704","negative"
"705","positive"
"706","positive"
"707","negative"
"708","positive"
"709","negative"
"710","positive"
"711","negative"
"712","positive"
"713","positive"
"714","positive"
"715","positive"
"716","positive"
"717","negative"
"718","positive"
"719","negative"
"720","positive"
"721","positive"
"722","positive"
"723","positive"
"724","positive"
"725","positive"
"726","positive"
"727","positive"
"728","positive"
"729","negative"
"730","negative"
"731","positive"
"732","positive"
"733","negative"
"734","positive"
"735","negative"
"736","positive"
"737","negative"
"738","positive"
"739","positive"
"740","negative"
"741","positive"
"742","positive"
"743","positive"
"744","positive"
"745","positive"
"746","negative"
"747","positive"
"748","negative"
"749","positive"
"750","positive"
"751","positive"
"752","positive"
"753","positive"
"754","positive"
"755","negative"
"756","positive"
"757","negative"
"758","positive"
"759","negative"
"760","positive"
"761","positive"
"762","negative"
"763","positive"
"764","positive"
"765","negative"
"766","positive"
"767","positive"
"768","positive"
"769","positive"
"770","positive"
"771","negative"
"772","negative"
"773","positive"
"774","positive"
"775","positive"
"776","positive"
"777","negative"
"778","negative"
"779","negative"
"780","positive"
"781","positive"
"782","positive"
"783","positive"
"784","negative"
"785","negative"
"786","negative"
"787","positive"
"788","positive"
"789","positive"
"790","positive"
"791","negative"
"792","positive"
"793","positive"
"794","negative"
"795","positive"
"796","positive"
"797","positive"
"798","positive"
"799","negative"
"800","positive"
"801","positive"
"802","positive"
"803","positive"
"804","positive"
"805","positive"
"806","positive"
"807","positive"
"808","positive"
"809","positive"
"810","positive"
"811","negative"
"812","positive"
"813","negative"
"814","negative"
"815","positive"
"816","positive"
"817","positive"
"818","positive"
"819","negative"
"820","positive"
"821","negative"
"822","positive"
"823","positive"
"824","positive"
"825","positive"
"826","positive"
"827","positive"
"828","negative"
"829","positive"
"830","negative"
"831","positive"
"832","positive"
"833","positive"
"834","positive"
"835","positive"
"836","positive"
"837","positive"
"838","positive"
"839","positive"
"840","positive"
"841","positive"
"842","negative"
"843","positive"
"844","negative"
"845","positive"
"846","positive"
"847","positive"
"848","positive"
"849","positive"
"850","positive"
"851","positive"
"852","positive"
"853","positive"
"854","negative"
"855","positive"
"856","negative"
"857","negative"
"858","positive"
"859","positive"
"860","positive"
"861","positive"
"862","positive"
"863","positive"
"864","positive"
"865","positive"
"866","positive"
"867","positive"
"868","negative"
"869","positive"
"870","negative"
"871","positive"
"872","positive"
"873","positive"
"874","positive"
"875","positive"
"876","positive"
"877","positive"
"878","negative"
"879","positive"
"880","negative"
"881","positive"
"882","positive"
"883","positive"
"884","positive"
"885","negative"
"886","negative"
"887","positive"
"888","positive"
"889","positive"
"890","negative"
"891","positive"
"892","positive"
"893","negative"
"894","positive"
"895","negative"
"896","positive"
"897","positive"
"898","positive"
"899","positive"
"900","negative"
"901","negative"
"902","positive"
"903","positive"
"904","positive"
"905","positive"
"906","positive"
"907","negative"
"908","negative"
"909","negative"
"910","positive"
"911","negative"
"912","negative"
"913","negative"
"914","positive"
"915","positive"
"916","positive"
"917","negative"
"918","positive"
"919","positive"
"920","positive"
"921","positive"
"922","positive"
"923","negative"
"924","positive"
"925","positive"
"926","negative"
"927","positive"
"928","positive"
"929","negative"
"930","positive"
"931","positive"
"932","negative"
"933","negative"
"934","positive"
"935","negative"
"936","positive"
"937","positive"
"938","positive"
"939","positive"
"940","positive"
"941","negative"
"942","negative"
"943","negative"
"944","positive"
"945","negative"
"946","negative"
"947","positive"
"948","negative"
"949","positive"
"950","negative"
"951","negative"
"952","positive"
"953","positive"
"954","negative"
"955","positive"
"956","positive"
"957","positive"
"958","positive"
"959","positive"
"960","positive"
"961","positive"
"962","negative"
"963","positive"
"964","negative"
"965","positive"
"966","positive"
"967","positive"
"968","positive"
"969","positive"
"970","positive"
"971","positive"
"972","positive"
"973","negative"
"974","positive"
"975","negative"
"976","negative"
"977","negative"
"978","positive"
"979","negative"
"980","negative"
"981","negative"
"982","positive"
"983","negative"
"984","negative"
"985","positive"
"986","positive"
"987","positive"
"988","positive"
"989","negative"
"990","positive"
"991","positive"
"992","positive"
"993","positive"
"994","negative"
"995","positive"
"996","positive"
"997","positive"
"998","negative"
"999","positive"
"1000","positive"
"1001","positive"
"1002","positive"
"1003","negative"
"1004","positive"
"1005","positive"
"1006","positive"
"1007","positive"
"1008","negative"
"1009","positive"
"1010","negative"
"1011","positive"
"1012","positive"
"1013","positive"
"1014","positive"
"1015","positive"
"1016","negative"
"1017","positive"
"1018","negative"
"1019","positive"
"1020","positive"
"1021","positive"
"1022","positive"
"1023","positive"
"1024","negative"
"1025","negative"
"1026","positive"
"1027","positive"
"1028","positive"
"1029","positive"
"1030","negative"
"1031","negative"
"1032","negative"
"1033","negative"
"1034","negative"
"1035","negative"
"1036","positive"
"1037","negative"
"1038","positive"
"1039","negative"
"1040","positive"
"1041","positive"
"1042","negative"
"1043","positive"
"1044","positive"
"1045","positive"
"1046","positive"
"1047","positive"
"1048","negative"
"1049","positive"
"1050","negative"
"1051","positive"
"1052","positive"
"1053","positive"
"1054","positive"
"1055","positive"
"1056","negative"
"1057","positive"
"1058","positive"
"1059","positive"
"1060","positive"
"1061","positive"
"1062","positive"
"1063","positive"
"1064","negative"
"1065","positive"
"1066","negative"
"1067","positive"
"1068","positive"
"1069","positive"
"1070","negative"
"1071","positive"
"1072","negative"
"1073","positive"
"1074","positive"
"1075","negative"
"1076","negative"
"1077","negative"
"1078","positive"
"1079","positive"
"1080","negative"
"1081","positive"
"1082","negative"
"1083","positive"
"1084","positive"
"1085","positive"
"1086","positive"
"1087","negative"
"1088","positive"
"1089","positive"
"1090","positive"
"1091","positive"
"1092","positive"
"1093","positive"
"1094","positive"
"1095","positive"
"1096","positive"
"1097","positive"
"1098","negative"
"1099","negative"
"1100","positive"
"1101","positive"
"1102","negative"
"1103","positive"
"1104","positive"
"1105","negative"
"1106","positive"
"1107","positive"
"1108","positive"
"1109","positive"
"1110","negative"
"1111","positive"
"1112","positive"
"1113","positive"
"1114","positive"
"1115","negative"
"1116","positive"
"1117","positive"
"1118","positive"
"1119","positive"
"1120","negative"
"1121","positive"
"1122","negative"
"1123","negative"
"1124","negative"
"1125","positive"
"1126","positive"
"1127","positive"
"1128","positive"
"1129","positive"
"1130","positive"
"1131","positive"
"1132","positive"
"1133","positive"
"1134","negative"
"1135","positive"
"1136","positive"
"1137","positive"
"1138","negative"
"1139","positive"
"1140","negative"
"1141","positive"
"1142","positive"
"1143","positive"
"1144","positive"
"1145","negative"
"1146","positive"
"1147","positive"
"1148","negative"
"1149","positive"
"1150","positive"
"1151","negative"
"1152","positive"
"1153","negative"
"1154","positive"
"1155","negative"
"1156","positive"
"1157","positive"
"1158","positive"
"1159","negative"
"1160","positive"
"1161","positive"
"1162","positive"
"1163","negative"
"1164","negative"
"1165","negative"
"1166","negative"
"1167","positive"
"1168","positive"
"1169","positive"
"1170","positive"
"1171","positive"
"1172","positive"
"1173","negative"
"1174","negative"
"1175","positive"
"1176","positive"
"1177","negative"
"1178","negative"
"1179","positive"
"1180","negative"
"1181","positive"
"1182","positive"
"1183","negative"
"1184","negative"
"1185","positive"
"1186","positive"
"1187","positive"
"1188","negative"
"1189","positive"
"1190","negative"
"1191","positive"
"1192","negative"
"1193","positive"
"1194","positive"
"1195","positive"
"1196","positive"
"1197","negative"
"1198","positive"
"1199","positive"
"1200","positive"
"1201","positive"
"1202","positive"
"1203","negative"
"1204","positive"
"1205","negative"
"1206","negative"
"1207","positive"
"1208","positive"
"1209","negative"
"1210","positive"
"1211","positive"
"1212","negative"
"1213","negative"
"1214","negative"
"1215","positive"
"1216","positive"
"1217","negative"
"1218","positive"
"1219","positive"
"1220","negative"
"1221","negative"
"1222","negative"
"1223","positive"
"1224","positive"
"1225","negative"
"1226","positive"
"1227","positive"
"1228","positive"
"1229","positive"
"1230","positive"
"1231","positive"
"1232","positive"
"1233","negative"
"1234","negative"
"1235","negative"
"1236","positive"
"1237","positive"
"1238","positive"
"1239","positive"
"1240","negative"
"1241","positive"
"1242","positive"
"1243","positive"
"1244","negative"
"1245","positive"
"1246","negative"
"1247","positive"
"1248","negative"
"1249","negative"
"1250","positive"
"1251","positive"
"1252","negative"
"1253","negative"
"1254","positive"
"1255","negative"
"1256","positive"
"1257","negative"
"1258","positive"
"1259","positive"
"1260","positive"
"1261","positive"
"1262","negative"
"1263","positive"
"1264","positive"
"1265","positive"
"1266","negative"
"1267","positive"
"1268","negative"
"1269","positive"
"1270","negative"
"1271","positive"
"1272","positive"
"1273","negative"
"1274","negative"
"1275","positive"
"1276","positive"
"1277","positive"
"1278","positive"
"1279","positive"
"1280","positive"
"1281","negative"
"1282","positive"
"1283","positive"
"1284","negative"
"1285","negative"
"1286","negative"
"1287","positive"
"1288","negative"
"1289","positive"
"1290","negative"
"1291","positive"
"1292","positive"
"1293","positive"
"1294","negative"
"1295","positive"
"1296","positive"
"1297","positive"
"1298","positive"
"1299","negative"
"1300","positive"
"1301","negative"
"1302","positive"
"1303","positive"
"1304","positive"
"1305","positive"
"1306","positive"
"1307","negative"
"1308","negative"
"1309","negative"
"1310","positive"
"1311","positive"
"1312","positive"
"1313","negative"
"1314","positive"
"1315","positive"
"1316","negative"
"1317","positive"
"1318","positive"
"1319","positive"
"1320","negative"
"1321","negative"
"1322","positive"
"1323","positive"
"1324","positive"
"1325","negative"
"1326","positive"
"1327","positive"
"1328","positive"
"1329","positive"
"1330","positive"
"1331","positive"
"1332","positive"
"1333","positive"
"1334","negative"
"1335","positive"
"1336","positive"
"1337","negative"
"1338","negative"
"1339","positive"
"1340","positive"
"1341","positive"
"1342","positive"
"1343","negative"
"1344","positive"
"1345","positive"
"1346","positive"
"1347","positive"
"1348","positive"
"1349","negative"
"1350","positive"
"1351","positive"
"1352","negative"
"1353","positive"
"1354","positive"
"1355","positive"
"1356","positive"
"1357","positive"
"1358","positive"
"1359","negative"
"1360","positive"
"1361","positive"
"1362","positive"
"1363","positive"
"1364","positive"
"1365","positive"
"1366","negative"
"1367","positive"
"1368","positive"
"1369","positive"
"1370","positive"
"1371","positive"
"1372","positive"
"1373","positive"
"1374","positive"
"1375","positive"
"1376","positive"
"1377","positive"
"1378","positive"
"1379","positive"
"1380","negative"
"1381","positive"
"1382","negative"
"1383","positive"
"1384","negative"
"1385","positive"
"1386","positive"
"1387","negative"
"1388","positive"
"1389","positive"
"1390","positive"
"1391","negative"
"1392","positive"
"1393","positive"
"1394","positive"
"1395","positive"
"1396","positive"
"1397","positive"
"1398","positive"
"1399","negative"
"1400","positive"
"1401","positive"
"1402","positive"
"1403","positive"
"1404","positive"
"1405","positive"
"1406","negative"
"1407","negative"
"1408","negative"
"1409","positive"
"1410","positive"
"1411","positive"
"1412","positive"
"1413","negative"
"1414","positive"
"1415","positive"
"1416","negative"
"1417","negative"
"1418","positive"
"1419","negative"
"1420","negative"
"1421","positive"
"1422","positive"
"1423","negative"
"1424","positive"
"1425","positive"
"1426","negative"
"1427","positive"
"1428","negative"
"1429","negative"
"1430","negative"
"1431","negative"
"1432","positive"
"1433","positive"
"1434","positive"
"1435","negative"
"1436","negative"
"1437","positive"
"1438","positive"
"1439","negative"
"1440","negative"
"1441","positive"
"1442","positive"
"1443","positive"
"1444","positive"
"1445","positive"
"1446","positive"
"1447","negative"
"1448","positive"
"1449","negative"
"1450","positive"
"1451","positive"
"1452","positive"
"1453","positive"
"1454","positive"
"1455","positive"
"1456","positive"
"1457","positive"
"1458","negative"
"1459","positive"
"1460","positive"
"1461","positive"
"1462","positive"
"1463","positive"
"1464","negative"
"1465","positive"
"1466","positive"
"1467","negative"
"1468","positive"
"1469","negative"
"1470","positive"
"1471","positive"
"1472","negative"
"1473","positive"
"1474","negative"
"1475","positive"
"1476","positive"
"1477","negative"
"1478","negative"
"1479","negative"
"1480","positive"
"1481","negative"
"1482","positive"
"1483","positive"
"1484","negative"
"1485","positive"
"1486","positive"
"1487","positive"
"1488","positive"
"1489","positive"
"1490","negative"
