"","x"
"1","rn469710511"
"2","rn469465391"
"3","rn469454922"
"4","rn469416270"
"5","rn468825190"
"6","rn468544327"
"7","rn468377849"
"8","rn468200116"
"9","rn468111523"
"10","rn467823039"
"11","rn467577979"
"12","rn467530438"
"13","rn467257167"
"14","rn467027313"
"15","rn466962439"
"16","rn466914097"
"17","rn466582289"
"18","rn466432903"
"19","rn466379570"
"20","rn466119209"
"21","rn466058406"
"22","rn465312887"
"23","rn465131128"
"24","rn464984735"
"25","rn464948208"
"26","rn464806738"
"27","rn464619546"
"28","rn464196254"
"29","rn463985058"
"30","rn463880619"
"31","rn463857637"
"32","rn463241662"
"33","rn462889036"
"34","rn462728518"
"35","rn462714179"
"36","rn462641225"
"37","rn462434236"
"38","rn462347216"
"39","rn461500467"
"40","rn461356591"
"41","rn461319523"
"42","rn461295716"
"43","rn461247819"
"44","rn461120095"
"45","rn461030314"
"46","rn460999593"
"47","rn460839874"
"48","rn460611165"
"49","rn460440507"
"50","rn459938556"
"51","rn459761734"
"52","rn459554432"
"53","rn459295999"
"54","rn459270919"
"55","rn459089437"
"56","rn458910113"
"57","rn458815500"
"58","rn458527225"
"59","rn458163639"
"60","rn458108454"
"61","rn457970578"
"62","rn457600471"
"63","rn457520098"
"64","rn457455852"
"65","rn457352355"
"66","rn456995058"
"67","rn456017334"
"68","rn455801665"
"69","rn455758682"
"70","rn455358684"
"71","rn455242368"
"72","rn455058552"
"73","rn454844282"
"74","rn454842507"
"75","rn454712211"
"76","rn454646555"
"77","rn454576541"
"78","rn454128339"
"79","rn453834176"
"80","rn453800806"
"81","rn453755248"
"82","rn453595318"
"83","rn453127782"
"84","rn452968716"
"85","rn452648196"
"86","rn452439077"
"87","rn451984365"
"88","rn451973344"
"89","rn451207076"
"90","rn450743544"
"91","rn450573076"
"92","rn450493547"
"93","rn450331495"
"94","rn450130370"
"95","rn450035304"
"96","rn449695604"
"97","rn449642155"
"98","rn449384328"
"99","rn449013931"
"100","rn448918857"
"101","rn448813283"
"102","rn448666039"
"103","rn448652416"
"104","rn448614483"
"105","rn448324649"
"106","rn448270853"
"107","rn448201898"
"108","rn448035654"
"109","rn447890063"
"110","rn447851917"
"111","rn447316704"
"112","rn447278980"
"113","rn446959289"
"114","rn446676714"
"115","rn446591617"
"116","rn446570966"
"117","rn446497344"
"118","rn446487352"
"119","rn446439380"
"120","rn446334181"
"121","rn445996635"
"122","rn445925550"
"123","rn445565899"
"124","rn445423084"
"125","rn445414866"
"126","rn445322471"
"127","rn444850103"
"128","rn444679905"
"129","rn444535071"
"130","rn444492584"
"131","rn444409941"
"132","rn444255198"
"133","rn444247352"
"134","rn444241381"
"135","rn444234270"
"136","rn444079495"
"137","rn444076187"
"138","rn444007171"
"139","rn443599209"
"140","rn443589706"
"141","rn443158689"
"142","rn443121451"
"143","rn443021034"
"144","rn442733724"
"145","rn442604213"
"146","rn442233371"
"147","rn442018083"
"148","rn441892283"
"149","rn441762909"
"150","rn441428508"
"151","rn441237209"
"152","rn441204345"
"153","rn441127426"
"154","rn440993492"
"155","rn440980976"
"156","rn440913766"
"157","rn440531227"
"158","rn440286821"
"159","rn440172326"
"160","rn439976618"
"161","rn439327256"
"162","rn438776621"
"163","rn438759980"
"164","rn438644317"
"165","rn438240713"
"166","rn438222349"
"167","rn438183652"
"168","rn438166071"
"169","rn438019996"
"170","rn437889007"
"171","rn437621055"
"172","rn437606446"
"173","rn437502901"
"174","rn437474740"
"175","rn437407516"
"176","rn437376443"
"177","rn437349859"
"178","rn437301424"
"179","rn437272405"
