"","x"
"1","positive"
"2","positive"
"3","positive"
"4","positive"
"5","positive"
"6","positive"
"7","positive"
"8","positive"
"9","positive"
"10","positive"
"11","positive"
"12","positive"
"13","positive"
"14","positive"
"15","positive"
"16","positive"
"17","positive"
"18","positive"
"19","positive"
"20","positive"
"21","positive"
"22","positive"
"23","positive"
"24","positive"
"25","positive"
"26","positive"
"27","positive"
"28","positive"
"29","positive"
"30","positive"
"31","positive"
"32","positive"
"33","positive"
"34","positive"
"35","positive"
"36","positive"
"37","positive"
"38","positive"
"39","positive"
"40","positive"
"41","positive"
"42","positive"
"43","negative"
"44","positive"
"45","positive"
"46","positive"
"47","positive"
"48","positive"
"49","positive"
"50","positive"
"51","positive"
"52","positive"
"53","positive"
"54","positive"
"55","positive"
"56","positive"
"57","positive"
"58","positive"
"59","positive"
"60","positive"
"61","positive"
"62","positive"
"63","positive"
"64","positive"
"65","positive"
"66","positive"
"67","positive"
"68","positive"
"69","positive"
"70","positive"
"71","positive"
"72","positive"
"73","positive"
"74","positive"
"75","positive"
"76","positive"
"77","positive"
"78","positive"
"79","positive"
"80","positive"
"81","positive"
"82","positive"
"83","positive"
"84","positive"
"85","positive"
"86","positive"
"87","positive"
"88","positive"
"89","positive"
"90","positive"
"91","positive"
"92","positive"
"93","positive"
"94","positive"
"95","negative"
"96","positive"
"97","positive"
"98","positive"
"99","positive"
"100","positive"
"101","positive"
"102","positive"
"103","positive"
"104","positive"
"105","positive"
"106","positive"
"107","positive"
"108","positive"
"109","positive"
"110","positive"
"111","positive"
"112","positive"
"113","positive"
"114","positive"
"115","positive"
"116","positive"
"117","positive"
"118","positive"
"119","positive"
"120","positive"
"121","positive"
"122","positive"
"123","positive"
"124","positive"
"125","positive"
"126","positive"
"127","positive"
"128","positive"
"129","positive"
"130","positive"
"131","positive"
"132","positive"
"133","positive"
"134","positive"
"135","positive"
"136","positive"
"137","positive"
"138","positive"
"139","positive"
"140","positive"
"141","positive"
"142","positive"
"143","positive"
"144","positive"
"145","positive"
"146","positive"
"147","positive"
"148","positive"
"149","positive"
"150","positive"
"151","positive"
"152","positive"
"153","positive"
"154","positive"
"155","positive"
"156","positive"
"157","positive"
"158","positive"
"159","positive"
"160","positive"
"161","positive"
"162","positive"
"163","positive"
"164","positive"
"165","positive"
"166","positive"
