"word","tfidf","tf"
"museum",0.878570271760083,149
"paint",0.867512002845209,85
"prado",0.8,56
"art",0.785118854239993,117
"staff",0.782082208093232,38
"ticket",0.743744318099994,39
"visit",0.684412398303739,45
"free",0.610558846658099,36
"enjoy",0.606042381565374,31
"work",0.600272677194597,37
"peopl",0.597067224399607,36
"time",0.597067224399607,36
"line",0.591871603100531,28
"don",0.591181381053841,31
"pictur",0.569473387694976,24
"queue",0.563309970517779,23
"bore",0.558368798761704,30
"great",0.553040646792303,29
"build",0.529393040648131,23
"room",0.528456788482617,25
"collect",0.527037821217789,29
"didn",0.514326494820581,21
"galleri",0.498289214233104,21
"exhibit",0.483358863200467,21
"find",0.469392452541745,21
"disappoint",0.469194101857064,24
"religi",0.461579267903045,26
"good",0.460341774476635,20
"poor",0.450833098591856,19
"madrid",0.44964434761302,23
"tour",0.445624812651646,17
"guid",0.434545739384947,20
"hour",0.432203325525207,21
"interest",0.427105040771232,18
"long",0.427105040771232,18
"bad",0.424688409442531,19
"place",0.422765430786093,20
"make",0.416359543426185,17
"layout",0.412928301694497,14
"experi",0.412818452415699,19
"goya",0.402336387892924,18
"price",0.391867805577586,16
"rude",0.391867805577586,16
"entranc",0.383433423002033,13
"photo",0.383433423002033,13
"thing",0.379984366343317,17
"world",0.379648925129984,16
"crowd",0.367376067728987,15
"day",0.367376067728987,15
"audio",0.366985139830767,14
"plan",0.353540099905349,13
"understand",0.353540099905349,13
"portrait",0.343382494432686,10
"back",0.342884329880387,14
"dark",0.340771915557141,13
"pay",0.340771915557141,13
"money",0.332192809488736,14
"euro",0.329115476506497,13
"love",0.324443665617104,11
"open",0.324443665617104,11
"impress",0.318392592031788,13
"worth",0.318392592031788,13
"inform",0.309044244989417,9
"artist",0.308709149634812,10
"decid",0.308709149634812,10
"lover",0.308709149634812,10
"bathroom",0.306464150847248,7
"found",0.299149315304526,11
"louvr",0.299149315304526,11
"minut",0.299149315304526,11
"jesus",0.29494878692464,10
"secur",0.29494878692464,10
"organ",0.293101886682569,8
"worst",0.292134890328674,9
"spanish",0.288345467009888,11
"bosch",0.282811286821618,10
"famous",0.282811286821618,10
"full",0.282811286821618,10
"insid",0.282811286821618,10
"show",0.282811286821618,10
"thyssen",0.282811286821618,10
"compar",0.27783823467133,9
"group",0.27783823467133,9
"overr",0.27783823467133,9
"custom",0.277216025811191,7
"sign",0.27721602581119,7
"close",0.271953923004115,10
"person",0.271953923004115,10
"thought",0.271953923004115,10
"english",0.265453908232176,9
"nice",0.265453908232176,9
"rate",0.265453908232176,9
"servic",0.265453908232176,9
"start",0.265453908232176,9
"tourist",0.265453908232176,9
"descript",0.259675458069932,8
"student",0.259675458069932,8
"desk",0.256464150847248,7
"camera",0.254617250605177,5
"expect",0.254530158139456,9
"walk",0.254530158139456,9
"big",0.246967319707849,8
"guard",0.246967319707849,8
"kind",0.246967319707849,8
"pretti",0.246967319707849,8
"spain",0.246967319707849,8
"classic",0.24036774610288,7
"earli",0.24036774610288,7
"map",0.24036774610288,7
"signag",0.24036774610288,7
"wasn",0.24036774610288,7
"amaz",0.235959029539712,8
"huge",0.235959029539712,8
"piec",0.235959029539712,8
"small",0.235959029539712,8
"told",0.235959029539712,8
"buy",0.227216025811191,7
"confus",0.227216025811191,7
"fan",0.227216025811191,7
"general",0.227216025811191,7
"guess",0.227216025811191,7
"lot",0.227216025811191,7
"masterpiec",0.227216025811191,7
"maze",0.227216025811191,7
"exit",0.219826415011927,6
"prefer",0.219826415011927,6
"bit",0.216096404744368,7
"enter",0.216096404744368,7
"hard",0.216096404744368,7
"master",0.216096404744368,7
"save",0.216096404744368,7
"short",0.216096404744368,7
"skip",0.216096404744368,7
"spent",0.216096404744368,7
"wast",0.216096404744368,7
"bornemisza",0.206029496659612,6
"eye",0.206029496659612,6
"fact",0.206029496659612,6
"felt",0.206029496659612,6
"holiday",0.206029496659612,6
"organis",0.206029496659612,6
"period",0.206029496659612,6
"sculptur",0.206029496659612,6
"shop",0.206029496659612,6
"total",0.206029496659612,6
"turn",0.206029496659612,6
"type",0.206029496659612,6
"ramp",0.203693800484142,4
"isn",0.198011447007993,5
"min",0.198011447007993,5
"put",0.198011447007993,5
"royal",0.198011447007993,5
"window",0.198011447007993,5
"beauti",0.194756593552449,6
"entri",0.194756593552449,6
"expens",0.194756593552449,6
"give",0.194756593552449,6
"left",0.194756593552449,6
"list",0.194756593552449,6
"made",0.194756593552449,6
"main",0.194756593552449,6
"miss",0.194756593552449,6
"nation",0.194756593552449,6
"painter",0.194756593552449,6
"part",0.194756593552449,6
"quick",0.194756593552449,6
"recommend",0.194756593552449,6
"similar",0.194756593552449,6
"special",0.194756593552449,6
"spend",0.194756593552449,6
"suppos",0.194756593552449,6
"amp",0.183188679176606,5
"citi",0.183188679176606,5
"couldn",0.183188679176606,5
"cross",0.183188679176606,5
"direct",0.183188679176606,5
"door",0.183188679176606,5
"final",0.183188679176606,5
"garden",0.183188679176606,5
"paid",0.183188679176606,5
"point",0.183188679176606,5
"navig",0.175122371912713,4
"yell",0.175122371912713,4
"arriv",0.171691247216343,5
"avoid",0.171691247216343,5
"book",0.171691247216343,5
"bother",0.171691247216343,5
"cafe",0.171691247216343,5
"care",0.171691247216343,5
"cost",0.171691247216343,5
"display",0.171691247216343,5
"earth",0.171691247216343,5
"friend",0.171691247216343,5
"greco",0.171691247216343,5
"import",0.171691247216343,5
"lack",0.171691247216343,5
"larg",0.171691247216343,5
"major",0.171691247216343,5
"select",0.171691247216343,5
"style",0.171691247216343,5
"theme",0.171691247216343,5
"top",0.171691247216343,5
"treat",0.171691247216343,5
"trip",0.171691247216343,5
"view",0.171691247216343,5
"area",0.158409157606395,4
"attitud",0.158409157606395,4
"bosco",0.158409157606395,4
"fine",0.158409157606395,4
"flash",0.158409157606395,4
"gloomi",0.158409157606395,4
"handl",0.158409157606395,4
"honest",0.158409157606395,4
"hundr",0.158409157606395,4
"item",0.158409157606395,4
"laid",0.158409157606395,4
"limit",0.158409157606395,4
"lost",0.158409157606395,4
"rip",0.158409157606395,4
"simpli",0.158409157606395,4
"sit",0.158409157606395,4
"wait",0.158409157606395,4
"café",0.152770350363106,3
"protest",0.152770350363106,3
"scari",0.152770350363106,3
"architectur",0.146550943341285,4
"bottom",0.146550943341285,4
"check",0.146550943341285,4
"complet",0.146550943341285,4
"coupl",0.146550943341285,4
"delight",0.146550943341285,4
"explan",0.146550943341285,4
"extrem",0.146550943341285,4
"famili",0.146550943341285,4
"feel",0.146550943341285,4
"floor",0.146550943341285,4
"front",0.146550943341285,4
"happi",0.146550943341285,4
"high",0.146550943341285,4
"histor",0.146550943341285,4
"imag",0.146550943341285,4
"imposs",0.146550943341285,4
"issu",0.146550943341285,4
"kid",0.146550943341285,4
"ladi",0.146550943341285,4
"languag",0.146550943341285,4
"lisa",0.146550943341285,4
"manag",0.146550943341285,4
"met",0.146550943341285,4
"modern",0.146550943341285,4
"mona",0.146550943341285,4
"move",0.146550943341285,4
"opinion",0.146550943341285,4
"picasso",0.146550943341285,4
"polici",0.146550943341285,4
"problem",0.146550943341285,4
"purchas",0.146550943341285,4
"reina",0.146550943341285,4
"return",0.146550943341285,4
"round",0.146550943341285,4
"stand",0.146550943341285,4
"stay",0.146550943341285,4
"tast",0.146550943341285,4
"tea",0.146550943341285,4
"varieti",0.146550943341285,4
"wall",0.146550943341285,4
"week",0.146550943341285,4
"word",0.146550943341285,4
"wrong",0.146550943341285,4
"year",0.146550943341285,4
"aggress",0.131341778934535,3
"arrog",0.131341778934535,3
"bench",0.131341778934535,3
"brochur",0.131341778934535,3
"dead",0.131341778934535,3
"dont",0.131341778934535,3
"fantast",0.131341778934535,3
"follow",0.131341778934535,3
"heard",0.131341778934535,3
"hermitag",0.131341778934535,3
"ignor",0.131341778934535,3
"lead",0.131341778934535,3
"machin",0.131341778934535,3
"manner",0.131341778934535,3
"matter",0.131341778934535,3
"number",0.131341778934535,3
"order",0.131341778934535,3
"photographi",0.131341778934535,3
"ray",0.131341778934535,3
"real",0.131341778934535,3
"repetit",0.131341778934535,3
"selfi",0.131341778934535,3
"specif",0.131341778934535,3
"sunday",0.131341778934535,3
"travel",0.131341778934535,3
"wouldn",0.131341778934535,3
"admiss",0.118806868204796,3
"advanc",0.118806868204796,3
"air",0.118806868204796,3
"basic",0.118806868204796,3
"biggest",0.118806868204796,3
"centuri",0.118806868204796,3
"control",0.118806868204796,3
"cup",0.118806868204796,3
"deal",0.118806868204796,3
"due",0.118806868204796,3
"eat",0.118806868204796,3
"elder",0.118806868204796,3
"european",0.118806868204796,3
"excit",0.118806868204796,3
"exposit",0.118806868204796,3
"figur",0.118806868204796,3
"food",0.118806868204796,3
"hand",0.118806868204796,3
"head",0.118806868204796,3
"heavi",0.118806868204796,3
"hotel",0.118806868204796,3
"husband",0.118806868204796,3
"idea",0.118806868204796,3
"institut",0.118806868204796,3
"keen",0.118806868204796,3
"late",0.118806868204796,3
"life",0.118806868204796,3
"liter",0.118806868204796,3
"locat",0.118806868204796,3
"man",0.118806868204796,3
"mediev",0.118806868204796,3
"mediocr",0.118806868204796,3
"mess",0.118806868204796,3
"natur",0.118806868204796,3
"offer",0.118806868204796,3
"orsay",0.118806868204796,3
"overwhelm",0.118806868204796,3
"pari",0.118806868204796,3
"park",0.118806868204796,3
"pleas",0.118806868204796,3
"possibl",0.118806868204796,3
"present",0.118806868204796,3
"queu",0.118806868204796,3
"read",0.118806868204796,3
"review",0.118806868204796,3
"ruben",0.118806868204796,3
"section",0.118806868204796,3
"set",0.118806868204796,3
"singl",0.118806868204796,3
"size",0.118806868204796,3
"speak",0.118806868204796,3
"stun",0.118806868204796,3
"subject",0.118806868204796,3
"tapa",0.118806868204796,3
"temporari",0.118806868204796,3
"terribl",0.118806868204796,3
"tough",0.118806868204796,3
"unfriend",0.118806868204796,3
"velasquez",0.118806868204796,3
"visitor",0.118806868204796,3
"wander",0.118806868204796,3
"won",0.118806868204796,3
"young",0.118806868204796,3
"access",0.101846900242071,2
"answer",0.101846900242071,2
"arrow",0.101846900242071,2
"assist",0.101846900242071,2
"cloakroom",0.101846900242071,2
"cloth",0.101846900242071,2
"construct",0.101846900242071,2
"descend",0.101846900242071,2
"didnt",0.101846900242071,2
"discourt",0.101846900242071,2
"dissapoint",0.101846900242071,2
"doorway",0.101846900242071,2
"employe",0.101846900242071,2
"event",0.101846900242071,2
"favourit",0.101846900242071,2
"fulli",0.101846900242071,2
"hit",0.101846900242071,2
"interf",0.101846900242071,2
"lit",0.101846900242071,2
"obnoxi",0.101846900242071,2
"offic",0.101846900242071,2
"phone",0.101846900242071,2
"pickpocket",0.101846900242071,2
"profession",0.101846900242071,2
"public",0.101846900242071,2
"raini",0.101846900242071,2
