"word","tfidf","tf"
"abil",0.0154131649881535,19
"abound",0.0110772191073641,13
"absolut",0.153510526292171,344
"absorb",0.0522732076313876,84
"abund",0.0180783228485305,23
"accept",0.0140422262222325,17
"access",0.11161766659793,221
"accompani",0.016629000513299,21
"activ",0.0279772585743301,39
"actual",0.0242578291826493,33
"adam",0.0132162129150424,16
"add",0.0486614401883634,77
"addit",0.0604353803960781,101
"adequ",0.0236464254818347,32
"admir",0.0865257104804011,160
"admiss",0.21436634540131,525
"admit",0.0310109648823542,44
"admitt",0.0133459143315724,16
"ador",0.0175556796563617,22
"adult",0.0370275617214209,55
"advanc",0.163385193667338,368
"advantag",0.0692628366838773,120
"advertis",0.0126417820707754,15
"advic",0.0594950381526051,99
"advis",0.0560341014282766,92
"afford",0.02606964116472,36
"aficionado",0.0248654260991306,34
"afternoon",0.192704224328284,469
"age",0.0840446395779449,154
"ago",0.0567736856724731,93
"agre",0.0146019457782506,18
"ahead",0.112577319685806,221
"aim",0.0127814066623432,15
"aimless",0.0126417820707754,15
"air",0.0272598929698601,38
"airi",0.0248654260991306,34
"airport",0.0162243841980563,20
"aliv",0.0239058283148947,32
"alloc",0.0284369171217087,40
"allot",0.0117989965993904,14
"alongsid",0.0110772191073641,13
"alot",0.022950937998202,30
"altern",0.0159597087785107,20
"amaz",0.483320485518477,2070
"american",0.017420857680599,22
"amount",0.0865257104804011,160
"amp",0.168184085869279,333
"ampl",0.0186020400745218,24
"ancient",0.0193771250776268,25
"angelico",0.0425013129015843,65
"anniversari",0.0125117946858491,15
"annoy",0.0152841341917035,19
"annunci",0.0187303365286345,24
"answer",0.0154131649881535,19
"anticip",0.0103457701678546,12
"app",0.026602228667064,36
"appar",0.0217881444964736,29
"appeal",0.0172923088116378,22
"appoint",0.0117989965993904,14
"appreci",0.0844380724600319,154
"approach",0.0402596720614163,61
"april",0.0117989965993904,14
"architectur",0.0547151178965584,89
"area",0.137094339952994,289
"aren",0.0465078757340146,73
"arguabl",0.0117989965993904,14
"arrang",0.0461255458575445,72
"array",0.0279772585743301,39
"arriv",0.162848205530431,372
"art",0.782483639092293,8112
"arti",0.0139127757345731,17
"artifact",0.0119293128848537,14
"artist",0.438214520339171,1706
"artwork",0.20202720428742,491
"aspect",0.0132162129150424,16
"assist",0.0186020400745218,24
"assum",0.0139127757345731,17
"astonish",0.0370275617214209,55
"astound",0.0255967621608697,35
"ate",0.020527854457079,27
"atmospher",0.036900801175986,55
"atocha",0.0219159658545642,29
"attempt",0.0217881444964736,29
"attend",0.0349570633045283,51
"attent",0.0428960985723141,66
"attract",0.125962843267754,257
"audio",0.314525960750869,970
"audioguid",0.0834959027451044,146
"august",0.0245169731575807,33
"author",0.0159597087785107,20
"averag",0.0226716888150664,30
"avoid",0.197630707902748,489
"awar",0.0407909449370568,62
"awe",0.0500352296584289,80
"awesom",0.117433706458738,238
"babi",0.0125117946858491,15
"back",0.259753096873934,727
"background",0.0395996774374587,60
"backpack",0.0487455665594479,75
"bad",0.0688779845002064,120
"bag",0.0670174515283242,112
"banco",0.0103457701678546,12
"bar",0.0239058283148947,32
"barcelona",0.0255967621608697,35
"bare",0.0242578291826493,33
"bargain",0.0172923088116378,22
"baroqu",0.0226716888150664,30
"base",0.0314528186704417,45
"basel",0.020527854457079,27
"basement",0.034401124611113,50
"basic",0.0272598929698601,38
"bathroom",0.0206558441983818,27
"battl",0.0103457701678546,12
"bear",0.0146019457782506,18
"beat",0.0430246268380183,66
"beauti",0.406310720100645,1491
"began",0.0132162129150424,16
"begin",0.0426319445272458,65
"behold",0.0132162129150424,16
"belong",0.0112079176818425,13
"bench",0.0458707815458774,72
"benefit",0.0186020400745218,24
"bet",0.0103457701678546,12
"bewar",0.0252599117381135,34
"biblic",0.0146019457782506,18
"big",0.252968422445304,696
"bigger",0.0187303365286345,24
"biggest",0.054942276457232,90
"birth",0.0110772191073641,13
"bit",0.209099533591497,525
"bite",0.0179499058399414,23
"black",0.124031479794948,258
"blew",0.0126417820707754,15
"block",0.036354333326486,54
"blow",0.030306170225937,43
"blown",0.02606964116472,36
"boast",0.0125117946858491,15
"bodi",0.0140422262222325,17
"boggl",0.0146019457782506,18
"bonus",0.0383740185112908,57
"book",0.299469847836071,843
"booklet",0.0147311743071951,18
"bookshop",0.021160242894062,28
"bookstor",0.02751795456276,38
"booth",0.0152841341917035,19
"bore",0.054942276457232,90
"bornemisza",0.053124964515952,86
"bosch",0.31810204762301,963
"bosco",0.118922238636091,232
"bosh",0.0143273530135455,17
"botan",0.0471449699221518,74
"bother",0.02606964116472,36
"botticelli",0.0132162129150424,16
"bottl",0.0125117946858491,15
"bottom",0.0200188968371839,26
"bought",0.103155013010603,202
"box",0.0127814066623432,15
"boy",0.0234129206607932,30
"brain",0.0132162129150424,16
"bravo",0.0140422262222325,17
"breadth",0.0230310959965152,31
"break",0.154061582072191,347
"breath",0.0411935801969202,63
"breathtak",0.0848748668554334,156
"breez",0.016629000513299,21
"breughel",0.0110772191073641,13
"bright",0.0186020400745218,24
"brilliant",0.0729383175739151,128
"bring",0.0924669956800178,174
"british",0.0347007956403571,51
"broad",0.0117989965993904,14
"brochur",0.0720140184442215,125
"brought",0.0273871798945472,38
"brows",0.039064234896781,59
"bruegel",0.0172923088116378,22
"brueghel",0.027641113989097,37
"brush",0.0110772191073641,13
"btw",0.0103457701678546,12
"bucket",0.033281672534894,48
"budget",0.0456132310344905,71
"buff",0.047913819390223,75
"build",0.254848071634047,708
"built",0.0103457701678546,12
"bus",0.0496090634159366,77
"busi",0.139285323106406,300
"buy",0.288015056081128,820
"bypass",0.0103457701678546,12
"cafe",0.262073540573864,745
"café",0.0693442090043771,119
"cafeteria",0.139485221820722,301
"cake",0.016629000513299,21
"call",0.0505326937899523,81
"calm",0.0154131649881535,19
"camera",0.0425613014700364,63
"canva",0.0261469997194161,35
"canvas",0.0139127757345731,17
"capit",0.0172923088116378,22
"captiv",0.0190045720151989,24
"captur",0.0160885623070563,20
"caravaggio",0.0681787601135472,117
"card",0.110453784885099,213
"care",0.0624311878096461,105
"carri",0.0387823060779252,58
"cartoon",0.0156942528366128,19
"case",0.040664316318296,62
