"word","tfidf","tf"
"to see",0.43617563419768,3659
"the museum",0.43512299909047,3193
"the prado",0.431968557216878,3351
"one of",0.338303630968522,2171
"in madrid",0.311535501292716,1877
"you can",0.299267443586789,1636
"the world",0.295658572009924,1648
"a must",0.284352016491734,1606
"collect of",0.281446890887127,1501
"the best",0.267169077797029,1345
"of art",0.266882903303752,1399
"this museum",0.248407550166769,1229
"museum is",0.248312650093253,1229
"must see",0.247978269431491,1225
"want to",0.242922717699053,1143
"el greco",0.232625952926117,1095
"museum in",0.229718569185297,1072
"to get",0.228308809388155,1061
"to visit",0.220074587251243,1000
"see the",0.219224268394399,1000
"prado is",0.218725687128377,1002
"lot of",0.21195697513053,927
"a lot",0.189405896989917,774
"visit the",0.186029829814115,768
"a great",0.184222603019807,759
"to go",0.184129203080922,759
"you will",0.182385762032553,731
"the art",0.180657799904118,731
"time to",0.180252032589397,740
"so much",0.179457390557166,725
"work of",0.173838792893115,696
"art museum",0.172381057241326,673
"prado museum",0.168874932566738,663
"at least",0.168519625380576,670
"the paint",0.168121030345296,656
"go to",0.16582664922795,629
"you want",0.164622175444997,634
"is free",0.163000111483729,641
"worth the",0.154800470374249,591
"great museum",0.154182932501144,581
"much to",0.153652182303205,579
"the collect",0.152069440967368,572
"the audio",0.150195389453607,556
"a visit",0.149051288601891,549
"the free",0.147464552415728,531
"museum and",0.146934795920258,549
"so mani",0.145001774238624,529
"the line",0.144943230707425,516
"of time",0.144710195032492,532
"a day",0.144612153177112,536
"to spend",0.144162481996476,533
"visit to",0.140534045054035,502
"get in",0.139705745497966,496
"to madrid",0.13960964492864,509
"need to",0.139504551075161,500
"for free",0.137935979144888,485
"a good",0.137827145059224,491
"goya and",0.137423982436487,502
"paint and",0.136280981387646,493
"well worth",0.135522978491291,488
"easi to",0.134256226794541,476
"is one",0.133124960921732,480
"enjoy the",0.13249371174736,472
"worth a",0.132229792379702,462
"audio guid",0.132155573505338,465
"to take",0.130327868504453,456
"as well",0.129585154259465,455
"we went",0.128509040646074,449
"a bit",0.128342739789187,442
"place to",0.125305051324558,435
"the day",0.124429487485123,426
"an art",0.124204448585297,429
"the great",0.123428944579616,421
"you need",0.122348018430275,417
"a veri",0.121932831111234,419
"can be",0.12023072022179,407
"museum with",0.118572809890649,402
"of spanish",0.117909206565184,397
"best museum",0.117612206044868,396
"dont miss",0.117018205004238,394
"in one",0.116451435148646,393
"get a",0.116281130921451,390
"abl to",0.115883457103901,385
"the work",0.115838775167087,383
"art lover",0.115790990654394,385
"worth it",0.115592510119307,391
"hour to",0.115473723226102,390
"day to",0.115296877101099,390
"art and",0.114730988553073,386
"see it",0.114642828383942,383
"make sure",0.114142151464296,378
"look at",0.113748632764832,377
"tri to",0.112877774522665,372
"a guid",0.112657378629673,367
"take a",0.112240030208269,372
"the visit",0.111664035011668,368
"the queue",0.111473311508187,361
"spanish art",0.110902508935277,357
"a littl",0.110567977860561,362
"collect is",0.11036039259226,364
"we spent",0.110289485039179,367
"the time",0.109684954251424,360
"great art",0.109133064794424,351
"is veri",0.108359821951702,353
"world class",0.10739464209571,343
"one day",0.107241655916456,347
"get the",0.107059113419832,347
"spend a",0.106162587949982,347
"see in",0.104419065953996,337
"the spanish",0.103667917960784,334
"of paint",0.103400728834702,334
"your ticket",0.102951295343553,325
"coupl of",0.100200730108207,314
"you like",0.0999346175025632,312
"museum i",0.0991965640878012,314
"a coupl",0.0984691064583002,308
"must visit",0.0984254266451964,307
"to avoid",0.0973773746336577,306
"a huge",0.097148706404802,305
"time and",0.0970998013243759,304
"of goya",0.0967803940831772,303
"you go",0.0964067340980777,299
"museum the",0.0963868423010022,304
"an hour",0.0963625796360253,300
"the cafe",0.0953907278935419,295
"was veri",0.0950264176617269,295
"the ticket",0.0950187999168042,293
"veri good",0.0948787237033989,292
"the place",0.0947945813539627,294
"plenti of",0.0942789093427197,291
"around the",0.0941372245825402,290
"and goya",0.0931272190960681,288
"the goya",0.0928387801055396,286
"the whole",0.0927147805998583,287
"garden of",0.0925695896122604,286
"visit madrid",0.0921001337077556,284
"like the",0.0918825717850118,280
"your visit",0.0918309742354185,279
"will be",0.0917384391119421,279
"free entri",0.0916368968726753,275
"even if",0.0915985799310129,283
"this place",0.0915018309585891,278
"las menina",0.0913717839912671,279
"see and",0.0912157245092889,281
"whole day",0.0908636634952662,278
"dure the",0.0905522670591781,274
"two hour",0.0904599840505458,274
"too much",0.0903547411120937,272
"after pm",0.0900152935432105,269
"sure to",0.0888686847439534,270
"museum of",0.0884503230147399,269
"the entranc",0.0882125438975711,265
"to find",0.0875803509782885,262
"a wonder",0.0875162674537851,264
"love the",0.0873650621782377,263
"el prado",0.0872751764207881,249
"interest in",0.0869117986807443,260
"you get",0.0867401419778419,263
"is huge",0.0866522438262848,263
"i went",0.086552240233949,257
"hour and",0.0864982329242445,262
"museum it",0.0862792075348671,260
"of earth",0.0860363159854127,259
"the louvr",0.085665112070862,256
"madrid and",0.0856155213230604,258
"for art",0.0847771187949908,252
"sure you",0.0847509464245618,253
"i love",0.0847236350912262,248
"avoid the",0.0845315653646739,251
"the top",0.0841933708805407,247
"your time",0.0837019110153828,248
"plan to",0.0834816340808986,246
"del prado",0.0834196465387453,238
"is worth",0.083342044306665,248
"the room",0.0830154972869676,243
"a museum",0.0826213542413669,244
"on display",0.0823972470089895,242
"an amaz",0.0821929067965234,243
"see all",0.0821741113505197,244
"work by",0.0820189157218723,239
"we visit",0.0817655770285534,242
"well as",0.08162562711271,240
"beauti museum",0.0815830293259159,238
"visit this",0.0815164219669224,241
"the build",0.0812669058111806,240
"day in",0.0810170270581493,239
"the guid",0.080989389583104,236
"museum has",0.0805161756845403,237
"in line",0.0802608862534997,232
"the main",0.0800082588726719,231
"to enjoy",0.0792230299657389,229
"art in",0.079183528463389,231
"a long",0.078915966556747,231
"miss the",0.0788407426258851,230
"museum we",0.0787667785912055,229
"can get",0.0786627469871974,230
"paint by",0.0784603687577528,226
"reina sofia",0.078257044561235,223
"greco and",0.0781684882606057,227
"museum but",0.0781551709508774,228
"ticket onlin",0.0778123851133736,227
"laid out",0.0777243529412241,227
"in advanc",0.0774188594379596,223
"way to",0.077057640833892,223
"paint of",0.0769974438278075,221
"be missed",0.076544697882513,221
"the masterpiec",0.0764830921362807,219
"the galleri",0.0764571633101367,216
"day here",0.0763590604683302,222
"get there",0.0760590894912089,217
"the highlight",0.0760209909572029,220
"full of",0.0759671546875954,217
"go back",0.0758519856844812,219
"to buy",0.0758005454046043,216
"art work",0.0757723266299831,218
"the exhibit",0.075654890323538,214
"museum was",0.0749169175260158,214
"it free",0.0748266927621451,214
"paint are",0.0748266927621451,214
"enough time",0.0744770353193314,213
"more time",0.0744770353193314,213
"mani of",0.0743876649544648,213
"paint in",0.0740459031498681,211
"hour in",0.0740384270908288,212
"veri nice",0.0739793848695305,209
"lot to",0.0739658407980746,210
"day and",0.0736010826324169,211
"you must",0.0733440462479737,209
"not miss",0.0728266701245272,206
"art the",0.0728164432028565,208
"high recommend",0.0726464185847552,206
"the first",0.0723239881730844,202
"visit it",0.0722999288287933,204
"i think",0.0721196150747745,204
"number of",0.0720359201149818,203
"the louvre",0.0716810633656469,202
"most import",0.0713565044105344,198
"art galleri",0.0712625620682066,198
"miss it",0.0709713498669771,200
"piec of",0.070795107479658,199
"and enjoy",0.0707055049752691,200
"part of",0.0703522933593035,197
"long line",0.0702622600048223,197
"the last",0.0701726968005487,197
"prado and",0.0700852241517901,196
"place is",0.0699951751189009,196
"the greatest",0.0697682556244954,191
"art is",0.0695545724809755,193
"could spend",0.0695519228696376,196
"a beauti",0.0695497527012461,194
"is also",0.0695497527012461,194
"we got",0.0695497527012461,194
"veri well",0.0694596718097939,194
"a nice",0.069372090243886,195
"my favorit",0.0693700688033025,194
"spanish artist",0.0690124911290586,193
"is well",0.0690124886312394,192
"few hour",0.0689238203976933,193
"take your",0.0689223751941947,192
"time i",0.0685919409888503,187
"not enough",0.0684789539133294,192
"gift shop",0.0683832666311073,190
"wait in",0.0681143735512533,188
"best art",0.0680233547014699,189
"in spain",0.067848526213739,186
"most famous",0.0678423270883963,188
"el bosco",0.0677123349913549,179
"guid tour",0.0675217123460664,182
"need a",0.0673922541655047,187
"visit and",0.0673922541655047,187
"ticket in",0.0672996721644982,185
"in art",0.0671206002044772,186
"enough to",0.0671176751488289,185
"madrid the",0.0670318677795929,186
"amaz museum",0.0668484783892832,185
"get to",0.0668484783892832,185
"i recommend",0.0668484783892832,185
"of madrid",0.0668484783892832,185
"buy ticket",0.0663911300480315,181
"and el",0.0662140607250329,183
"line to",0.0662140607250329,183
"be sure",0.0662083261293983,182
"to view",0.0662083261293983,182
"pm and",0.066206820175392,181
"the garden",0.0661257921364261,183
"day there",0.065940510565575,182
"one visit",0.0659324144598542,180
"earth delight",0.065578200067962,181
"free after",0.0655700572305529,180
"enjoy it",0.0654807621059983,180
"a whole",0.0654752531016308,179
"time in",0.0650196308961266,178
"our visit",0.0648335408855232,177
"full day",0.0647436860278695,177
"art lovers",0.0646543520708675,177
"artist and",0.0643779024909889,176
"great collect",0.0642890732456084,176
"amaz collect",0.064275756147407,174
"see everyth",0.0641903191072128,175
"visit in",0.0636349638646727,173
"a tour",0.0633463865980047,170
"went to",0.0631932367698309,173
"much more",0.0631782605117709,172
"take in",0.0630775973545687,171
"paint from",0.0629881815340658,171
"see everything",0.0628992995425377,171
"trip to",0.0627898388454051,169
"to walk",0.0627231118133337,171
"all day",0.0626987328927759,169
"definit worth",0.0626198295952701,170
"wonder museum",0.0624287516604126,169
"in europe",0.0624183013374441,168
"love it",0.0622377249472172,168
"the bosch",0.0622248578147778,165
"go in",0.0620388273052938,166
"a full",0.0617783357871502,167
"the artist",0.0617783357871502,167
"prado has",0.0616899498656148,167
"at pm",0.0614104525521872,159
"love art",0.0613826067007358,164
"to enter",0.0612838882452712,163
"museum you",0.0611263370017312,165
"audio guide",0.0610211126636974,164
"spanish and",0.060951148070817,165
"art i",0.0609321513056002,164
"museum this",0.0607558743532358,164
"half a",0.0605606137976392,163
"to look",0.0605439158039615,162
"guid book",0.0604384457525618,157
"well laid",0.0603854117047405,163
"huge and",0.0603653801698633,162
"a break",0.0600811903963052,161
"free admiss",0.0600482199577845,158
"and see",0.0599750522654361,160
"use the",0.0599750522654361,160
"skip the",0.0599543228237846,158
"time we",0.0598707628444973,159
"art you",0.0597964600532953,160
"and mani",0.059708015300676,160
"can see",0.0596201285628279,160
"be prepar",0.0596002081887771,159
"collect in",0.0595111857647378,159
"realli enjoy",0.0587411258096955,156
"focus on",0.0587244598369598,155
"art but",0.0586520648236951,156
"walk around",0.0586520648236951,156
"buy the",0.0585280118575874,154
"an excel",0.0584364918662204,154
"museum for",0.0582760900491842,155
"like art",0.0582290520841897,152
"to make",0.0581656215086636,154
"miss this",0.0580765339604592,154
"see a",0.0579001152746734,154
"of spain",0.0573587797269536,149
"best in",0.0572089899056834,151
"the end",0.0571879359461289,150
"the histori",0.0571879359461289,150
"the map",0.0568970828071988,149
"class museum",0.0568066830398213,149
"appreci the",0.0566548261448022,150
"i spent",0.0566548261448022,150
"museum to",0.0565392031692652,149
"audio tour",0.0565152231910431,148
"befor you",0.0565152231910431,148
"buy your",0.0563362584862043,148
"to wait",0.0562476997072918,148
"free entranc",0.0562039049673505,146
"amount of",0.0561333635748874,147
"long queue",0.0560441772272063,147
"would recommend",0.0559556080910273,147
"velasquez and",0.0558407052131425,146
"front of",0.0558027503858749,144
"was free",0.0554875956571933,146
"exhibit of",0.0554582346294909,145
"the paintings",0.0554582346294909,145
"you love",0.0553696443425761,145
"museum that",0.0553434682007898,144
"decid to",0.055322666256919,143
"select of",0.0552816714145912,145
"art this",0.0552535968369625,144
"i enjoy",0.0552535968369625,144
"spend the",0.0552535968369625,144
"a larg",0.0551395756181651,143
"histori of",0.0550490302077474,143
"the entir",0.0549877847264204,144
"you realli",0.0547812792634153,143
"of cours",0.0546640719545463,142
"see if",0.0545748089202232,142
"collect and",0.0544861857697824,142
"hour here",0.0543108228785359,142
"art collect",0.05419047927994,141
"can spend",0.05419047927994,141
"galleri in",0.05419047927994,141
"the artwork",0.0541620508808997,140
"the onli",0.0541024802361924,141
"amaz art",0.0540151075254655,141
"go there",0.0539345207413055,138
"museo del",0.0539193932478414,137
"guid and",0.0538061496396567,140
"art from",0.053685867325497,139
"of hour",0.053685867325497,139
"you visit",0.0536583102663787,138
"hour of",0.0535676334095371,138
"huge museum",0.0535676334095371,138
"mani other",0.0535091971949432,139
"give yourself",0.0534776357864635,138
"we saw",0.0534776357864635,138
"we arriv",0.0534218199993735,139
"prepar to",0.0532996380641625,138
"a ticket",0.0532450054658392,136
"in front",0.0531322488208656,135
"velazquez and",0.0531242389417422,138
"the staff",0.0530385954251979,135
"european art",0.0530220843040738,134
"of course",0.0528806535958515,136
"i visit",0.0527912908963554,136
"is realli",0.0527912908963554,136
"i like",0.0527620311599727,135
"great place",0.0527025975866597,136
"prado the",0.0527025975866597,136
"the th",0.0526263971077748,133
"special exhibit",0.0524381114316519,133
"madrid you",0.0524031196397646,135
"great work",0.0521029969253243,134
"hour there",0.0520149483831737,134
"the even",0.0519803714390843,133
"the way",0.0518909554430465,133
"look for",0.051769111660758,132
"must do",0.051769111660758,132
"by goya",0.0517141685900607,133
"to pay",0.05158954157864,132
"on sunday",0.0515324893485613,130
"museum a",0.0515007978833243,132
"be abl",0.0514670814866735,131
"visit if",0.0514127342230061,132
"free from",0.0511106403236022,131
"hard to",0.0510742030020424,130
"madrid i",0.0510232438122257,131
"line for",0.0508610253735572,129
"it can",0.05072048276388,130
"go earli",0.0505925409411953,129
"must for",0.0505925409411953,129
"prado it",0.0505925409411953,129
"an audio",0.050504453713921,129
"the el",0.0504098069632642,126
"goya black",0.0503772433264503,128
"to say",0.0503156443561673,126
"museum if",0.0502003507013411,128
"becaus it",0.0501620127031675,127
"end of",0.0501620127031675,127
"of work",0.0501620127031675,127
"the long",0.0501620127031675,127
"and get",0.0501129463207898,128
"world great",0.050037911132589,126
"from pm",0.0499884884603878,124
"the crowd",0.0499836711129624,127
"were abl",0.0499836711129624,127
"also a",0.0498955675481491,127
"madrid it",0.0498955675481491,127
"entranc is",0.0498565867336814,126
"of great",0.0498565867336814,126
"guid to",0.0498081604614868,127
"give you",0.0497670362251898,126
"goya el",0.0497670362251898,126
"temporari exhibit",0.0497670362251898,126
"back to",0.0496782108299861,126
"a big",0.0496407848537589,125
"a mustse",0.0496407848537589,125
"the finest",0.0496407848537589,125
"classic art",0.0495853554889331,123
"like to",0.0494608995373823,125
"the layout",0.0493720597472121,125
"time for",0.0493720597472121,125
"are veri",0.0491540667632431,124
"veri long",0.0491540667632431,124
"buy a",0.0491176528238776,123
"it will",0.0491176528238776,123
"of paintings",0.0490652123410832,124
"black paint",0.0489770832692344,124
"on line",0.0489014583382762,122
"i found",0.0487576629990234,123
"spanish artists",0.0486695251447842,123
"come back",0.0486279249476708,122
"and veri",0.0484494060172687,122
"and go",0.0484094177980553,121
"famous paint",0.0484094177980553,121
"th centuri",0.0482830892848187,120
"prado was",0.0482293353989194,121
"for us",0.0481910402197083,120
"time the",0.0481404355986277,121
"and well",0.0480522797384386,121
"a short",0.0480093399650135,120
"goya velasquez",0.0477425807589697,120
"art museums",0.0476989634611055,119
"have time",0.0476989634611055,119
"hieronymus bosch",0.0476989634611055,119
"ahead of",0.0476618291531608,118
"excel museum",0.0476092621319717,119
"pm to",0.0475955857651323,115
"free for",0.0475370098949245,117
"the afternoon",0.0475203307808246,119
"highlight of",0.0474321563014166,119
"i can",0.0474321563014166,119
"art histori",0.0473500998109806,117
"check out",0.0472981318353819,118
"go for",0.0472981318353819,118
"must go",0.0472246578658916,116
"art it",0.04720918429893,118
"the price",0.04720918429893,118
"queue for",0.0471665576602046,117
"art we",0.0469862642142156,117
"you see",0.0469453981031945,116
"madrid we",0.0468973002096584,117
"varieti of",0.0468973002096584,117
"veri interest",0.0468540015403954,116
"easili spend",0.0467216697592982,117
"make it",0.0465846722123847,116
"and take",0.0464964685839348,116
"las meninas",0.0464500877340127,115
"find the",0.0464104396268245,114
"see so",0.0464090286328464,116
"is just",0.0463602917172951,115
"mona lisa",0.0463539617886506,112
"the cafeteria",0.046318112205311,114
"of el",0.0462712938979513,115
"view the",0.0460957073712586,113
"spent a",0.0460956369582112,115
"see this",0.0460461739276299,114
"you may",0.0459677330348072,112
"world the",0.0459571587458404,114
"the tour",0.0459119527742387,109
"i got",0.0459118129754399,113
"to queue",0.0459118129754399,113
"a map",0.0458689348205778,114
"art that",0.0457814882087229,114
"plan your",0.0457802080012078,112
"enter the",0.0456422601212472,113
"is amazing",0.0456422601212472,113
"seem to",0.0456422601212472,113
"the reina",0.0455962213877574,112
"a half",0.0455055137455687,112
"bosch exhibit",0.0455037258045258,109
"of european",0.0454639347321434,111
"line and",0.0454156421304067,112
"this one",0.0454156421304067,112
"visit we",0.0452798541434487,111
"list of",0.0452383463148645,112
"to appreci",0.0452383463148645,112
"the major",0.0449627042869005,110
"take the",0.0449218895642637,111
"velazquez goya",0.0449218895642637,111
"we took",0.0449218895642637,111
"will need",0.0449218895642637,111
"fan of",0.0448290387538966,109
"is great",0.0447820031486903,110
"madrid this",0.0447820031486903,110
"in advance",0.0446447647369696,109
"tour guid",0.0446447647369696,109
"visit i",0.0445539524297469,109
"hour or",0.0445171878564775,110
"goya velazquez",0.0444640009156388,109
"we enjoy",0.0442866160559553,109
"beauti and",0.0441991517161993,109
"nice museum",0.0441909626947299,107
"it worth",0.0441452005725932,108
"a fantast",0.0440560743017338,108
"entranc fee",0.0440560743017338,108
"paint that",0.0440560743017338,108
"is quit",0.0439677849096232,108
"will not",0.0439677849096232,108
"make the",0.0439156020957533,107
"just a",0.0438255947417958,107
"unless you",0.0438255947417958,107
"was worth",0.0438255947417958,107
"this time",0.0437381402529534,105
"see some",0.0437364487154396,107
"paint were",0.043686135159829,106
"and velasquez",0.0436481476878289,107
"make a",0.0436481476878289,107
