"","x"
"1","rn468827358"
"2","rn468510040"
"3","rn467892725"
"4","rn467299728"
"5","rn466632068"
"6","rn466059375"
"7","rn464742115"
"8","rn463242309"
"9","rn462906254"
"10","rn462514749"
"11","rn461501241"
"12","rn461460295"
"13","rn460938418"
"14","rn458647821"
"15","rn456525696"
"16","rn455972427"
"17","rn455049737"
"18","rn453673438"
"19","rn453520973"
"20","rn451793319"
"21","rn450824810"
"22","rn450344124"
"23","rn450026101"
"24","rn450016976"
"25","rn449384902"
"26","rn448263044"
"27","rn447629714"
"28","rn447312849"
"29","rn445862403"
"30","rn445303383"
"31","rn444304367"
"32","rn442644029"
"33","rn441212904"
"34","rn439109312"
"35","rn439086341"
"36","rn438302255"
"37","rn438169281"
"38","rn436858344"
"39","rn436601307"
"40","rn436223578"
"41","rn435777676"
"42","rn435648823"
"43","rn435457750"
"44","rn435300037"
"45","rn434599537"
"46","rn433157651"
"47","rn433022219"
"48","rn432965137"
"49","rn432952894"
"50","rn431800893"
"51","rn431026284"
"52","rn429414242"
"53","rn428548939"
"54","rn428012388"
"55","rn427685726"
"56","rn427594963"
"57","rn427547967"
"58","rn427424865"
"59","rn426456602"
"60","rn425959643"
"61","rn425586779"
"62","rn423904798"
"63","rn423608439"
"64","rn422906420"
"65","rn422847067"
"66","rn422496520"
"67","rn422304907"
"68","rn421669660"
"69","rn420957285"
"70","rn420932199"
"71","rn420577095"
"72","rn419660420"
"73","rn419282695"
"74","rn417374293"
"75","rn417258817"
"76","rn416823101"
"77","rn413280566"
"78","rn412620640"
"79","rn410950074"
"80","rn410311438"
"81","rn407633885"
"82","rn406812248"
"83","rn406296299"
"84","rn405762586"
"85","rn404962314"
"86","rn403824100"
"87","rn403356369"
"88","rn403328423"
"89","rn403053140"
"90","rn402973031"
"91","rn401522503"
"92","rn401091727"
"93","rn400813475"
"94","rn400789768"
"95","rn399451882"
"96","rn397921000"
"97","rn396697460"
"98","rn396367403"
"99","rn395777058"
"100","rn395590567"
"101","rn395168636"
"102","rn393460577"
"103","rn392745170"
"104","rn391751988"
"105","rn391454351"
"106","rn391013407"
"107","rn390773972"
"108","rn390406205"
"109","rn388773771"
"110","rn388300030"
"111","rn387558290"
"112","rn386901918"
"113","rn386883718"
"114","rn386726182"
"115","rn385649112"
"116","rn385633178"
"117","rn385032058"
"118","rn385004497"
"119","rn384805775"
"120","rn384672657"
"121","rn384013983"
"122","rn382927905"
"123","rn382833856"
"124","rn382559444"
"125","rn381914652"
"126","rn381866323"
"127","rn379905409"
"128","rn379553997"
"129","rn379192710"
"130","rn378490080"
"131","rn377613461"
"132","rn376803820"
"133","rn376561768"
"134","rn375558187"
"135","rn375477726"
"136","rn375449320"
"137","rn375253840"
"138","rn375019058"
"139","rn374800038"
"140","rn374103623"
"141","rn374102907"
"142","rn373248680"
"143","rn372681967"
"144","rn372219518"
"145","rn372171179"
"146","rn371035893"
"147","rn370203095"
"148","rn370173180"
"149","rn370157895"
"150","rn368897895"
"151","rn368730992"
"152","rn368360401"
"153","rn367332816"
"154","rn367235556"
"155","rn366051756"
"156","rn365775501"
"157","rn365543208"
"158","rn364314734"
"159","rn363077018"
"160","rn362649701"
"161","rn362021848"
"162","rn361980710"
"163","rn361681098"
"164","rn361669521"
"165","rn361198651"
"166","rn360382835"
"167","rn359065365"
"168","rn358099369"
"169","rn358069950"
"170","rn357946687"
"171","rn357720555"
"172","rn357629897"
"173","rn357628926"
"174","rn357426441"
"175","rn356985762"
"176","rn355081449"
"177","rn354954733"
"178","rn354090639"
"179","rn353362780"
"180","rn352910440"
"181","rn352444643"
"182","rn352172550"
"183","rn352034966"
"184","rn349657393"
"185","rn349172376"
"186","rn348358264"
"187","rn348298520"
"188","rn347926064"
"189","rn347718942"
"190","rn347514216"
"191","rn342440656"
"192","rn342431117"
"193","rn341783115"
"194","rn341651354"
"195","rn341611426"
"196","rn341102964"
"197","rn340991335"
"198","rn340488418"
"199","rn340283910"
"200","rn338906983"
"201","rn338816186"
"202","rn337048249"
"203","rn336450736"
"204","rn336224919"
"205","rn333575727"
"206","rn329972722"
"207","rn328932475"
"208","rn328575581"
