"","x"
"1","positive"
"2","positive"
"3","positive"
"4","negative"
"5","positive"
"6","positive"
"7","positive"
"8","negative"
"9","negative"
"10","positive"
"11","negative"
"12","positive"
"13","negative"
"14","positive"
"15","negative"
"16","positive"
"17","negative"
"18","positive"
"19","negative"
"20","positive"
"21","negative"
"22","positive"
"23","positive"
"24","positive"
"25","positive"
"26","positive"
"27","positive"
"28","positive"
"29","negative"
"30","positive"
"31","negative"
"32","negative"
"33","positive"
"34","positive"
"35","positive"
"36","positive"
"37","positive"
"38","positive"
"39","positive"
"40","positive"
"41","negative"
"42","negative"
"43","positive"
"44","positive"
"45","positive"
"46","positive"
"47","negative"
"48","positive"
"49","positive"
"50","positive"
"51","positive"
"52","positive"
"53","positive"
"54","positive"
"55","positive"
"56","positive"
"57","positive"
"58","positive"
"59","positive"
"60","positive"
"61","positive"
"62","negative"
"63","positive"
"64","positive"
"65","positive"
"66","positive"
"67","positive"
"68","positive"
"69","negative"
"70","positive"
"71","positive"
"72","positive"
"73","positive"
"74","negative"
"75","positive"
"76","negative"
"77","positive"
"78","positive"
"79","positive"
"80","positive"
"81","positive"
"82","positive"
"83","positive"
"84","positive"
"85","positive"
"86","positive"
"87","positive"
"88","negative"
"89","negative"
"90","positive"
"91","positive"
"92","positive"
"93","positive"
"94","positive"
"95","positive"
"96","negative"
"97","positive"
"98","positive"
"99","negative"
"100","positive"
"101","negative"
"102","negative"
"103","positive"
"104","negative"
"105","positive"
"106","negative"
"107","positive"
"108","positive"
"109","negative"
"110","positive"
"111","positive"
"112","positive"
"113","negative"
"114","positive"
"115","positive"
"116","positive"
"117","positive"
"118","positive"
"119","positive"
"120","positive"
"121","positive"
"122","positive"
"123","positive"
"124","positive"
"125","positive"
"126","positive"
"127","positive"
"128","positive"
"129","positive"
"130","positive"
"131","positive"
"132","positive"
"133","positive"
"134","positive"
"135","positive"
"136","positive"
"137","positive"
"138","negative"
"139","negative"
"140","positive"
"141","positive"
"142","positive"
"143","negative"
"144","positive"
"145","negative"
"146","negative"
"147","positive"
"148","positive"
"149","negative"
"150","positive"
"151","positive"
"152","negative"
"153","positive"
"154","negative"
"155","positive"
"156","negative"
"157","positive"
"158","positive"
"159","negative"
"160","positive"
"161","positive"
"162","positive"
"163","negative"
"164","positive"
"165","positive"
"166","negative"
