"","x"
"1","rn469620678"
"2","rn469119544"
"3","rn468827358"
"4","rn468643909"
"5","rn467726964"
"6","rn467685870"
"7","rn467665370"
"8","rn467299728"
"9","rn467082686"
"10","rn466632068"
"11","rn465924919"
"12","rn465572937"
"13","rn465445557"
"14","rn464520257"
"15","rn463242309"
"16","rn462292195"
"17","rn461501241"
"18","rn460963557"
"19","rn460840453"
"20","rn460744014"
"21","rn459961582"
"22","rn459243402"
"23","rn458757462"
"24","rn458647821"
"25","rn453673438"
"26","rn450444911"
"27","rn446381907"
"28","rn445862403"
"29","rn445303383"
"30","rn444304367"
"31","rn443128951"
"32","rn442644029"
"33","rn442248735"
"34","rn442004007"
"35","rn441428897"
"36","rn440206298"
"37","rn439086341"
"38","rn437875392"
"39","rn436185092"
"40","rn435907757"
"41","rn435852865"
"42","rn435648823"
"43","rn435182726"
"44","rn434892178"
"45","rn434837426"
"46","rn434825235"
"47","rn434599537"
"48","rn433514850"
"49","rn432880482"
"50","rn432679458"
"51","rn432499515"
"52","rn431800893"
"53","rn431141210"
"54","rn431026284"
"55","rn430686502"
"56","rn429755392"
"57","rn429233237"
"58","rn429129817"
"59","rn429000406"
"60","rn428461230"
"61","rn427685726"
"62","rn427274605"
"63","rn426958533"
"64","rn426750033"
"65","rn426193573"
"66","rn425329776"
"67","rn425075556"
"68","rn423252536"
"69","rn423072840"
"70","rn423030853"
"71","rn422906420"
"72","rn422774958"
"73","rn420577095"
"74","rn420516382"
"75","rn418102434"
"76","rn417028036"
"77","rn416823101"
"78","rn416082811"
"79","rn415152939"
"80","rn414639318"
"81","rn414104589"
"82","rn412620640"
"83","rn410252995"
"84","rn409464585"
"85","rn408722209"
"86","rn408706017"
"87","rn407864839"
"88","rn406492420"
"89","rn406296299"
"90","rn405959694"
"91","rn405762586"
"92","rn403824100"
"93","rn403236309"
"94","rn403053140"
"95","rn402992865"
"96","rn402880530"
"97","rn402819099"
"98","rn401924347"
"99","rn401507151"
"100","rn399350695"
"101","rn398846971"
"102","rn398428436"
"103","rn397239160"
"104","rn395180046"
"105","rn395168636"
"106","rn393300457"
"107","rn393283277"
"108","rn393114034"
"109","rn392679800"
"110","rn391855069"
"111","rn391751988"
"112","rn391013407"
"113","rn389511709"
"114","rn389209947"
"115","rn389196070"
"116","rn388707374"
"117","rn387558290"
"118","rn387526104"
"119","rn387434911"
"120","rn385041185"
"121","rn384672657"
"122","rn384300520"
"123","rn382833856"
"124","rn381219897"
"125","rn380960581"
"126","rn379911279"
"127","rn379654070"
"128","rn378321250"
"129","rn377423808"
"130","rn376359925"
"131","rn375558187"
"132","rn375438731"
"133","rn375077739"
"134","rn374800038"
"135","rn374601375"
"136","rn374317582"
"137","rn374234655"
"138","rn374150623"
"139","rn374102907"
"140","rn373504584"
"141","rn373358564"
"142","rn371035893"
"143","rn370499514"
"144","rn370203095"
"145","rn370156644"
"146","rn369387915"
"147","rn369197510"
"148","rn368730992"
"149","rn368360401"
"150","rn368221831"
"151","rn367765252"
"152","rn366986034"
"153","rn366051756"
"154","rn365765731"
"155","rn363747714"
"156","rn363077018"
"157","rn361980710"
"158","rn361768401"
"159","rn361669521"
"160","rn361283086"
"161","rn361198651"
"162","rn360644554"
"163","rn359325791"
"164","rn358881997"
"165","rn358796108"
"166","rn358069950"
"167","rn358068791"
"168","rn357133551"
"169","rn357094149"
"170","rn356616081"
"171","rn356441368"
"172","rn355081449"
"173","rn354289575"
"174","rn353362780"
"175","rn352995138"
"176","rn352172550"
"177","rn352095519"
"178","rn352034966"
"179","rn351914476"
"180","rn349657911"
"181","rn349452530"
"182","rn349019791"
"183","rn348989049"
"184","rn347718942"
"185","rn347514216"
"186","rn347423661"
"187","rn347148516"
"188","rn346760298"
"189","rn346661661"
"190","rn346588797"
"191","rn346368483"
"192","rn345955751"
"193","rn345594639"
"194","rn345318844"
"195","rn345163041"
"196","rn345097961"
"197","rn344987497"
"198","rn344762222"
"199","rn344169976"
"200","rn343328517"
"201","rn343164754"
"202","rn340911281"
"203","rn338956188"
"204","rn337680145"
"205","rn337353329"
"206","rn336398126"
"207","rn335510528"
"208","rn333545385"
"209","rn332577516"
"210","rn332182977"
"211","rn332170300"
"212","rn331466445"
"213","rn331348624"
"214","rn330931339"
"215","rn330624638"
"216","rn329100431"
"217","rn328263328"
"218","rn328069881"
"219","rn328040575"
"220","rn327992430"
"221","rn326734457"
"222","rn326108174"
"223","rn325946365"
"224","rn325885140"
"225","rn325842803"
"226","rn325784718"
"227","rn325275937"
"228","rn324991341"
"229","rn324509323"
"230","rn323023451"
"231","rn322998109"
"232","rn322636825"
"233","rn322176574"
"234","rn321351963"
"235","rn321208932"
"236","rn321083230"
"237","rn320638379"
"238","rn320597565"
"239","rn319657634"
"240","rn319636919"
"241","rn317988502"
"242","rn317792134"
"243","rn317568897"
"244","rn317392870"
"245","rn317285927"
"246","rn316987389"
"247","rn316923997"
"248","rn316837500"
"249","rn315672738"
"250","rn315494688"
"251","rn315355000"
"252","rn315091328"
"253","rn314682461"
"254","rn314436800"
"255","rn313963388"
"256","rn313695292"
"257","rn313473688"
"258","rn313338540"
"259","rn313299053"
"260","rn313225616"
"261","rn312358112"
"262","rn311216496"
"263","rn310854927"
"264","rn310717792"
"265","rn310339455"
"266","rn309716870"
"267","rn308812760"
"268","rn307700792"
"269","rn307415151"
"270","rn306098904"
"271","rn305838132"
"272","rn304331671"
"273","rn303899791"
"274","rn303020272"
"275","rn303015512"
"276","rn303002835"
"277","rn302586508"
"278","rn301923492"
"279","rn301272072"
"280","rn301185756"
"281","rn301146540"
"282","rn300289359"
"283","rn300215241"
"284","rn299769061"
"285","rn299618915"
"286","rn299383415"
"287","rn297242746"
"288","rn297129794"
"289","rn296445036"
"290","rn296413134"
"291","rn295384938"
"292","rn295148229"
"293","rn294966184"
"294","rn294308024"
"295","rn292639772"
"296","rn291755922"
"297","rn291592889"
"298","rn289254295"
"299","rn288447520"
"300","rn287598878"
"301","rn286316459"
"302","rn286184919"
"303","rn285827368"
"304","rn285664610"
"305","rn285335821"
"306","rn285319737"
"307","rn284289795"
"308","rn284155199"
"309","rn283817875"
"310","rn283164568"
"311","rn283046113"
"312","rn282081575"
"313","rn281315076"
"314","rn280785389"
"315","rn280771289"
"316","rn280456913"
"317","rn280432547"
"318","rn280350488"
"319","rn280276297"
"320","rn279939637"
"321","rn279924315"
"322","rn278857703"
"323","rn278520425"
"324","rn278029775"
"325","rn278005730"
"326","rn277957397"
"327","rn277715475"
"328","rn277542865"
"329","rn277383914"
"330","rn275798369"
"331","rn274075890"
"332","rn273813405"
"333","rn273255854"
"334","rn273145395"
"335","rn272980837"
"336","rn272800354"
"337","rn272152185"
"338","rn271875565"
"339","rn271089223"
"340","rn269983425"
"341","rn267973068"
"342","rn267028713"
"343","rn266676301"
"344","rn266492431"
"345","rn263586236"
"346","rn262872682"
"347","rn262556678"
"348","rn262326168"
"349","rn262093992"
"350","rn261302688"
"351","rn261068954"
"352","rn261041929"
"353","rn260679481"
"354","rn259806930"
"355","rn259364273"
"356","rn259152600"
"357","rn258546683"
"358","rn257440522"
"359","rn257074071"
"360","rn256308520"
"361","rn255575225"
"362","rn254181287"
"363","rn251281958"
"364","rn251136953"
"365","rn250565870"
"366","rn249768357"
"367","rn248847559"
"368","rn248788413"
"369","rn248509634"
"370","rn247453049"
"371","rn247212657"
"372","rn246906992"
"373","rn245244719"
"374","rn244967093"
"375","rn243370571"
"376","rn241748725"
"377","rn241513844"
"378","rn240335655"
"379","rn239764283"
"380","rn239081772"
"381","rn238941379"
"382","rn238904547"
"383","rn238869093"
"384","rn238642982"
"385","rn238467815"
"386","rn238362174"
"387","rn237159559"
"388","rn237009775"
"389","rn236810918"
"390","rn234087572"
"391","rn233514452"
"392","rn233299402"
"393","rn232275118"
"394","rn231004385"
"395","rn228283018"
"396","rn226603229"
"397","rn225890530"
"398","rn224890854"
"399","rn224407473"
"400","rn223605087"
"401","rn223015099"
"402","rn222019088"
"403","rn220831667"
"404","rn220786367"
"405","rn219772436"
"406","rn217130503"
"407","rn216353731"
"408","rn211680114"
"409","rn211599628"
"410","rn210459469"
"411","rn210364787"
"412","rn210197559"
"413","rn209306075"
"414","rn209290350"
"415","rn209101449"
"416","rn208844408"
"417","rn208824834"
