"id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion","SentimentValue","SentimentCore","pos","neg"
"rn469620678","humanmonkey","Abu Dhabi, United Arab Emirates","86 reviews","Nice space, confused staff?",4,"2017-03-23","This is a good gallery and I loved the range and mix from old to new. There were signs saying photos allowed but no flash, but that seemed to change from room to room with the staff, regardless of the signs behind them. Small issue really, the place has a great collection and I really enjoyed it.",1,"Nice space, confused staff?. This is a good gallery and I loved the range and mix from old to new. There were signs saying photos allowed but no flash, but that seemed to change from room to room with the staff, regardless of the signs behind them. Small issue really, the place has a great collection and I really enjoyed it.","positive","positive",4,2
"rn469555981","ralphc26","Beaufort, France","5 reviews","surprisingly good",5,"2017-03-23","I went to this art museum, simply because the queue at Prado was far too long to wait in the cold wind. I was nicely surprised by this new &amp; well organised art museum. One art fan was ranting about all the small school children in groups , who obviously made some noise asking enthusiastic questions. Each group had noses painted different colours, as did their teachers &amp; guide! Great to see such enthusiasm in these kids at art. The guides were exceptionally good at explaining to kids &amp; to this curious 60 year old man! Picasso's Guernika has a room to itself with prep sketches nearby. Well worth a visit if you don't mind well behaved groups of school children...",1,"surprisingly good. I went to this art museum, simply because the queue at Prado was far too long to wait in the cold wind. I was nicely surprised by this new &amp; well organised art museum. One art fan was ranting about all the small school children in groups , who obviously made some noise asking enthusiastic questions. Each group had noses painted different colours, as did their teachers &amp; guide! Great to see such enthusiasm in these kids at art. The guides were exceptionally good at explaining to kids &amp; to this curious 60 year old man! Picasso's Guernika has a room to itself with prep sketches nearby. Well worth a visit if you don't mind well behaved groups of school children...","positive","positive",7,3
"rn469177563","Denis W","Charnay, France","14 reviews","the museum experience one can wish for",4,"2017-03-21","Except for very few pieces (incl. Guernica unfortunately), one can take photos, get really close to works to study brush strokes, etc., and most works are not even protected by glass so no funny reflections, etc. hence this is a pleasure to visit for the art lover. Several masterpieces but a manageable size so the viewer is not overwhelmed. Really worth a visit. Last 2 hours are free but the length of the queue is pretty long AND the entrance fee is much lower than the Prado for a much better experience, so totally worth it.",1,"the museum experience one can wish for. Except for very few pieces (incl. Guernica unfortunately), one can take photos, get really close to works to study brush strokes, etc., and most works are not even protected by glass so no funny reflections, etc. hence this is a pleasure to visit for the art lover. Several masterpieces but a manageable size so the viewer is not overwhelmed. Really worth a visit. Last 2 hours are free but the length of the queue is pretty long AND the entrance fee is much lower than the Prado for a much better experience, so totally worth it.","positive","negative",1,2
"rn469119544","rtaba285","Philadelphia, Pennsylvania","12 reviews","Fine huge art complex",5,"2017-03-21","We were only able to see a bit of this museum. For seniors, this museum was free, at least on the day we visited. It is a vast museum. We especially wanted to see Picasso's Guernica. This museum focusing on the 20th century has two interconnected buildings.",1,"Fine huge art complex. We were only able to see a bit of this museum. For seniors, this museum was free, at least on the day we visited. It is a vast museum. We especially wanted to see Picasso's Guernica. This museum focusing on the 20th century has two interconnected buildings.","positive","negative",1,3
"rn468988566","Thomas H","","8 reviews","Enjoying art",5,"2017-03-20","Walked around enjoying the abstract nature of the work. Museum was well organized and the staff were friendly and helpful. I would like to visit again when I have a day to spend",1,"Enjoying art. Walked around enjoying the abstract nature of the work. Museum was well organized and the staff were friendly and helpful. I would like to visit again when I have a day to spend","positive","positive",3,1
"rn468919841","Barbara S","Jerusalem","42 reviews","Stunning Museum, well thought through",5,"2017-03-20","I studied Art History, and I can certainly say , I learnt a lot from the Museum. I loved the idea of themes in rooms not having everything just in chronological order. So there is some film and photographs and paintings of course. But the Museum was taking a view and perspective.I read all the notes and learnt a lot. I hate to admit of the three biggies this is my favorite. I loved the Woman in blue of Picasso. And I stood in front of the Guernica and tear rolled down my cheeks it was so moving. I loved the courtyard. And my suggestion is to have a cafe in the garden like at the V&amp; A in London. I loved the fact that it gave you an authentic look of Spanish art, and movements and influences.",1,"Stunning Museum, well thought through. I studied Art History, and I can certainly say , I learnt a lot from the Museum. I loved the idea of themes in rooms not having everything just in chronological order. So there is some film and photographs and paintings of course. But the Museum was taking a view and perspective.I read all the notes and learnt a lot. I hate to admit of the three biggies this is my favorite. I loved the Woman in blue of Picasso. And I stood in front of the Guernica and tear rolled down my cheeks it was so moving. I loved the courtyard. And my suggestion is to have a cafe in the garden like at the V&amp; A in London. I loved the fact that it gave you an authentic look of Spanish art, and movements and influences.","positive","positive",9,1
"rn468882739","Carol G","","10 reviews","Great Museum!",5,"2017-03-20","While the Prado is the more prestigious museum, this is the more interesting. We got tired of looking at all the religious paintings (of the Prado) and found this more to our taste.",1,"Great Museum!. While the Prado is the more prestigious museum, this is the more interesting. We got tired of looking at all the religious paintings (of the Prado) and found this more to our taste.","positive","positive",2,1
"rn468827358","Eric B","","49 reviews","modern art at it best",5,"2017-03-20","like in a fairy tale - how to get together Bunell , Dali,Picasso, Miro , just amazing museum and can beat any modern art museum in the world - just a treat to be there",1,"modern art at it best. like in a fairy tale - how to get together Bunell , Dali,Picasso, Miro , just amazing museum and can beat any modern art museum in the world - just a treat to be there","positive","positive",2,0
"rn468643909","Kildonan_kid","Alberta","21 reviews","Great Museum",5,"2017-03-19","Would definitely recommend. Picasso's Guernica is worth the price of admission, although the crowds in that section were very large. A good collection of Dali, Miro and Picasso, as well as a great breadth of Spanish modern and contemporary artists. Hope to visit again, to see their temporary exhibits.",1,"Great Museum. Would definitely recommend. Picasso's Guernica is worth the price of admission, although the crowds in that section were very large. A good collection of Dali, Miro and Picasso, as well as a great breadth of Spanish modern and contemporary artists. Hope to visit again, to see their temporary exhibits.","positive","positive",4,0
"rn468513927","atxgrl79","texas","73 reviews","Free Entry",4,"2017-03-19","We attended Sofia Arts Center on an evening when they had free entry. I enjoyed the displays and the dining area across from the center. If you are trying to decide between Sofia and Prado...go with Prado of course.",2,"Free Entry. We attended Sofia Arts Center on an evening when they had free entry. I enjoyed the displays and the dining area across from the center. If you are trying to decide between Sofia and Prado...go with Prado of course.","positive","negative",1,2
"rn468510040","Allison P","","6 reviews","Nice museum",4,"2017-03-19","I recommend going to this museum at the hours that it is free. I went on sunday after 13:00. Some of the rooms will be closed during these hours, but the remaining collection is still worth paying a visit. I particularly enjoyed the Dalí collection.",2,"Nice museum. I recommend going to this museum at the hours that it is free. I went on sunday after 13:00. Some of the rooms will be closed during these hours, but the remaining collection is still worth paying a visit. I particularly enjoyed the Dalí collection.","positive","positive",3,1
"rn468485705","mjm814","New Rochelle, New York","233 reviews","Worth a trip to Spain",5,"2017-03-19","Seeing Picasso's Guernica was amazing. All of the modern art is great. You can take pictures except for the Guernica. <br><br>It is free on Thursday evening",2,"Worth a trip to Spain. Seeing Picasso's Guernica was amazing. All of the modern art is great. You can take pictures except for the Guernica.   It is free on Thursday evening","positive","positive",3,0
"rn468305926","Ron J","Blairsville, GA","32 reviews","Free on Sunday...well worth the ticket price any day",5,"2017-03-18","Having been a student of history and politics, this was the one place in Madrid I insisted on visiting. i wanted, specifically, to see Picasso's El Guernica. This large national treasure was given a hall to itself. Up close and ""in person"" it is overwhelming. Visitors enter the room in awe and reverence. Picasso's sketches (on a wall opposite the painting) show the development of the work over the months which he took to paint it.<br>But, fortunately, I didn't stop with El Guernica. Reina Sophia's collection encompasses far more worth seeing. While the primary objective is to feature Spanish artists {Picasso, Miro, Dali, etc.) I was surprised by the spectrum of other artists in their collection. From all I have read, the museum's temporary exhibits are outstanding. The current temp exhibit when I visited was a large collection of works by American artist Bruce Conner. I was fascinated by several of his works, but, remain uncertain of my overall impression of the genre of works he has produced.<br><br>Reina Sophia is a must when visiting Madrid.",2,"Free on Sunday...well worth the ticket price any day. Having been a student of history and politics, this was the one place in Madrid I insisted on visiting. i wanted, specifically, to see Picasso's El Guernica. This large national treasure was given a hall to itself. Up close and  in person  it is overwhelming. Visitors enter the room in awe and reverence. Picasso's sketches (on a wall opposite the painting) show the development of the work over the months which he took to paint it. But, fortunately, I didn't stop with El Guernica. Reina Sophia's collection encompasses far more worth seeing. While the primary objective is to feature Spanish artists {Picasso, Miro, Dali, etc.) I was surprised by the spectrum of other artists in their collection. From all I have read, the museum's temporary exhibits are outstanding. The current temp exhibit when I visited was a large collection of works by American artist Bruce Conner. I was fascinated by several of his works, but, remain uncertain of my overall impression of the genre of works he has produced.  Reina Sophia is a must when visiting Madrid.","positive","neutral",6,6
"rn468249225","Andrewwong91","Liverpool, England, United Kingdom","38 reviews","Excellent visit",5,"2017-03-18","Excellent visit, loved the modern art, very easy to look at, the masterpieces from Dali, Picasso definietly a must see when visiting the city",2,"Excellent visit. Excellent visit, loved the modern art, very easy to look at, the masterpieces from Dali, Picasso definietly a must see when visiting the city","positive","positive",2,0
"rn468020257","Moshe B","","3 reviews","Amazing arts experience",5,"2017-03-17","I knew that the Reina Sofia is among the best of its kind in Europe , but in my first visit a I was really amazed , by richness , the variety , the well explained background of the arts , altogether creates a fantastic arts experience",2,"Amazing arts experience. I knew that the Reina Sofia is among the best of its kind in Europe , but in my first visit a I was really amazed , by richness , the variety , the well explained background of the arts , altogether creates a fantastic arts experience","positive","positive",3,0
"rn467892725","Cheri G","","29 reviews","Always a great experience!",5,"2017-03-16","Even having two halls closed because they were being prepared for coming shows, the visit was great!<br>The quality of the works of art, the presentation and the organization with supplementary information was excellent!",2,"Always a great experience!. Even having two halls closed because they were being prepared for coming shows, the visit was great! The quality of the works of art, the presentation and the organization with supplementary information was excellent!","positive","positive",5,0
"rn467823880","Patrick V","Schoten, Belgium","84 reviews","wonderfull overview of Spanish artists 20th century",5,"2017-03-16","This museum is mainly 20th century Spanish art. But what a wealth this country had to offer, with many influential artists.<br>The museum is well laid out, and gives you time for insight and admiration.",2,"wonderfull overview of Spanish artists 20th century. This museum is mainly 20th century Spanish art. But what a wealth this country had to offer, with many influential artists. The museum is well laid out, and gives you time for insight and admiration.","positive","positive",2,0
"rn467726964","Francesco M","","13 reviews","Worth to visit during free tickets time",4,"2017-03-16","This museum is not as great as Prado but at least when tickets are free you must visit it. I have to say that Guernica and Dalí artworks are probably worth the ticket any way.",2,"Worth to visit during free tickets time. This museum is not as great as Prado but at least when tickets are free you must visit it. I have to say that Guernica and Dalí artworks are probably worth the ticket any way.","positive","negative",1,2
"rn467685870","Vaganbond2017","New Milford, New Jersey","10 reviews","Lovely museum!",4,"2017-03-15","We came to see the Guernica painting and saw a lot of other lovely paintings and sculptures. A treat for the eyes.",2,"Lovely museum!. We came to see the Guernica painting and saw a lot of other lovely paintings and sculptures. A treat for the eyes.","positive","positive",3,0
"rn467665370","Mario D","","21 reviews","Modern in old and new",5,"2017-03-15","If El Prado musuan holds the greats of past times, the RSMAM hold the new painters and the latest of the great spanish artist.<br>The great number of art in the collection belong to artist from the last part of the XIX century and the first part of the XX century.<br>It is the house of one of the most iconic pieces of art of the last century: El Guernica by Pablo Picasso, a most excellent and renoum piece of art. <br>But ther are many more modern art pieces from artist such as Dali, Gris, Miro, etc.... as well as beeing one of the forward centers for exposition and development of new artist!",3,"Modern in old and new. If El Prado musuan holds the greats of past times, the RSMAM hold the new painters and the latest of the great spanish artist. The great number of art in the collection belong to artist from the last part of the XIX century and the first part of the XX century. It is the house of one of the most iconic pieces of art of the last century: El Guernica by Pablo Picasso, a most excellent and renoum piece of art.  But ther are many more modern art pieces from artist such as Dali, Gris, Miro, etc.... as well as beeing one of the forward centers for exposition and development of new artist!","positive","positive",4,1
"rn467552635","aferry","new orleans","84 reviews","Guernica et al",4,"2017-03-15","I went to see solely the Guernica, but I saw also about 30 other Picasso works plus many other great works by Solano, Dali, Klee, etc. This is a quite worthwhile museum close to the Prado and Thyssen-Bornemisza. Enjoy.",3,"Guernica et al. I went to see solely the Guernica, but I saw also about 30 other Picasso works plus many other great works by Solano, Dali, Klee, etc. This is a quite worthwhile museum close to the Prado and Thyssen-Bornemisza. Enjoy.","positive","neutral",1,1
"rn467299728","Cyngtz","","144 reviews","one of the best",5,"2017-03-14","There are quite a few museum around Madrid, but this one is surely not to be missed. The area where it is located is also very pretty, the big plaza, you can stop by to get a bite to eat and a caña, or some dessert, before or after your visit.",3,"one of the best. There are quite a few museum around Madrid, but this one is surely not to be missed. The area where it is located is also very pretty, the big plaza, you can stop by to get a bite to eat and a caña, or some dessert, before or after your visit.","positive","negative",1,2
