"word","tfidf","tf"
"modern art",0.462170967140902,55
"the museum",0.418771672016834,40
"this museum",0.401813735844404,40
"to see",0.401676621047857,36
"the art",0.345024204104409,27
"reina sofia",0.318841980363653,22
"picasso guernica",0.312026363620972,25
"lot of",0.283820277796074,18
"of art",0.283820277796074,18
"go to",0.277251802010843,16
"not worth",0.268295974578839,16
"in madrid",0.268052484585181,17
"worth the",0.268052484585181,17
"the onli",0.252284691374288,16
"the prado",0.252284691374288,16
"your time",0.251527476167661,15
"the reina",0.242595326759487,14
"one of",0.241841776115078,13
"of modern",0.233177214314685,13
"to get",0.233177214314685,13
"to find",0.22526708913381,13
"a museum",0.223238562567765,12
"the build",0.217990479345306,13
"the staff",0.212740004071053,11
"see the",0.204635349020451,11
"part of",0.201636579620984,10
"number of",0.199578786358648,9
"museum was",0.197303796727811,11
"you will",0.193400003700957,10
"the collect",0.189876995320569,9
"look at",0.186032135473137,10
"picasso and",0.186032135473137,10
"piec of",0.186032135473137,10
"this place",0.186032135473137,10
"want to",0.186032135473137,10
"you can",0.186032135473137,10
"art but",0.181472921658886,9
"art museum",0.181472921658886,9
"at least",0.181472921658886,9
"on display",0.181472921658886,9
"a lot",0.174060003330861,9
"museum is",0.174060003330861,9
"of time",0.174060003330861,9
"see picasso",0.174060003330861,9
"a fan",0.168779551396061,8
"collect of",0.168779551396061,8
"dont wast",0.168779551396061,8
"fan of",0.168779551396061,8
"i think",0.168779551396061,8
"wast your",0.168779551396061,8
"a bit",0.164152776397067,7
"the room",0.164152776397067,7
"glass lift",0.162135622724131,6
"art is",0.161309263696787,8
"audio guid",0.161309263696787,8
"difficult to",0.161309263696787,8
"museum in",0.161309263696787,8
"the rest",0.161309263696787,8
"wast of",0.161309263696787,8
"museum and",0.155227944945615,7
"not much",0.155227944945615,7
"seem to",0.155227944945615,7
"too much",0.155227944945615,7
"guernica is",0.150065046257623,6
"the wall",0.150065046257623,6
"madrid card",0.14929012061888,5
"art and",0.147682107471554,7
"art that",0.147682107471554,7
