"word","tfidf","tf"
"abil",0.013284890847198,4
"abound",0.0103999374058388,3
"absolut",0.139564587200649,73
"absorb",0.0537791650240723,21
"abstract",0.0845862692488749,37
"access",0.137652743540367,72
"accid",0.0186975622678793,6
"accommod",0.0103999374058388,3
"accompani",0.0285803837581934,10
"accomplish",0.0103999374058388,3
"account",0.0160421189989285,5
"achiev",0.013284890847198,4
"act",0.0212683612060011,7
"action",0.0103999374058388,3
"activ",0.0285803837581934,10
"actual",0.0376313264764731,14
"adam",0.0173332290097313,5
"add",0.065451861081888,28
"addit",0.128618628067581,67
"adequ",0.0103999374058388,3
"adjac",0.0403192783676498,15
"adjoin",0.0267375355904982,9
"admir",0.100690957642261,48
"admiss",0.196966353174549,119
"admit",0.0541084218705138,22
"ador",0.0160421189989285,5
"adorn",0.013284890847198,4
"adult",0.0285803837581934,10
"advanc",0.0521427807044979,21
"advantag",0.0521427807044979,21
"advertis",0.0267375355904982,9
"advic",0.0186975622678793,6
"advis",0.0349355765299234,12
"affect",0.0186975622678793,6
"afford",0.0309084505988869,11
"aficionado",0.0291129804416028,10
"afraid",0.0186975622678793,6
"afternoon",0.209805772622993,132
"age",0.0867659346526633,39
"ago",0.0419272298218683,16
"agre",0.0285803837581934,10
"ahead",0.0460964271634906,18
"aim",0.0237666983026651,8
"aimless",0.0103999374058388,3
"air",0.064661059075658,27
"airi",0.0309084505988869,11
"airport",0.013284890847198,4
"alexand",0.0160421189989285,5
"alongsid",0.013284890847198,4
"alot",0.0103999374058388,3
"altern",0.0186975622678793,6
"amaz",0.420772721400373,388
"ambienc",0.013284890847198,4
"america",0.0103999374058388,3
"american",0.0492063170239254,19
"amount",0.0541084218705138,22
"amp",0.15184819292225,75
"ampl",0.0186975622678793,6
"andalou",0.0160421189989285,5
"angel",0.013284890847198,4
"anger",0.0103999374058388,3
"angl",0.0103999374058388,3
"angri",0.0103999374058388,3
"anguish",0.0186975622678793,6
"anim",0.019927336270797,6
"annex",0.0262016823974426,9
"annual",0.013866583207785,4
"answer",0.0262016823974426,9
"anti",0.0460964271634906,18
"anticip",0.0212683612060011,7
"antoni",0.0212683612060011,7
"appar",0.0314384221340128,11
"appeal",0.0285803837581934,10
"appetit",0.013284890847198,4
"appreci",0.108300502570029,54
"approach",0.0403192783676498,15
"approxim",0.0103999374058388,3
"april",0.0186975622678793,6
"architect",0.0262016823974426,9
"architectur",0.163028158910782,93
"area",0.184613644763279,107
"aren",0.0506716335391183,20
"arguabl",0.013284890847198,4
"arrang",0.0652182173112734,27
"array",0.0237666983026651,8
"arriv",0.130005368899235,68
"art",0.752147053439908,3078
"artefact",0.013284890847198,4
"arti",0.013284890847198,4
"articl",0.0212683612060011,7
"artisit",0.013284890847198,4
"artist",0.507000519157748,541
"artwork",0.176616024257787,103
"arzab",0.0103999374058388,3
"asham",0.0103999374058388,3
"aspect",0.035430374462982,13
"assort",0.0192505427987142,6
"assum",0.0186975622678793,6
"assur",0.0103999374058388,3
"astonish",0.039796140629996,15
"astound",0.0285803837581934,10
"ate",0.0160421189989285,5
"atmospher",0.0501530590370596,20
"atocha",0.152679021410417,83
"atract",0.0160421189989285,5
"atrium",0.0103999374058388,3
"attach",0.0365281688895936,13
"attack",0.0186975622678793,6
"attempt",0.0186975622678793,6
"attend",0.0403192783676498,15
"attent",0.0590273693132877,24
"attract",0.188616173468983,112
"audienc",0.0103999374058388,3
"audio",0.218296793681049,133
"audioguid",0.058272378569986,23
"auditorium",0.0103999374058388,3
"august",0.0314384221340128,11
"auster",0.0160421189989285,5
"authent",0.013284890847198,4
"author",0.013284890847198,4
"avant",0.0212683612060011,7
"averag",0.013284890847198,4
"avid",0.013284890847198,4
"avoid",0.0889726921601801,41
"awar",0.039796140629996,15
"awe",0.0471681335496019,18
"awesom",0.0783797257315662,35
"babi",0.0356500474539976,12
"babylon",0.0103999374058388,3
"back",0.203976220071776,128
"background",0.0445476816857351,17
"backpack",0.0212683612060011,7
"bacon",0.0331904994481623,12
"bad",0.0688758118916277,29
"bag",0.0652182173112734,27
"balanc",0.013284890847198,4
"balconi",0.0212683612060011,7
"bar",0.0895110463725716,41
"barcelona",0.0466165108647714,18
"bare",0.0237666983026651,8
"bargain",0.0160421189989285,5
"barrio",0.0103999374058388,3
"base",0.0331904994481623,12
"basel",0.0243066985211441,8
"basic",0.0359563744021759,13
"basqu",0.0359563744021759,13
"bathroom",0.0103999374058388,3
"bear",0.0212683612060011,7
"beat",0.0309084505988869,11
"beauti",0.357661739690324,292
"beelin",0.0103999374058388,3
"began",0.0192505427987142,6
"begin",0.0291129804416028,10
"behav",0.013866583207785,4
"belong",0.0160421189989285,5
"bench",0.0483831340411797,18
"benefit",0.0160421189989285,5
"bet",0.0160421189989285,5
"bewar",0.0262016823974426,9
"big",0.286251937045994,209
"bigger",0.0440267047056175,17
"biggest",0.0331904994481623,12
"bird",0.0160421189989285,5
"bit",0.232198296813715,152
"bite",0.0160421189989285,5
"bizarr",0.0212683612060011,7
"black",0.0481380518621624,19
"blank",0.0103999374058388,3
"blend",0.0186975622678793,6
"blew",0.013284890847198,4
"block",0.0403192783676498,15
"blow",0.0376313264764731,14
"blown",0.0262016823974426,9
"blue",0.0408812013034408,15
"boast",0.013284890847198,4
"bocadillo",0.0103999374058388,3
"bomb",0.105454414871031,50
"bonus",0.0579717487211319,24
"book",0.133288817452071,70
"bookshop",0.0237666983026651,8
"bookstor",0.013284890847198,4
"bore",0.0376313264764731,14
"bornemisza",0.0817223918364147,36
"bosch",0.0103999374058388,3
"botan",0.0186975622678793,6
"bother",0.0285803837581934,10
"bottom",0.0160421189989285,5
"bought",0.0440267047056175,17
"box",0.0192505427987142,6
"boy",0.0160421189989285,5
"brain",0.0212683612060011,7
"braqu",0.0460964271634906,18
"bravo",0.0212683612060011,7
"breadth",0.0267375355904982,9
"break",0.111792205582783,56
"breakfast",0.0103999374058388,3
"breath",0.0603872382511791,25
"breather",0.0103999374058388,3
"breathtak",0.0789078985648584,35
"breez",0.013284890847198,4
"bridg",0.0103999374058388,3
"bright",0.0160421189989285,5
"brillant",0.013284890847198,4
"brilliant",0.0811624099524258,36
"bring",0.072642126076813,32
"brochur",0.013284890847198,4
"brought",0.0331904994481623,12
