"word","tfidf","tf"
"modern art",0.478819059753436,1040
"to see",0.453722547689871,1107
"the museum",0.43519637122165,843
"this museum",0.338430231454082,566
"picasso guernica",0.326968181999655,558
"in madrid",0.301966683780437,433
"reina sofia",0.290905731099598,387
"the prado",0.288278409825989,376
"museum is",0.287179581744645,398
"lot of",0.268752083197048,342
"collect of",0.263639340056672,335
"you can",0.260419526642705,327
"guernica is",0.254018830854553,328
"the guernica",0.253567070513911,304
"a must",0.248846148203977,312
"see the",0.247732042485783,305
"of modern",0.246812440833403,302
"of art",0.246486061683554,303
"one of",0.239833095979346,276
"a great",0.223856614520016,255
"the reina",0.22155770117376,241
"a visit",0.218837623440844,248
"see guernica",0.216190394125028,245
"must see",0.212965753695568,238
"the art",0.212822450122357,237
"guernica and",0.211026480079131,235
"picasso and",0.209651738902792,238
"art museum",0.208483103755193,223
"dali and",0.202226277353601,224
"want to",0.202056975500199,221
"to visit",0.199309331773668,216
"civil war",0.198575294565993,212
"the build",0.195816557468925,213
"worth a",0.195394478407333,209
"a lot",0.19424025607848,205
"as well",0.194232030566814,203
"worth the",0.19102811774836,202
"museum in",0.190450202301339,201
"work of",0.18827681987521,196
"of picasso",0.184533138716736,194
"th centuri",0.182731548664098,181
"by picasso",0.18055038104464,180
"see picasso",0.178063514141956,185
"art and",0.174532035009819,174
"visit the",0.17301153254542,171
"is free",0.172059410130436,173
"to get",0.171477678646663,165
"the spanish",0.170079072200935,167
"the best",0.168876937285241,161
"go to",0.165067277241898,157
"a veri",0.164864421639577,159
"contemporari art",0.163734873227491,155
"to go",0.162591786555766,160
"the collect",0.159740955679495,153
"we went",0.153628681423808,143
"is worth",0.150016088991388,141
"well worth",0.148257049206193,138
"you will",0.147014066400801,131
"the paint",0.146872407196363,134
"spanish civil",0.146478518972018,135
"time to",0.146466249714427,137
"a good",0.146229423524112,131
"much more",0.145077049428747,131
"enjoy the",0.143594690935339,130
"the main",0.143594690935339,130
"so much",0.142490116389683,129
"work by",0.141388882174319,127
"is veri",0.141023882539635,126
"the visit",0.141016503860319,127
"a bit",0.139158352929002,124
"and dali",0.138795771516062,125
"place to",0.138795771516062,125
"miro and",0.136967243661401,124
"great museum",0.135771085325485,120
"worth it",0.131198174389664,115
"museum and",0.130833517387285,115
"the work",0.128444052457813,111
"art in",0.128404147975745,110
"the exhibit",0.127971516646674,108
"visit this",0.1273484086795,111
"you like",0.12570033758205,108
"mani other",0.12417420854303,107
"picasso dali",0.12417420854303,107
"at least",0.123734906231172,106
"love the",0.122753398227312,102
"and picasso",0.122208661538105,105
"museum with",0.121759303869774,104
"i love",0.121508073871922,100
"visit to",0.120495427671813,102
"for free",0.120414362491262,101
"well as",0.120346468850306,100
"dont miss",0.119592922766881,100
"the free",0.119465913941395,98
"of cours",0.118855241996109,100
"build is",0.1185991477985,101
"part of",0.118246874003217,97
"dure the",0.1179395394733,98
"spanish art",0.117107525324959,97
"look at",0.116516398697469,94
"easi to",0.116271914596996,96
"a littl",0.115808794126862,95
"the room",0.115671847309686,93
"salvador dali",0.115532610096294,96
