"","x"
"1","rn469706298"
"2","rn468517477"
"3","rn468080324"
"4","rn466965896"
"5","rn466491650"
"6","rn466008083"
"7","rn465636933"
"8","rn465044864"
"9","rn464546688"
"10","rn463537388"
"11","rn463490438"
"12","rn463223608"
"13","rn462426278"
"14","rn462089514"
"15","rn461238545"
"16","rn460489867"
"17","rn460303159"
"18","rn459301878"
"19","rn458751474"
"20","rn458323860"
"21","rn458280823"
"22","rn456862997"
"23","rn456019207"
"24","rn455783819"
"25","rn455338184"
"26","rn454327594"
"27","rn454219788"
"28","rn453673095"
"29","rn453557179"
"30","rn453225585"
"31","rn452944347"
"32","rn452760459"
"33","rn451677831"
"34","rn450213944"
"35","rn447312680"
"36","rn446778922"
"37","rn446334797"
"38","rn445434248"
"39","rn443159194"
"40","rn442960022"
"41","rn442560640"
"42","rn442222276"
"43","rn441803349"
"44","rn441512398"
"45","rn441353118"
"46","rn440123644"
"47","rn440068314"
"48","rn439941081"
"49","rn438699844"
"50","rn437513594"
"51","rn437383830"
"52","rn436383942"
"53","rn436125235"
"54","rn435905860"
"55","rn435647026"
"56","rn434857099"
"57","rn434794721"
"58","rn434681036"
"59","rn434610242"
"60","rn433635088"
"61","rn433527875"
"62","rn433292816"
"63","rn433262884"
"64","rn433229480"
"65","rn432178341"
"66","rn431521730"
"67","rn431302632"
"68","rn431149581"
"69","rn430844753"
"70","rn430634857"
"71","rn430341085"
"72","rn429713557"
"73","rn429413221"
"74","rn428011056"
"75","rn427971299"
"76","rn427857356"
"77","rn427762208"
"78","rn426795687"
"79","rn426645629"
"80","rn426455161"
"81","rn426314901"
"82","rn425487430"
"83","rn425256261"
"84","rn425181163"
"85","rn425168966"
"86","rn424153117"
"87","rn424080241"
"88","rn423721572"
"89","rn423349804"
"90","rn422927693"
"91","rn422138937"
"92","rn421823168"
"93","rn420962828"
"94","rn420561664"
"95","rn420274856"
"96","rn420011132"
"97","rn419768704"
"98","rn419406008"
"99","rn419233985"
"100","rn419129730"
"101","rn418740317"
"102","rn418696645"
"103","rn418146008"
"104","rn417999212"
"105","rn417257578"
"106","rn416166232"
"107","rn415941083"
"108","rn414654739"
"109","rn414428791"
"110","rn414303498"
"111","rn413894468"
"112","rn411857151"
"113","rn409451159"
"114","rn408183886"
"115","rn407395991"
"116","rn407127189"
"117","rn404865523"
"118","rn403375232"
"119","rn403096124"
"120","rn401091193"
"121","rn400125212"
"122","rn398997034"
"123","rn398924886"
"124","rn397565467"
"125","rn396685754"
"126","rn396669804"
"127","rn396513068"
"128","rn396062441"
"129","rn395142931"
"130","rn394362878"
"131","rn394357076"
"132","rn393509611"
"133","rn392912262"
