"id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion","SentimentValue","SentimentCore","pos","neg"
"rn469706298","mking46","Sydney, Australia","16 reviews","One of the best art museums",5,"2017-03-23","While I'm not an avid museum goer this is one of my favourites. The size and organisation make a 3 hour visit manageable and enjoyable. While there are only a few 'blockbuster' works the collection covers a wide range of artistic periods and allows a great overview of the development of different styles.",1,"One of the best art museums. While I'm not an avid museum goer this is one of my favourites. The size and organisation make a 3 hour visit manageable and enjoyable. While there are only a few 'blockbuster' works the collection covers a wide range of artistic periods and allows a great overview of the development of different styles.","positive","positive",3,1
"rn469694262","paulj","uk","34 reviews","easy to get lost",2,"2017-03-23","not my type of art, so difficult to rate, however the entrance we used was not well sign posted to try to find on the way out.",1,"easy to get lost. not my type of art, so difficult to rate, however the entrance we used was not well sign posted to try to find on the way out.","negative","negative",0,1
"rn469557086","Jim N","","5 reviews","Sublime Display of Superb Collection",5,"2017-03-23","This intimate, newer museum is so warm and welcoming that we could have stayed for days. Excellent curation.",1,"Sublime Display of Superb Collection. This intimate, newer museum is so warm and welcoming that we could have stayed for days. Excellent curation.","positive","positive",2,1
"rn469462117","AlejandraSdeM","Paris, France","27 reviews","great collection nicely displayed",5,"2017-03-22","good way to review your history of art knowledge. All the good painters very well chosen. Wonderful bookshop",1,"great collection nicely displayed. good way to review your history of art knowledge. All the good painters very well chosen. Wonderful bookshop","positive","positive",4,0
"rn469088328","bleachedrose","Austin","21 reviews","Great museum not too big",4,"2017-03-21","This is a great museum to see if you don't have a lot of time, it is small and it has some great impressionism paintings. There are about 3-5 van Goghs that are beautiful, not many Monets, but have nice paintings from the impressionism movement.",1,"Great museum not too big. This is a great museum to see if you don't have a lot of time, it is small and it has some great impressionism paintings. There are about 3-5 van Goghs that are beautiful, not many Monets, but have nice paintings from the impressionism movement.","positive","positive",3,0
"rn469043963","Marcinbrussels","Brussels, Belgium","313 reviews","Great collection - nice lay out - recommended",4,"2017-03-21","We liked the fact that this museum is a bit smaller than the Prado but offers a great collection of art. Nice lay out and rooms. The collection modernists is limited but some gems.",1,"Great collection - nice lay out - recommended. We liked the fact that this museum is a bit smaller than the Prado but offers a great collection of art. Nice lay out and rooms. The collection modernists is limited but some gems.","positive","positive",3,1
"rn468860925","tastywords","Portland, Oregon","47 reviews","So much great art that it's easy to get overwhelmed...",5,"2017-03-20","If you love art this is a must see in Madrid. But, be forewarned this museum crams so much art on to it's walls that it can be dizzying. We went on a Monday because admission was free and were not disappointed with the collection of masters spanning the 1400s to 1990s. But you will need to pace yourself. I suggest starting with the second floor while you are ""fresh"" taking a break in the cafe before walking through the less intense first floor. Then you can complete the first floor with any energy you have left! Truth is, like all the great museums, to maximize your enjoyment and understanding, it's best to visit more than once if your itinerary allows. Enjoy!",1,"So much great art that it's easy to get overwhelmed.... If you love art this is a must see in Madrid. But, be forewarned this museum crams so much art on to it's walls that it can be dizzying. We went on a Monday because admission was free and were not disappointed with the collection of masters spanning the 1400s to 1990s. But you will need to pace yourself. I suggest starting with the second floor while you are  fresh  taking a break in the cafe before walking through the less intense first floor. Then you can complete the first floor with any energy you have left! Truth is, like all the great museums, to maximize your enjoyment and understanding, it's best to visit more than once if your itinerary allows. Enjoy!","positive","positive",4,2
"rn468673550","pdx_doglover","Portland, Oregon","26 reviews","An amazing collection",5,"2017-03-19","If your art preferences favor impressionism &amp; expressionism this is your stop in Madrid. Hard to believe this incredible collection is the work of one family.",1,"An amazing collection. If your art preferences favor impressionism &amp; expressionism this is your stop in Madrid. Hard to believe this incredible collection is the work of one family.","positive","positive",2,1
"rn468531876","Bacchus49","Cincinnati, Ohio","73 reviews","Tremendous Collection ",5,"2017-03-19","A fantastic collection of virtually every artistic era. From El Grecos and works of the 1,400s to impressionists of the 1,800s to modern masters like Picasso, Dali and Rothko.",1,"Tremendous Collection . A fantastic collection of virtually every artistic era. From El Grecos and works of the 1,400s to impressionists of the 1,800s to modern masters like Picasso, Dali and Rothko.","positive","neutral",1,1
"rn468517477","FoodforThought17","Ct","106 reviews","Wonderful permanent collection of one of world's great art collecting families",5,"2017-03-19","Well-curated, and amazing collection. Some wonderful pieces of American art included. The special collection of Carmen Thyssen-Bornemisza is amazing.",2,"Wonderful permanent collection of one of world's great art collecting families. Well-curated, and amazing collection. Some wonderful pieces of American art included. The special collection of Carmen Thyssen-Bornemisza is amazing.","positive","positive",6,0
"rn468336860","Alastair H","","3 reviews","Visit to Thyssen-Bornemisza",5,"2017-03-18","Visits on Mondays from 2.00 to 4.30 are free entrance, an excellent collection dating from as early as 1300 to modern art exhibits. would allow at least 2-3 hours as there are 3 floors to get round to see and includes the Dutch masters the French impressionists as well as a Picasso and a Van Gooth. All in all a great afternoon in central Madrid if Art is your thing.",2,"Visit to Thyssen-Bornemisza. Visits on Mondays from 2.00 to 4.30 are free entrance, an excellent collection dating from as early as 1300 to modern art exhibits. would allow at least 2-3 hours as there are 3 floors to get round to see and includes the Dutch masters the French impressionists as well as a Picasso and a Van Gooth. All in all a great afternoon in central Madrid if Art is your thing.","positive","neutral",1,1
"rn468314913","legrand3114","Basel, Switzerland","11 reviews","Beyond beautiful",5,"2017-03-18","This is my favorite Madrid Museum. It is a human-size museum that contains extraordinary works of art and is not as crowded as the Prado. The lighting and disposition of the paintings are optimized for maximal enjoyment. If you are an art lover, this is a place not to miss.",2,"Beyond beautiful. This is my favorite Madrid Museum. It is a human-size museum that contains extraordinary works of art and is not as crowded as the Prado. The lighting and disposition of the paintings are optimized for maximal enjoyment. If you are an art lover, this is a place not to miss.","positive","positive",5,1
