"word","tfidf","tf"
"staff",1.12514629704416,14
"museum",0.912438780842684,26
"paint",0.901096076768928,10
"work",0.884043519106127,11
"master",0.834419444925215,6
"art",0.823280556570516,19
"visit",0.816262963603991,8
"exhibit",0.793439199302389,11
"experi",0.720876861415143,8
"time",0.720876861415143,8
"entri",0.704427778098292,6
"galleri",0.704427778098292,6
"modern",0.63076725373825,7
"visitor",0.63076725373825,7
"show",0.612197222702993,6
"guid",0.587023148415243,5
"major",0.587023148415243,5
"special",0.587023148415243,5
"disappoint",0.540657646061357,6
"lot",0.540657646061357,6
"artwork",0.528320833573719,3
"build",0.528320833573719,3
"color",0.528320833573719,3
"exit",0.528320833573719,3
"secur",0.528320833573719,3
"good",0.510164352252494,5
"piec",0.510164352252494,5
"collect",0.50491585410152,7
"great",0.50491585410152,7
"enjoy",0.482205555876069,6
"artist",0.469618518732194,4
"member",0.469618518732194,4
"miss",0.469618518732194,4
"prado",0.469618518732194,4
"question",0.469618518732194,4
"queue",0.469618518732194,4
"room",0.469618518732194,4
"wall",0.469618518732194,4
"big",0.417209722462608,3
"excel",0.417209722462608,3
"leav",0.417209722462608,3
"mobil",0.417209722462608,3
"painter",0.417209722462608,3
"text",0.417209722462608,3
"bore",0.408131481801995,4
"expect",0.408131481801995,4
"interest",0.408131481801995,4
"afternoon",0.352213889049146,2
"audio",0.352213889049146,3
"basic",0.352213889049146,3
"cezann",0.352213889049146,2
"complet",0.352213889049146,3
"comprehens",0.352213889049146,2
"crowd",0.352213889049146,2
"disabl",0.352213889049146,2
"doesn",0.352213889049146,2
"floor",0.352213889049146,2
"free",0.352213889049146,2
"friend",0.352213889049146,2
"guard",0.352213889049146,2
"insensit",0.352213889049146,2
"insid",0.352213889049146,2
"job",0.352213889049146,3
"listen",0.352213889049146,2
"long",0.352213889049146,2
"loud",0.352213889049146,2
"minor",0.352213889049146,2
"monday",0.352213889049146,2
"music",0.352213889049146,2
"poor",0.352213889049146,3
"provid",0.352213889049146,3
"reina",0.352213889049146,3
"rude",0.352213889049146,2
"shambl",0.352213889049146,2
"sofia",0.352213889049146,3
"spain",0.352213889049146,3
"spoilt",0.352213889049146,2
"tast",0.352213889049146,2
"temporari",0.352213889049146,3
"ticket",0.352213889049146,3
"view",0.352213889049146,2
"amaz",0.278139814975072,2
"answer",0.278139814975072,2
"bad",0.278139814975072,2
"book",0.278139814975072,2
"charg",0.278139814975072,2
"chat",0.278139814975072,2
"confus",0.278139814975072,2
"cost",0.278139814975072,2
"didn",0.278139814975072,2
"display",0.278139814975072,2
"don",0.278139814975072,2
"felt",0.278139814975072,2
"high",0.278139814975072,2
"inform",0.278139814975072,2
"make",0.278139814975072,2
"manag",0.278139814975072,2
"morn",0.278139814975072,2
"nice",0.278139814975072,2
"pay",0.278139814975072,2
"perman",0.278139814975072,2
"person",0.278139814975072,2
"practic",0.278139814975072,2
"qualiti",0.278139814975072,2
"servic",0.278139814975072,2
"sign",0.278139814975072,2
"speak",0.278139814975072,2
"thyssen",0.278139814975072,2
"tourist",0.278139814975072,2
"train",0.278139814975072,2
"trip",0.278139814975072,2
"wait",0.278139814975072,2
"warn",0.278139814975072,2
"worth",0.278139814975072,2
"act",0.176106944524573,1
"adjac",0.176106944524573,1
"admiss",0.176106944524573,1
"advanc",0.176106944524573,1
"advic",0.176106944524573,1
"advis",0.176106944524573,1
"ahead",0.176106944524573,1
"american",0.176106944524573,1
"amount",0.176106944524573,1
"apologis",0.176106944524573,1
"appar",0.176106944524573,1
"approach",0.176106944524573,1
"attempt",0.176106944524573,1
"avoid",0.176106944524573,1
"background",0.176106944524573,1
"bag",0.176106944524573,1
"bar",0.176106944524573,1
"baron",0.176106944524573,1
"behold",0.176106944524573,1
"benefit",0.176106944524573,1
"bonnard",0.176106944524573,1
"bought",0.176106944524573,1
"bypass",0.176106944524573,1
"call",0.176106944524573,1
"caught",0.176106944524573,1
"caus",0.176106944524573,1
"centuri",0.176106944524573,1
"cervera",0.176106944524573,1
"challeng",0.176106944524573,1
"clash",0.176106944524573,1
"cloak",0.176106944524573,1
"close",0.176106944524573,1
"comment",0.176106944524573,1
"commit",0.176106944524573,1
"compar",0.176106944524573,1
"complain",0.176106944524573,1
"complaint",0.176106944524573,1
"concentr",0.176106944524573,1
"contact",0.176106944524573,1
"continu",0.176106944524573,1
"correct",0.176106944524573,1
"counter",0.176106944524573,1
"countri",0.176106944524573,1
"curat",0.176106944524573,1
"custom",0.176106944524573,1
"dark",0.176106944524573,1
"day",0.176106944524573,1
"deal",0.176106944524573,1
"deepli",0.176106944524573,1
"delay",0.176106944524573,1
"deposit",0.176106944524573,1
"depth",0.176106944524573,1
"desk",0.176106944524573,1
"destroy",0.176106944524573,1
"detail",0.176106944524573,1
"detract",0.176106944524573,1
"devic",0.176106944524573,1
"difficult",0.176106944524573,1
"director",0.176106944524573,1
"dis",0.176106944524573,1
"disclos",0.176106944524573,1
"disorganis",0.176106944524573,1
"displeas",0.176106944524573,1
"disregard",0.176106944524573,1
"disresecpt",0.176106944524573,1
"due",0.176106944524573,1
"dull",0.176106944524573,1
"easi",0.176106944524573,1
"easili",0.176106944524573,1
"echo",0.176106944524573,1
"eclect",0.176106944524573,1
"economi",0.176106944524573,1
"effect",0.176106944524573,1
"effici",0.176106944524573,1
"email",0.176106944524573,1
"embarrass",0.176106944524573,1
"emerg",0.176106944524573,1
"english",0.176106944524573,1
"engross",0.176106944524573,1
"entranc",0.176106944524573,1
"erra",0.176106944524573,1
"escort",0.176106944524573,1
"essenti",0.176106944524573,1
"euro",0.176106944524573,1
"evid",0.176106944524573,1
"exampl",0.176106944524573,1
"explain",0.176106944524573,1
"explan",0.176106944524573,1
"extraordinari",0.176106944524573,1
"extrem",0.176106944524573,1
"eye",0.176106944524573,1
"fact",0.176106944524573,1
"fade",0.176106944524573,1
"fail",0.176106944524573,1
"famous",0.176106944524573,1
"fan",0.176106944524573,1
"fed",0.176106944524573,1
"feel",0.176106944524573,1
"final",0.176106944524573,1
"find",0.176106944524573,1
"fluent",0.176106944524573,1
"foreign",0.176106944524573,1
"forward",0.176106944524573,1
"front",0.176106944524573,1
"game",0.176106944524573,1
"gather",0.176106944524573,1
"general",0.176106944524573,1
"gift",0.176106944524573,1
"god",0.176106944524573,1
"golden",0.176106944524573,1
"guess",0.176106944524573,1
"guidebook",0.176106944524573,1
"hall",0.176106944524573,1
"hard",0.176106944524573,1
"hear",0.176106944524573,1
"hidden",0.176106944524573,1
"hide",0.176106944524573,1
"hideous",0.176106944524573,1
"highlight",0.176106944524573,1
"hire",0.176106944524573,1
"histor",0.176106944524573,1
"hold",0.176106944524573,1
"honest",0.176106944524573,1
"hope",0.176106944524573,1
"horrid",0.176106944524573,1
"hour",0.176106944524573,1
"hous",0.176106944524573,1
"idea",0.176106944524573,1
"implement",0.176106944524573,1
"import",0.176106944524573,1
"incred",0.176106944524573,1
"indic",0.176106944524573,1
"indiffer",0.176106944524573,1
"individu",0.176106944524573,1
"input",0.176106944524573,1
"institut",0.176106944524573,1
"internet",0.176106944524573,1
"interrupt",0.176106944524573,1
"issu",0.176106944524573,1
"kind",0.176106944524573,1
"knew",0.176106944524573,1
"knowledg",0.176106944524573,1
"knowleg",0.176106944524573,1
"label",0.176106944524573,1
"lack",0.176106944524573,1
"landscap",0.176106944524573,1
"lay",0.176106944524573,1
"learn",0.176106944524573,1
"left",0.176106944524573,1
"lesser",0.176106944524573,1
"life",0.176106944524573,1
"livelihood",0.176106944524573,1
"lone",0.176106944524573,1
"lost",0.176106944524573,1
"love",0.176106944524573,1
"lover",0.176106944524573,1
"made",0.176106944524573,1
"madrid",0.176106944524573,1
"mail",0.176106944524573,1
"march",0.176106944524573,1
"meager",0.176106944524573,1
"medium",0.176106944524573,1
"mention",0.176106944524573,1
"messag",0.176106944524573,1
"minut",0.176106944524573,1
"monoton",0.176106944524573,1
"motiv",0.176106944524573,1
"mrs",0.176106944524573,1
"nois",0.176106944524573,1
"note",0.176106944524573,1
"oblivi",0.176106944524573,1
"occas",0.176106944524573,1
"offic",0.176106944524573,1
"onwait",0.176106944524573,1
"opposit",0.176106944524573,1
"organ",0.176106944524573,1
"organis",0.176106944524573,1
"par",0.176106944524573,1
"parso",0.176106944524573,1
"particip",0.176106944524573,1
"past",0.176106944524573,1
"perus",0.176106944524573,1
"phone",0.176106944524573,1
"physic",0.176106944524573,1
"picasso",0.176106944524573,1
"pictur",0.176106944524573,1
"place",0.176106944524573,1
"plan",0.176106944524573,1
"planet",0.176106944524573,1
"play",0.176106944524573,1
"point",0.176106944524573,1
"polit",0.176106944524573,1
"post",0.176106944524573,1
"prefer",0.176106944524573,1
"press",0.176106944524573,1
"prestigi",0.176106944524573,1
"price",0.176106944524573,1
"prior",0.176106944524573,1
"privat",0.176106944524573,1
"profess",0.176106944524573,1
"proper",0.176106944524573,1
"purchas",0.176106944524573,1
"raini",0.176106944524573,1
"rais",0.176106944524573,1
"random",0.176106944524573,1
"rate",0.176106944524573,1
"read",0.176106944524573,1
"realiti",0.176106944524573,1
"recal",0.176106944524573,1
"receiv",0.176106944524573,1
"recommend",0.176106944524573,1
"refus",0.176106944524573,1
"reli",0.176106944524573,1
"rent",0.176106944524573,1
"repli",0.176106944524573,1
"rescu",0.176106944524573,1
"rest",0.176106944524573,1
"restaur",0.176106944524573,1
"return",0.176106944524573,1
"review",0.176106944524573,1
"ridicul",0.176106944524573,1
"ruin",0.176106944524573,1
"salmon",0.176106944524573,1
"satuday",0.176106944524573,1
"savvi",0.176106944524573,1
"scare",0.176106944524573,1
"seat",0.176106944524573,1
"send",0.176106944524573,1
"set",0.176106944524573,1
"shop",0.176106944524573,1
"shown",0.176106944524573,1
"site",0.176106944524573,1
"size",0.176106944524573,1
"skip",0.176106944524573,1
"small",0.176106944524573,1
"smile",0.176106944524573,1
"sneak",0.176106944524573,1
"sold",0.176106944524573,1
"somethif",0.176106944524573,1
"soulless",0.176106944524573,1
"space",0.176106944524573,1
"spanish",0.176106944524573,1
"spectacular",0.176106944524573,1
"stack",0.176106944524573,1
"stand",0.176106944524573,1
"stick",0.176106944524573,1
"stone",0.176106944524573,1
"stood",0.176106944524573,1
"suppos",0.176106944524573,1
"talk",0.176106944524573,1
"tapa",0.176106944524573,1
"thang",0.176106944524573,1
"thi",0.176106944524573,1
"told",0.176106944524573,1
"tone",0.176106944524573,1
"total",0.176106944524573,1
"tough",0.176106944524573,1
"tour",0.176106944524573,1
