"word","tfidf","tf"
"the prado",0.447113506807079,1141
"this museum",0.362051786366907,808
"the museum",0.359089927942841,697
"of art",0.352431020263736,711
"in madrid",0.351012292458948,718
"collect of",0.331949241830071,661
"to see",0.326090327192834,613
"the thyssen",0.267696671965,404
"you can",0.254343887995864,394
"one of",0.252407259407063,391
"the best",0.250093587812613,376
"museum is",0.246905282927526,389
"museum in",0.242062941095044,363
"the collect",0.238309141243498,366
"a great",0.235069498809906,348
"to visit",0.209825281872472,288
"collect is",0.195494908387972,264
"the art",0.192926553026689,257
"a visit",0.192044115615295,257
"lot of",0.191854382537245,254
"prado and",0.191461831176143,257
"modern art",0.190277677582684,242
"th centuri",0.186346320607835,237
"a must",0.184624627286225,241
"see the",0.177909711628839,224
"reina sofia",0.177771201591415,220
"visit the",0.174962694833838,224
"a veri",0.169988824856706,210
"worth a",0.165360884904821,205
"a good",0.16459260494683,199
"art museum",0.163088430126001,195
"work of",0.16292938655441,190
"easi to",0.16228417132606,198
"a lot",0.160579377354832,192
"the th",0.160030313813288,181
"privat collect",0.158512511740968,192
"enjoy the",0.153370511783946,182
"well worth",0.152747325735425,184
"the world",0.152040274600526,178
"great museum",0.149537123265048,173
"as well",0.149457040706412,176
"a wonder",0.148896106851331,175
"van gogh",0.147758665243839,174
"must see",0.147537497422312,170
"to get",0.14497109695637,165
"of paint",0.144933894526625,167
"the perman",0.143534330722011,162
"museum and",0.143198159262833,165
"time to",0.141456484318699,162
"art from",0.139164606044351,161
"go to",0.138821391055613,154
"laid out",0.138229818764226,157
"temporari exhibit",0.137317608418392,153
"the top",0.134909241024991,149
"art and",0.134358378807939,151
"want to",0.134332950894596,150
"you will",0.133995103483075,147
"collect and",0.133727605583924,149
"work by",0.131417643433034,135
"veri good",0.130622847580257,142
"is veri",0.130468355934256,146
"the paint",0.129730471310908,142
"on monday",0.129364526319103,139
"to go",0.128487600983248,140
"the thyssenbornemisza",0.128111561111462,137
"rang of",0.127278669045562,139
"visit to",0.124637249117824,132
"dont miss",0.124371077575361,133
"visit this",0.123898758090989,135
"museum with",0.122626799561172,133
"the audio",0.121212777550906,129
"audio guid",0.118800722969914,123
"perman collect",0.117083476444016,124
"a nice",0.116931858675309,122
"worth the",0.11651460787839,124
"paint from",0.116052311258935,122
"museum has",0.115195033275564,122
"prado but",0.113482070063105,119
"th century",0.112847516643884,115
"we went",0.111855961126569,117
"varieti of",0.111362697937803,115
"to spend",0.109142127606506,113
"a bit",0.10904703161156,109
"select of",0.107969480557532,107
"is free",0.107770563243298,111
"the visit",0.107651715745202,110
"so mani",0.1067446688553,107
"best museum",0.106150699569257,107
"better than",0.106045737163535,106
"museum the",0.105978537369909,108
"the exhibit",0.105646200811664,105
"like the",0.105568377493609,107
"special exhibit",0.105556467452085,104
"to madrid",0.105281443142359,107
"veri nice",0.104166574343663,105
"place to",0.104044874198185,104
"veri well",0.104015971863059,106
"exhibit of",0.103751827672441,104
